Orthogroup	Cochlearia_excelsa	Alyssum_gmelinii
OG0000000	g14627, g14949, g4309	Ag067G5184800, Ag001G0043700
OG0000000	g54172, g11781, g52096, g4660, g33143, g43301	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500
OG0000000	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292	Ag077G5323300, Ag003G0363000, Ag013G1740700
OG0000000	g53079, g43739, g16627	Ag058G4977700
OG0000000	g36335	Ag045G4516900
OG0000000	g24433, g25323	Ag044G4496600
OG0000000	g18049, g47718	Ag078G5351600
OG0000000	g23493	Ag020G2571600, Ag013G1635500
OG0000000	g14416, g10434, g12783, g43405, g3096	Ag034G3852600, Ag034G3811600
OG0000002	g53912, g22441, g43884, g51104, g47320, g38468, g39577, g40258, g23771, g52214, g49137, g47542, g26461, g4894, g16056, g36079, g50077, g3932, g28791, g41750	Ag027G3030200
OG0000002	g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950	Ag013G1414500
OG0000003	g14063	Ag005G0787400
OG0000003	g18622, g25137, g6810, g1448, g45682, g1467, g38320, g49844, g25134, g35681, g14225, g41636, g18621, g47160, g49473, g40050, g26165	Ag022G2672700, Ag014G2084900
OG0000003	g24632	Ag067G5203100
OG0000003	g42621, g14202	Ag004G0525300
OG0000003	g42622	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200
OG0000003	g37408, g4680, g45852, g48285, g35551, g39300, g41607, g2783, g14645, g26213, g52072, g37684, g32875, g43390, g11178, g53942, g4056, g32055, g3715	Ag013G1682200, Ag011G1271000
OG0000004	g1377, g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059	Ag033G3561100
OG0000004	g48661, g33568, g18221, g8678, g51092, g10991, g52741, g52421, g21073, g42791, g34845, g30252, g9059, g9287, g52509, g9224, g36650, g21099, g52367, g20888, g21409, g43220	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	Ag010G0992800, Ag014G1774700
OG0000004	g32763, g3356, g49005, g48658, g4299, g19817, g52410, g42564	Ag050G4758900
OG0000004	g16396, g30119	Ag039G4237400
OG0000004	g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754	Ag015G2248700
OG0000004	g6262	Ag038G4178200, Ag004G0763800
OG0000004	g53542	Ag066G5158800
OG0000005	g36078	Ag025G2943500
OG0000005	g21085, g8878	Ag041G4377100
OG0000005	g41900	Ag013G1642000
OG0000005	g49127, g41144	Ag078G5366100
OG0000008	g36794	Ag027G3059500
OG0000008	g43261, g5353, g35020, g27856, g27175, g1942, g52586	Ag005G0786100
OG0000008	g26783	Ag027G3054100
OG0000008	g25873	Ag014G2109900
OG0000008	g4392, g11343, g33123	Ag001G0025300
OG0000008	g39484, g13991	Ag033G3526400
OG0000009	g10582	Ag034G3983600
OG0000009	g22674, g36759	Ag050G4781200
OG0000009	g2982	Ag014G2149700
OG0000009	g36187, g39720, g39344, g179, g5747, g29717, g34209, g30767	Ag027G3020200, Ag048G4712500, Ag088G5430400, Ag013G1719200, Ag066G5147100, Ag014G2109800, Ag078G5397100
OG0000009	g43889, g48006	Ag014G2163600
OG0000009	g23664	Ag078G5396800, Ag034G3985100, Ag014G2137100, Ag030G3127000
OG0000009	g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251	Ag040G4348900, Ag088G5430700
OG0000009	g39670, g22668, g25460, g181, g49313	Ag058G4969600, Ag052G4854400
OG0000009	g10580, g39986, g32058	Ag055G4920300, Ag019G2551400
OG0000009	g43567	Ag019G2526900
OG0000009	g11275, g53238, g41488, g4401, g4394, g44957	Ag016G2319900, Ag025G2919200
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	Ag015G2211300
OG0000011	g16592, g1020	Ag019G2529100, Ag039G4286000
OG0000011	g33386, g45605, g4839	Ag040G4344500
OG0000011	g24216, g17795	Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700
OG0000011	g450, g26627, g32634	Ag027G3007700
OG0000012	g3436	Ag006G0798800
OG0000014	g45670	Ag002G0182700
OG0000014	g15648, g3344, g15533, g22676, g53459, g25144, g49032, g52662, g35616, g50919, g33646, g12078, g52545, g35669, g14831, g24737, g46898, g25054, g45988, g53995, g27320, g24931, g24782, g1434, g42927, g51017, g13624, g47253, g45228, g14612, g43201, g43093, g53227, g6177, g4257, g35984, g2095, g18595, g15004, g12644, g53953, g25610, g41826, g14315, g1435, g44036, g3444, g18386, g3924, g43038, g24783, g17330, g10083, g17957, g20318, g43877, g52305, g16685, g26742, g25224, g30068, g14080, g18103, g11525, g41336, g53461, g3729, g3878, g27931, g21347, g33516, g21561, g43841, g4698, g24841, g19968, g35457, g4281, g36237, g44064, g30053, g15860, g25878, g50939, g3050, g24630, g27919, g25736, g49808, g40898, g44711, g46753, g17634, g18274, g13740, g37170, g42723, g50987, g11187, g34943, g32917, g16004, g14815, g35744, g35846, g14356, g16078, g16306, g53882, g35355, g4138, g22487, g22288, g42653, g21439, g21148, g30713, g42688, g52575, g35661, g1379, g18846, g18000, g50963, g6129, g24133, g5069, g47267, g30755, g43741, g37171, g21529, g19673, g30054, g35755, g41485, g35087, g18651, g52427, g4943, g26611	Ag012G1285000
OG0000015	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702	Ag034G3936100
OG0000015	g53814, g952, g32985, g12170, g24863, g14880, g26256, g5557, g43592, g35813, g36776, g27727, g24865, g6380, g17786, g42099	Ag012G1294500
OG0000015	g47632	Ag048G4644700, Ag011G1263600
OG0000015	g40591	Ag019G2552700
OG0000015	g12285, g43718	Ag002G0203200
OG0000015	g40286, g1778	Ag058G4974300
OG0000015	g26035, g11220, g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977	Ag024G2875100
OG0000018	g16177, g16042, g30020, g19811, g42269, g33163, g35707, g33621, g38595, g9170, g39203, g9232, g30079, g20922, g8680, g43303, g22450, g49080, g20884, g34255, g30334, g35739, g35715, g3557, g3800, g1406, g1731, g34303, g45124, g36592, g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876, g53716, g41538, g11427, g38783, g34799, g53178, g33713, g49263, g42960, g3085, g25310, g15011, g49060, g36788, g19945, g48662, g52301, g25141, g34307, g4841, g34516, g15876, g22231, g15499, g33620, g26661, g14696, g4267, g52726, g11575, g52999, g34386, g16152, g4546, g5989, g35625, g4708, g34558, g15594, g14708, g22069, g36940, g30064, g35434, g42919, g3581, g32708, g43865, g34852, g53011, g52932, g20839, g24984, g35494, g53447, g42604, g26425, g48079, g38645, g21507, g3213, g36483, g33660, g35277, g16169, g14733, g43020, g43092, g25006, g15498, g54033, g1407, g20677, g8188, g49057, g49056, g38762, g53569, g8939, g16491, g22537, g22046, g1729, g35908, g32840, g42346, g43905, g53010, g32489, g26514, g52990, g52987, g48009, g33241, g52654, g15742, g16751, g34866, g35060, g48247, g27553, g3558, g48244, g34442, g30195, g42250, g52934, g48669, g26576, g4468, g22464, g30032, g30047, g52647, g6407, g26316, g53069, g8943, g53755, g49089, g19964, g3536, g26493, g26492, g3678, g26578, g43385	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500
OG0000018	g9246, g16755	Ag064G5103000
OG0000018	g22151, g4429, g25015, g53118, g3760, g25775, g17839	Ag074G5275600, Ag020G2558600
OG0000020	g32689, g14805	Ag068G5227400
OG0000020	g41994	Ag039G4234300
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331, g33125, g14567, g25750, g33471	Ag013G1488900, Ag031G3408800
OG0000022	g45205, g45149, g24844	Ag002G0155300
OG0000022	g40751, g40752	Ag024G2896000
OG0000022	g13269	Ag006G0805800, Ag058G4977300, Ag022G2695300, Ag014G2040000
OG0000023	g14801, g15067	Ag013G1378800
OG0000023	g6328	Ag002G0253500
OG0000023	g21395	Ag004G0626900
OG0000024	g43450	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300
OG0000024	g22601	Ag013G1663800
OG0000024	g43469	Ag031G3235600
OG0000024	g40788	Ag013G1744400, Ag063G5083900
OG0000024	g2269, g28294	Ag013G1754200
OG0000025	g17280	Ag015G2255100
OG0000025	g14806, g32688	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900
OG0000026	g36073	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800
OG0000026	g28599	Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400
OG0000027	g43193, g48946	Ag021G2619200
OG0000027	g25723	Ag021G2619800
OG0000027	g25717, g25713, g48941, g48949	Ag021G2619900
OG0000027	g47441	Ag077G5325100, Ag033G3496300, Ag033G3642400
OG0000027	g40374	Ag021G2620200
OG0000027	g25720	Ag021G2618400
OG0000028	g12012	Ag034G4010900
OG0000030	g38367, g38376, g38372, g38380	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	g13799, g13797, g13193, g13194	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000030	g44631	Ag039G4188300, Ag003G0399100, Ag014G1840000, Ag031G3271600
OG0000031	g39351, g7244, g17718, g41293	Ag014G2001300, Ag025G2974400, Ag067G5204400, Ag016G2379700, Ag064G5091800, Ag014G2046100, Ag002G0264600, Ag021G2582900, Ag026G3000600, Ag073G5260500, Ag034G3746100, Ag067G5192300, Ag030G3130300, Ag011G1132700, Ag003G0359800, Ag057G4960600, Ag028G3081200, Ag048G4605200, Ag023G2817900
OG0000032	g8719, g35299	Ag037G4132500
OG0000032	g15954	Ag004G0471300
OG0000032	g49592, g25930, g51375	Ag005G0786000
OG0000032	g15953, g5354, g4129, g3254, g35284	Ag011G1160200, Ag011G1160300, Ag011G1160400
OG0000032	g43260, g33493	Ag051G4814500
OG0000034	g23911	Ag093G5459200, Ag033G3498700
OG0000034	g24014	Ag048G4579800
OG0000034	g23912	Ag033G3500200, Ag093G5460400
OG0000034	g23905	Ag033G3498800, Ag093G5459400
OG0000035	g42054, g13304, g42055	Ag093G5463700
OG0000038	g2497	Ag013G1382300, Ag066G5165400, Ag002G0115800
OG0000039	g9477, g21185	Ag033G3629500
OG0000040	g49152	Ag031G3415700
OG0000041	g43788, g43772, g13437	Ag011G1187400
OG0000042	g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921	Ag007G0876900, Ag096G5474100
OG0000042	g44909, g43791	Ag011G1070600
OG0000042	g6340, g16111, g37181, g6307, g53556, g54342, g16927, g32521, g27960, g26692, g47920, g599, g13492, g35927, g43602, g51339	Ag023G2817300, Ag039G4253700, Ag002G0154100
OG0000042	g40104, g13786, g31186, g8826, g30544	Ag014G2104800, Ag009G0976800, Ag006G0824100, Ag013G1471600
OG0000043	g38190	Ag074G5273900, Ag048G4698800
OG0000043	g53495, g823, g9695	Ag020G2574500
OG0000043	g25656	Ag014G2139900
OG0000043	g34289	Ag038G4145200
OG0000043	g34290, g36380, g26266, g6284, g36271, g16303, g14499, g52886, g31367, g38501, g7845, g6015, g50701, g47671, g49147, g45898, g27089, g2884, g36624, g31230, g25655, g25290, g45657	Ag036G4114100
OG0000043	g41011, g7365, g27084, g45147, g53496, g52677, g41215, g12586, g49668, g44739, g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242	Ag014G1940100, Ag078G5353500, Ag027G3068600, Ag002G0228700, Ag011G1124700, Ag004G0651000, Ag003G0322200
OG0000043	g53399, g13162, g50196, g46746, g14780, g13371	Ag022G2736700, Ag016G2284200
OG0000043	g41214, g17678	Ag013G1650200
OG0000043	g31229, g24493, g12585, g3844, g50586	Ag019G2521200
OG0000043	g2114, g13306, g43527, g43530, g43534, g54041	Ag025G2947100, Ag086G5422400, Ag022G2636100
OG0000046	g3382, g2931	Ag019G2498100
OG0000046	g36166, g26196, g11589, g33267	Ag004G0691700
OG0000048	g39852, g39841	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900
OG0000048	g29294, g52069, g52073, g52064	Ag032G3445200, Ag048G4573000, Ag013G1577300, Ag013G1657800
OG0000049	g5625	Ag055G4909600, Ag034G3947200, Ag034G3947100
OG0000049	g10538	Ag061G5034500
OG0000050	g32289	Ag002G0166000
OG0000050	g44252	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700
OG0000050	g30921, g53630, g4397, g10583, g5874	Ag031G3328800, Ag019G2527600, Ag020G2554600
OG0000050	g182	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900, Ag039G4204500, Ag011G1056800, Ag002G0129400, Ag034G3874200, Ag034G4016500, Ag034G3996800, Ag004G0706700, Ag008G0951800, Ag034G3964300
OG0000051	g37450	Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000054	g53889, g53885, g42037	Ag043G4433900
OG0000055	g27361	Ag034G4065400
OG0000055	g700	Ag014G2041700
OG0000055	g48153, g33340, g33319, g33329, g48170, g15766	Ag039G4264100
OG0000056	g40901	Ag002G0180000
OG0000058	g3196	Ag001G0033300, Ag033G3511000, Ag006G0820100
OG0000058	g33000, g41178, g43966, g49100	Ag027G3040100, Ag048G4695000, Ag056G4940000
OG0000059	g48001, g54246, g18941, g1179	Ag015G2211100, Ag014G2056100
OG0000059	g43705, g16122	Ag038G4156200
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	Ag031G3386000, Ag034G3746900, Ag004G0636900, Ag004G0629900, Ag034G3744900, Ag013G1692700, Ag004G0719000, Ag039G4308900, Ag016G2302600, Ag013G1610000
OG0000061	g41322	Ag025G2971300, Ag025G2971100
OG0000061	g50013	Ag013G1627600
OG0000062	g44326, g2819, g44187	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400
OG0000063	g4524	Ag062G5064000
OG0000063	g12637	Ag025G2961700
OG0000063	g34414, g40702	Ag012G1327000
OG0000065	g17485	Ag003G0361000
OG0000065	g44951, g18042	Ag016G2372900, Ag016G2372400
OG0000066	g31166, g49660, g5416, g9719	Ag004G0438400
OG0000066	g29501, g45535	Ag034G3780100
OG0000066	g5393	Ag013G1513800, Ag048G4702700, Ag011G1062400, Ag011G1062500
OG0000067	g51362, g36935, g14554, g2942, g25473, g27561, g41540, g28657, g32593, g13831	Ag031G3153400, Ag034G4009600
OG0000067	g12886	Ag031G3254900
OG0000067	g3384, g17624	Ag013G1533000
OG0000067	g51242, g33370, g49161, g33482, g53764, g27953, g24768, g45363, g3853, g51127, g41217, g37480, g4319, g10848, g26115, g14016, g28468, g43700, g18660, g44830, g11964, g42772, g51326, g11374	Ag015G2210000
OG0000068	g27956, g25385, g25390, g46783	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900, Ag042G4417500, Ag042G4417900, Ag042G4417800, Ag013G1504700, Ag048G4718500
OG0000069	g13531	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500, Ag001G0079400, Ag048G4644300, Ag048G4643100
OG0000069	g34297	Ag048G4643600
OG0000070	g10675	Ag039G4215000
OG0000070	g50123	Ag034G3976800
OG0000070	g46242	Ag048G4685000
OG0000073	g10672, g13435, g10819, g24404, g53393	Ag015G2241600
OG0000073	g36963, g43389, g14644, g41342	Ag077G5319300
OG0000073	g37235, g35439	Ag028G3078200
OG0000073	g41608	Ag048G4703300
OG0000073	g41469	Ag048G4568000, Ag034G3947900
