Orthogroup	Cardamine_hirsuta	Arabidopsis_lyrata_Rawat
OG0000000	CARHR228880, CARHR142010	AL3G23500, AL3G28120, AL7G39870
OG0000000	CARHR214930	AL3G50410, AL47U10020
OG0000000	CARHR153350	AL396U10020, AL4G14390, AL4G39790, nbis-gene-231, AL8G17890, AL5G12810, AL6G49130
OG0000007	CARHR258710	AL9U10810
OG0000007	CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870	AL1G53130
OG0000007	CARHR151410	AL4G24120
OG0000007	CARHR052510, CARHR024460, CARHR221620, CARHR060220, CARHR271650, CARHR286510, CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020, CARHR055800, CARHR216040, CARHR051840	AL5G15300
OG0000007	CARHR032440, CARHR057030	AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130
OG0000008	CARHR115010	AL3G23450
OG0000008	CARHR161340	AL5G32180
OG0000008	CARHR161350	AL5G32140, AL5G32150
OG0000009	CARHR145720	AL6G36520
OG0000009	CARHR160220	AL5G14390, AL5G21470
OG0000009	CARHR091740	AL3G41770
OG0000009	CARHR059740	AL8G42570
OG0000009	CARHR153540	AL1G62100
OG0000011	CARHR218510	AL6G32670
OG0000015	CARHR110600	AL8G27740, AL429U10010, AL792U10020, AL1G20970, AL8G24680, AL1G15850, AL3G46050, AL2G24310, AL1G29330, AL6G27260
OG0000020	CARHR213120	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630
OG0000022	CARHR196550	AL6G27650
OG0000022	CARHR048190	AL2G18840, AL2G12810, AL2G13140, AL2G12820, AL2G13170, AL2G12830
OG0000022	CARHR051050, CARHR048810	AL2G12470
OG0000022	CARHR049170	AL2G13120
OG0000022	CARHR048480, CARHR048800	AL2G13150, AL2G13130
OG0000022	CARHR048440, CARHR047970	AL2G11490
OG0000022	CARHR049120	AL2G13070
OG0000022	CARHR013000	AL1G24190
OG0000022	CARHR046360	AL2G10190
OG0000022	CARHR046370	AL2G10200
OG0000022	CARHR213210	AL7G48260
OG0000022	CARHR091960	AL3G29640
OG0000024	CARHR174240	AL1G45590, nbis-gene-188
OG0000024	CARHR113190	AL1G47320, AL1G46270, AL1G46260
OG0000024	CARHR031540	AL1G45530
OG0000024	CARHR062310	AL3G45420, AL4G35160
OG0000024	CARHR167830	AL5G23680
OG0000024	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	AL1G45210
OG0000025	CARHR288360	AL6G41860
OG0000027	CARHR255070	AL6G45930
OG0000027	CARHR255040	AL6G45970
OG0000027	CARHR255010, CARHR263990, CARHR255060, CARHR254990	AL6G46000
OG0000027	CARHR230510	AL7G30160
OG0000027	CARHR230500	AL7G30170
OG0000027	CARHR230400, CARHR230390	AL7G30270
OG0000027	CARHR254870	AL1G66280
OG0000027	CARHR254910, CARHR254920	AL6G46070
OG0000027	CARHR230300	AL7G30280
OG0000027	CARHR230440	AL7G30260
OG0000028	CARHR285330	AL7G42840
OG0000028	CARHR030080	AL2G24370
OG0000028	CARHR269260	AL8G29750
OG0000028	CARHR269250	AL8G29760
OG0000028	CARHR268630	AL8G30820, AL236U10020
