Orthogroup	Cardamine_glauca	Brassica_napus
OG0000000	Cg004G132730	XP_048611822.1
OG0000000	Cg003G090030, Cg003G090000	XP_013650497.2, XP_013645047.1, XP_022566278.2, XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1, XP_022556310.1, XP_048599740.1, XP_048610442.1, XP_048612193.1, XP_013676819.2, XP_048614904.1, XP_022569515.1, XP_013720075.3
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	XP_048621624.1, XP_048626126.1, XP_048609471.1
OG0000000	Cg002G068740, Cg001G030920, Cg011G329020	XP_022563908.1
OG0000003	Cg006G209840	XP_048623031.1, XP_013694964.1, XP_048630494.1, XP_022553650.2, XP_022551562.1, XP_013650516.2, XP_048611467.1, XP_048622667.1, XP_013679209.2, XP_048613575.1, XP_013704463.1, XP_022549222.1, XP_048615663.1, XP_048596497.1, XP_013650417.1, XP_048599712.1, XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1, XP_013713350.1, XP_013729530.2, XP_022560082.1, XP_013729306.2, XP_022567565.1, XP_013723216.2, XP_048599891.1, XP_048621360.1, XP_048605811.1, XP_013751647.1, XP_048605647.1, XP_048605472.1, XP_022575815.1, XP_048599772.1, XP_022573072.1, XP_013745520.2
OG0000003	Cg005G163140	XP_022552131.1, XP_013669317.2
OG0000003	Cg005G184670	XP_048612100.1
OG0000003	Cg005G182650	XP_048630645.1, XP_013669098.1, XP_048611542.1
OG0000004	Cg004G154080	XP_048593472.1, XP_048633069.1
OG0000004	Cg005G167340	XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2
OG0000004	Cg007G260170	XP_013709365.2, XP_013689957.1
OG0000005	Cg007G268560	XP_048591448.1
OG0000005	Cg005G186690, Cg003G078000, Cg005G192860	XP_048634185.1, XP_013650490.2, XP_013668599.2, XP_013669340.1, XP_013658945.2, XP_048611304.1, XP_048622965.1, XP_048596320.1, XP_048602704.1, XP_013720458.1, XP_048626877.1, XP_048594904.1, XP_013739148.2, XP_013713578.1
OG0000005	Cg003G086520	XP_013673764.3, XP_048622638.1, XP_013739679.2, XP_013729746.2
OG0000005	Cg005G188160	XP_048637311.1, XP_048621840.1, XP_048630649.1, XP_048613426.1, XP_048591270.1, XP_048633020.1, XP_048606173.1, XP_048620322.1, XP_022553759.1, XP_013739997.1, XP_013722776.3, XP_048593504.1, XP_013728385.1, XP_048596130.1, XP_048626384.1, XP_022559081.2
OG0000005	Cg005G185830	XP_048613553.1
OG0000005	Cg008G295320	XP_022564309.1
OG0000005	Cg005G188150	XP_048627733.1
OG0000005	Cg001G022230	XP_013728940.1, XP_013709795.2
OG0000005	Cg003G087270	XP_048599654.1, XP_013713504.1
OG0000005	Cg005G189270	XP_022566666.1
OG0000005	Cg006G213190	XP_048611997.1, XP_048601578.1
OG0000006	Cg008G312070	XP_048611470.1, XP_048604740.1, XP_013704285.1
OG0000006	Cg006G206830	XP_048615096.1, XP_048603562.1, XP_048600215.1, XP_022576063.2
OG0000006	Cg008G318730, Cg008G316770	XP_048593351.1
OG0000006	Cg004G148130, Cg002G063640	XP_048606381.1
OG0000007	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470	XP_048621886.1, XP_013751838.3, XP_048605509.1, XP_013726320.2, XP_048599635.1
OG0000007	Cg003G103180	XP_013700020.1, XP_048635088.1
OG0000007	Cg003G084380	XP_013689641.1
OG0000007	Cg001G041960, Cg003G089200	XP_013669482.2
OG0000007	Cg002G061850	XP_048637624.1, XP_048624133.1, XP_013650931.1, XP_013679317.2, XP_048611547.1, XP_013674098.1, XP_048604662.1, XP_048606193.1, XP_048599926.1, XP_048608923.1, XP_048637623.1, XP_022549744.1, XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1
OG0000007	Cg002G054650	XP_048624140.1
OG0000008	Cg008G312650	XP_013679543.2
OG0000008	Cg002G071180	XP_048628045.1, XP_048605317.1, XP_048630259.1, XP_048623705.1, XP_048635054.1, XP_013665093.3, XP_048608588.1, XP_048609223.1
OG0000008	Cg007G263310	XP_048606775.1, XP_048634035.1, XP_048605571.1, XP_048616724.1, XP_048607397.1, XP_048606349.1, XP_013668737.2, XP_048592900.1, XP_048615136.1, XP_048628393.1, XP_048604232.1
OG0000008	Cg002G055170	XP_048597022.1, XP_013658616.2
OG0000010	Cg001G010610	XP_022560075.1
OG0000010	Cg006G205490	XP_048611974.1, XP_048618623.1, YP_717137.1
