Orthogroup	Arabidopsis_lyrata_NCBI	Noccaea_praecox
OG0000000	XP_020880754.1, XP_020873125.1, XP_020875043.1, XP_020881970.1, XP_020882759.1, XP_020871264.1, XP_020886308.1, XP_020866272.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020872490.1, XP_020869697.1	Np004G220190
OG0000005	XP_020876464.1, XP_020881689.1	Np006G356630
OG0000005	XP_020882780.1	Np004G197000
OG0000005	XP_020876055.1, XP_020877155.1	Np004G202160, Np002G098860, Np007G395340, Np004G197010, Np001G027520, Np006G359670, Np001G029160, Np001G037420, Np001G041480, Np003G174230, Np001G015150, Np001G036410, Np001G068320
OG0000005	XP_020885673.1	Np003G170890, Np003G170800
OG0000006	XP_020870555.1, XP_020870157.1	Np002G092120
OG0000006	XP_020882643.1	Np005G313160
OG0000007	XP_020887823.1	Np005G307400
OG0000008	XP_020881833.1	Np002G096480
OG0000008	XP_020882645.1, XP_020879665.1, XP_020881700.1, XP_020879836.1, XP_020874196.1, XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020879646.1, XP_020872716.1	Np001G053530
OG0000012	XP_020885189.1	Np002G106990
OG0000012	XP_020874042.1	Np006G341500
OG0000014	XP_020874556.1	Np004G227310
OG0000015	XP_020865814.1	Np001G036120
OG0000017	XP_020879892.1, XP_020879506.1, XP_020887777.1	Np003G166290
OG0000017	XP_020876951.1	Np003G171300
OG0000018	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010
OG0000019	XP_020869090.1, XP_020878589.1	Np003G156030, Np004G211950
OG0000019	XP_020877201.1, XP_020872379.1, XP_020879405.1, XP_020871455.1	Np003G166760, Np002G106220
OG0000019	XP_020881858.1	Np001G029890
OG0000019	XP_020866193.1, XP_020870462.1	Np004G239770
OG0000019	XP_020875471.1, XP_020876980.1, XP_002888416.2	Np007G405080, Np001G027610
OG0000021	XP_020881895.1	Np005G303890
OG0000021	XP_020889841.1	Np004G199140
OG0000021	XP_020883515.1	Np007G402490, Np003G147560
OG0000023	XP_020878438.1	Np003G180610
OG0000023	XP_020873341.1	Np005G283730
OG0000023	XP_020873363.1, XP_020873728.1, XP_020873352.1	Np005G284120
OG0000023	XP_020877175.1	Np005G284010
OG0000023	XP_020873349.1	Np005G283870
OG0000024	XP_020874131.1	Np002G100170, Np001G029650, Np002G091590, Np007G393480
OG0000025	XP_020875061.1, XP_020867892.1, XP_020867900.1, XP_020871243.1, XP_020880825.1	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360
OG0000026	XP_020872549.1, XP_020881073.1, XP_020879655.1	Np003G171320
OG0000027	XP_002893654.2	Np004G214870, Np005G271730, Np004G214850
OG0000027	XP_020888987.1	Np004G215070
OG0000027	XP_002875716.2, XP_020879759.1, XP_020881113.1, XP_020879758.1	Np001G057950, Np001G057940
OG0000028	XP_020888389.1	Np003G175100
OG0000028	XP_020874443.1	Np006G356860, Np002G105400, Np003G145220, Np003G175090
OG0000029	XP_020889577.1	Np004G209620, Np002G086870, Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900, Np002G073630, Np002G090000
OG0000030	XP_020876174.1, XP_020865828.1	Np006G330890
OG0000031	XP_020869316.1, XP_020869509.1, XP_020868327.1, XP_020870640.1, XP_020868325.1, XP_002885504.2, XP_020869508.1, XP_020870927.1	Np004G244900
OG0000031	XP_002868609.1	Np005G318980
OG0000033	XP_002869784.2	Np005G284050, Np005G284060
OG0000033	XP_020873845.1, XP_020873368.1	Np005G283960, Np005G284080
OG0000033	XP_020873356.1	Np005G284160
OG0000034	XP_020890967.1	Np001G040260, Np002G107010
OG0000034	XP_020879181.1, XP_020871751.1, XP_020880608.1, XP_020885775.1, XP_020881477.1, XP_020875416.1, XP_020870606.1, XP_020872315.1, XP_020876122.1, XP_020884761.1, XP_020873738.1, XP_020889950.1, XP_020879983.1	Np006G341510
OG0000035	XP_002864982.2	Np006G356560
OG0000035	XP_002879361.2, XP_002881223.2, XP_002894465.2, XP_020881568.1	Np005G313520
OG0000036	XP_020868066.1	Np005G260660
OG0000036	XP_020877514.1	Np006G342170, Np003G136960, Np002G107350, Np007G403810
OG0000038	XP_020889818.1	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	XP_020875890.1, XP_020878747.1	Np007G415720
OG0000038	XP_020871436.1, XP_020881621.1	Np003G157800
OG0000038	XP_020868786.1	Np005G270740, Np005G270650, Np005G270700
OG0000038	XP_020871435.1	Np003G165810
OG0000038	XP_002893374.1	Np005G318000
OG0000039	XP_020866750.1	Np002G110420
OG0000040	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1	Np001G009070
OG0000040	XP_020869589.1, XP_020885911.1	Np004G224970, Np004G224940
OG0000040	XP_002884990.1, XP_002884981.1, XP_002884979.1	Np007G407000
OG0000042	XP_020877174.1	Np006G335330, Np006G369470
OG0000042	XP_020888726.1	Np001G027800
OG0000042	XP_020884682.1, XP_020887780.1	Np004G191660
OG0000044	XP_020883604.1, XP_020876127.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	XP_020885942.1, XP_020877131.1, XP_020871374.1	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	XP_020890956.1, XP_020882438.1	Np006G334530
OG0000045	XP_020872075.1	Np002G098570, Np005G284990
OG0000046	XP_020872918.1, XP_020872917.1	Np005G314650
OG0000046	XP_020873883.1	Np005G313240
OG0000046	XP_020874378.1	Np005G292150
OG0000046	XP_020872272.1, XP_020874589.1	Np005G313330
OG0000048	XP_020877809.1, XP_020877808.1	Np003G145480
OG0000048	XP_020877811.1	Np003G145420
OG0000048	XP_020877807.1, XP_020877805.1	Np003G145430, Np003G145400, Np003G145550
OG0000050	XP_020871212.1, XP_020876453.1	Np002G095850, Np002G095350, Np003G176510, Np002G107590
OG0000050	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1	Np002G099150
OG0000052	XP_020868191.1	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	XP_020885498.1	Np006G328530, Np006G328520
OG0000052	XP_002886390.1	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670
OG0000052	XP_020883312.1	Np002G116290, Np002G116590
OG0000052	XP_020883307.1	Np003G173020
OG0000053	XP_020870695.1, XP_020879890.1, XP_020878851.1, XP_020881512.1, XP_020875242.1, XP_020874679.1, XP_020866756.1, XP_020876759.1, XP_020886057.1	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000053	XP_020875483.1, XP_020876486.1	Np001G008270, Np001G039230, Np003G166770
OG0000054	XP_020884558.1	Np005G274000, Np001G042780, Np006G332680
OG0000055	XP_020880767.1	Np001G046730
OG0000055	XP_020889965.1	Np002G119410
OG0000055	XP_020868319.1	Np002G119400
OG0000055	XP_002888053.1, XP_020891223.1, XP_020891225.1	Np002G119520, Np002G119220, Np002G119170
OG0000057	XP_020883674.1	Np007G419120, Np007G419160, Np005G285180
OG0000057	XP_002862289.1, XP_020886512.1	Np007G375320
OG0000057	XP_002885221.2	Np007G392240, Np007G392300
OG0000057	XP_002888234.1, XP_020887245.1	Np007G398210, Np010G435080, Np007G401600
OG0000057	XP_020877906.1	Np005G317510, Np005G317540
OG0000057	XP_020889173.1	Np006G333600, Np006G333860, Np003G187520
OG0000057	XP_002883536.1, XP_020888450.1	Np007G376470
OG0000062	XP_020866308.1, XP_020879729.1	Np003G173970, Np003G170000
OG0000064	XP_020872718.1	Np005G260880
OG0000066	XP_020876760.1, XP_020875249.1, XP_020875248.1, XP_020891414.1, XP_020886001.1, XP_020877536.1, XP_020891413.1	Np005G262320
OG0000066	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1	Np003G136710
OG0000067	XP_020889441.1, XP_020889396.1	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	XP_002871317.2	Np003G144200
OG0000068	XP_020883599.1	Np004G231130, Np004G230610, Np005G282940
OG0000068	XP_020886028.1	Np002G089430
OG0000068	XP_020883624.1, XP_020891219.1, XP_020882782.1, XP_020872062.1, XP_020889582.1	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070
OG0000071	XP_020871478.1	Np001G008970, Np006G370520, Np003G157740
OG0000071	XP_020889746.1	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500
