Orthogroup	Alyssum_gmelinii	Cardamine_hirsuta
OG0000004	Ag005G427550	CARHR254290, CARHR228880, CARHR214930, CARHR142010
OG0000005	Ag008G703520	CARHR145720
OG0000005	Ag005G452100	CARHR055780, CARHR114650, CARHR153540
OG0000005	Ag007G610690	CARHR160220
OG0000005	Ag007G622540	CARHR248000
OG0000007	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540	CARHR034550
OG0000008	Ag002G148400	CARHR111800, CARHR114980
OG0000008	Ag005G430580	CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770
OG0000008	Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500	CARHR215020, CARHR181140, CARHR034850
OG0000008	Ag001G015890	CARHR217880, CARHR291920, CARHR221030, CARHR161340, CARHR161350, CARHR161300, CARHR161310, CARHR161290, CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860, CARHR286130, CARHR178960, CARHR119350, CARHR214330
OG0000013	Ag001G041140	CARHR116230, CARHR285000
OG0000015	Ag008G676660	CARHR258200
OG0000015	Ag008G687430	CARHR055900
OG0000019	Ag003G276070	CARHR218510
OG0000019	Ag006G545360	CARHR259400
OG0000020	Ag005G440730	CARHR159350, CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR287070
OG0000020	Ag006G521270	CARHR266450, CARHR035020, CARHR108040, CARHR158140
OG0000020	Ag007G652270	CARHR284240
OG0000023	Ag006G545600, Ag006G549030	CARHR057450, CARHR230660, CARHR230630
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	CARHR230510, CARHR230500
OG0000023	Ag002G145570, Ag002G145600	CARHR255070, CARHR255050
OG0000023	Ag002G145500	CARHR255040
OG0000023	Ag002G145450	CARHR254870
OG0000023	Ag006G547270	CARHR230390, CARHR230400
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	CARHR230300, CARHR230640
OG0000025	Ag003G230310	CARHR100780, CARHR220000, CARHR100770, CARHR248330, CARHR028790, CARHR267510, CARHR104940, CARHR242960, CARHR267690, CARHR267660, CARHR267520
OG0000027	Ag005G463660	CARHR052850
OG0000027	Ag006G546200, Ag005G439390	CARHR213730
OG0000027	Ag007G580660	CARHR112760
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	CARHR116610, CARHR153140
OG0000029	Ag006G523440	CARHR154270
OG0000029	Ag004G375950	CARHR006310
OG0000029	Ag005G441680, Ag006G519730	CARHR287350
OG0000029	Ag003G258710	CARHR213600
