Orthogroup	Noccaea_praecox	Raphanus_sativus
OG0000000	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430	XP_018459207.1, XP_018459208.1
OG0000000	Np005G293490	XP_018479771.1, XP_018470557.1
OG0000000	Np003G167670, Np002G107260, Np004G207890	XP_018435304.1, XP_018467378.1
OG0000002	Np001G043040	XP_018436085.1
OG0000003	Np006G360670	XP_018435851.1, XP_018435852.1
OG0000003	Np005G296980	XP_018459978.1, XP_018463503.1, XP_018460948.1, XP_018465356.1, XP_018467176.1, XP_018462233.1
OG0000003	Np008G429060, Np001G031010, Np002G099380	XP_018460462.1, XP_018463058.1
OG0000003	Np007G402470	XP_018463109.1
OG0000003	Np009G429910, Np003G170050	XP_018461854.1
OG0000003	Np003G170760	XP_018464076.1, XP_018465694.1, XP_018459974.1
OG0000004	Np002G100200	XP_018462059.1, XP_018453573.1
OG0000004	Np002G110370	XP_018454128.1, XP_018466708.1
OG0000004	Np005G318460	XP_018479791.1
OG0000004	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650	XP_018477037.1, XP_018479597.1, XP_018487968.1, XP_018473623.1, XP_018479587.1, XP_018443691.1, XP_018436376.1, XP_018479586.1, XP_018463022.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1
OG0000004	Np006G322460, Np007G418310	XP_018448539.1, XP_018443672.1, XP_018443671.1, XP_018488129.1, XP_018487799.1, XP_018462308.1, XP_018462595.1, XP_018435292.1, XP_018464994.1, XP_018463801.1
OG0000005	Np002G080500	XP_018479454.1
OG0000005	Np004G197000	XP_018479571.1, XP_018488331.1
OG0000005	Np007G395340	XP_018461258.1, XP_018435786.1
OG0000005	Np004G197010	XP_018458389.1, XP_018474214.1, XP_018448431.1, XP_018474296.1, XP_018436034.1, XP_018467672.1, XP_018488051.1, XP_018464274.1, XP_018487967.1, XP_018443348.1, XP_018479302.1, XP_018443324.1, XP_018435806.1, XP_018474082.1, XP_018479430.1, XP_018465007.1, XP_018453761.1, XP_018487451.1, XP_018479585.1
OG0000005	Np001G068320	XP_018474243.1, XP_018458174.1
OG0000005	Np004G203550, Np005G265280	XP_018458816.1
OG0000005	Np002G098830	XP_018473658.1
OG0000005	Np001G012890, Np001G012870	XP_018479530.1, XP_018462391.1
OG0000006	Np003G145740	XP_018465863.1, XP_018448282.1, XP_018438060.1, XP_018455359.1, XP_018459674.1, XP_018463970.1, XP_018453972.1, XP_018483196.1
OG0000006	Np005G313160	XP_018466154.1, XP_018479922.1, XP_018485455.1, XP_018471975.1, XP_018466130.1, XP_018467308.1, XP_018464921.1, XP_018479810.1, XP_018479657.1, XP_018462223.1, XP_018455976.1, XP_018466179.1, XP_018487693.1, XP_018473766.1
OG0000006	Np008G427000	XP_018448724.1, XP_018448723.1
OG0000007	Np003G129790, Np005G315800, Np003G152970	XP_018453653.1
OG0000007	Np002G092690	XP_018475855.1
OG0000007	Np001G031480	XP_018479455.1
OG0000007	Np006G356870	XP_018459162.1
OG0000008	Np002G102670	XP_018465341.1
OG0000008	Np005G307780, Np002G103180	XP_018458139.1, XP_018488090.1, XP_018444644.1, XP_018489767.1, XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018454008.1, XP_018475693.1, XP_018435390.1, XP_018435386.1, XP_018479750.1, XP_018464703.1, XP_018455757.1, XP_018436131.1, XP_018459798.1, XP_018473907.1, XP_018482699.1, XP_018488222.1, XP_018464317.1, XP_018469961.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018463041.1, XP_018448884.1, XP_018448882.1, XP_018489331.1, XP_018490599.1, XP_018460935.1
OG0000008	Np007G406420	XP_018476077.1
OG0000008	Np001G053530	XP_018473385.1, XP_018460436.1, XP_018467327.1, XP_018463808.1, XP_018464542.1, XP_018459493.1, XP_018458167.1, XP_018436091.1, XP_018453646.1, XP_018466936.1, XP_018443646.1, XP_018435526.1, XP_018487725.1, XP_018438736.1, XP_018459044.1
OG0000011	Np003G163940	XP_018479316.1, XP_018481586.1, XP_018466155.1
OG0000012	Np006G343630, Np002G100520	XP_018480111.1
OG0000012	Np006G354320, Np004G217870, Np006G359410, Np005G284210	XP_018484156.1, XP_018435326.1, XP_018463391.1
OG0000012	Np002G117990	XP_018460988.1
OG0000012	Np002G095110, Np002G111240	XP_018459711.1
OG0000012	Np002G106990	XP_018462251.1
OG0000012	Np004G217770	XP_018443761.1
OG0000012	Np010G434900	XP_018462951.1
OG0000013	Np004G228920	XP_018463067.1
OG0000014	Np001G042570, Np002G073300	XP_018479674.1, XP_018478555.1, XP_018473881.1, XP_018453670.1, XP_018479118.1, XP_018435897.1, XP_018463289.1, XP_018487609.1, XP_018435910.1, XP_018473974.1, XP_018473976.1
OG0000014	Np004G227310	XP_018463271.1
OG0000015	Np007G416100	XP_018435929.1
OG0000015	Np001G036120	XP_018475313.1
OG0000017	Np005G282110, Np005G282180, Np007G396400	XP_018463663.1, XP_018481037.1
OG0000018	Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980	XP_018437387.1, XP_018473966.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018462293.1, XP_018435368.1, XP_018462063.1, XP_018454009.1, XP_018443708.1, XP_018463883.1, XP_018462647.1, XP_018435392.1, XP_018479103.1, XP_018463665.1, XP_018463095.1, XP_018479594.1, XP_018486634.1, XP_018463561.1, XP_018444645.1, XP_018460228.1, XP_018443745.1, XP_018443744.1, XP_018454082.1, XP_018464618.1, XP_018461870.1, XP_018463351.1, XP_018487902.1, XP_018460936.1, XP_018489964.1
OG0000019	Np003G156030, Np004G211950	XP_018475002.1
OG0000019	Np003G166760, Np002G106220	XP_018465398.1, XP_018435783.1, XP_018436176.1
OG0000020	Np002G099760, Np002G102400, Np005G303330, Np004G208430, Np004G208440, Np005G303320, Np006G361160	XP_018482431.1
OG0000021	Np005G303890	XP_018479340.1, XP_018474062.1, XP_018473630.1, XP_018473970.1
OG0000021	Np007G393560	XP_018460019.1
OG0000021	Np004G199130	XP_018473849.1
OG0000021	Np004G199140	XP_018458516.1, XP_018473840.1, XP_018453894.1, XP_018460647.1, XP_018443762.1, XP_018464837.1, XP_018464826.1, XP_018463488.1, XP_018436223.1, XP_018473660.1, XP_018487877.1, XP_018461971.1, XP_018467689.1, XP_018453433.1, XP_018453884.1, XP_018435394.1
OG0000021	Np002G120150	XP_018473666.1
OG0000023	Np003G180610	XP_018464962.1, XP_018471375.1, XP_018461167.1, XP_018461172.1, XP_018466880.1
OG0000023	Np005G283730	XP_018483343.1
OG0000023	Np005G284120	XP_018448922.1, XP_018448923.1
OG0000023	Np005G283870	XP_018463400.1, XP_018480408.1
OG0000025	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	XP_018466902.1, XP_018469113.1, XP_018469254.1, XP_018469276.1, XP_018440555.1, XP_018440554.1, XP_018469209.1, XP_018466579.1, XP_018466613.1, XP_018466824.1, XP_018469469.1
OG0000025	Np003G160480	XP_018455417.1
