Orthogroup	Cardamine_hirsuta	Cardamine_amara
OG0000005	CARHR034640	evm.model.RL_2.975
OG0000005	CARHR017910	evm.model.RL_4.402
OG0000005	CARHR145720	evm.model.RL_4.816, evm.model.RL_4.229
OG0000005	CARHR217600	evm.model.RL_7.1952, evm.model.RL_8.339
OG0000006	CARHR216870, CARHR256390, CARHR115290, CARHR262640	evm.model.RL_6.444
OG0000006	CARHR052510, CARHR150730	evm.model.RL_1.2522
OG0000006	CARHR055190, CARHR182530	evm.model.RL_4.552
OG0000007	CARHR166210, CARHR219900	evm.model.RL_5.2474
OG0000007	CARHR219240	evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701
OG0000008	CARHR217630	evm.model.RL_7.2148, evm.model.RL_2.761
OG0000008	CARHR161340, CARHR161350	evm.model.RL_7.1211
OG0000011	CARHR060340	evm.model.RL_1.2267
OG0000013	CARHR218430, CARHR058120	evm.model.RL_6.758
OG0000013	CARHR259710, CARHR057870, CARHR288340	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641
OG0000013	CARHR287550	evm.model.RL_4.752
OG0000015	CARHR258200	evm.model.RL_1.3215
OG0000015	CARHR055900	evm.model.RL_1.2713, evm.model.RL_1.2714
OG0000017	CARHR213120	evm.model.RL_7.1516
OG0000017	CARHR049310, CARHR034150	evm.model.RL_3.2130
OG0000019	CARHR259400	evm.model.RL_7.2531
OG0000020	CARHR159320, CARHR180190	evm.model.RL_7.2127
OG0000020	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870	evm.model.RL_8.674
OG0000020	CARHR217640, CARHR108030	evm.model.RL_8.1178
OG0000020	CARHR154170	evm.model.RL_7.1677, evm.model.RL_7.2128
OG0000023	CARHR057450	evm.model.RL_2.1848
OG0000023	CARHR230660	evm.model.RL_2.1849
OG0000023	CARHR230450	evm.model.RL_2.1831
OG0000023	CARHR230510	evm.model.RL_2.1843
OG0000023	CARHR230500	evm.model.RL_2.1842
OG0000023	CARHR255040	evm.model.RL_8.636
OG0000023	CARHR254960, CARHR254930	evm.model.RL_2.1840
