Orthogroup	Conringia_planisiliqua	Eutrema_salsugineum
OG0000000	CP21_g10514_DN2_SP0_c.t1, CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1	XP_024014264.1, XP_024013215.1, XP_024004991.1
OG0000000	CP27_g41817_DN2_SP0_c.t1	XP_024011347.1
OG0000000	CP36_g50963_DN2_SP0_c.t1	XP_024006398.1
OG0000000	CP2_g49699_DN2_SP0_c.t1	XP_024014707.1
OG0000000	CP15_g34707_DN2_SP0_c.t1	XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024014000.1, XP_024010207.1
OG0000002	CP13_g20669_DN2_SP0_c.t1	XP_024016294.1
OG0000002	CP3_g16175_DN3_SP0_c.t1	XP_024010911.1, XP_024010912.1
OG0000003	CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1	XP_024005010.1
OG0000003	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1	XP_024006452.1
OG0000003	CP3_g15821_DN1_SP0_c.t1	XP_024009427.1
OG0000003	CP5_g1517_DN2_SP0_c.t1	XP_024004072.1
OG0000003	CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1	XP_024004813.1, XP_024004020.1
OG0000003	CP15_g36037_DN2_SP0_c.t1	XP_024007280.1, XP_024009246.1
OG0000003	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1	XP_024010659.1, XP_024010914.1
OG0000003	CP26_g51160_DN1_SP0_c.t1	XP_024016317.1
OG0000003	CP14_g22797_DN2_SP0_c.t1	XP_024013151.1
OG0000003	CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1	XP_024003873.1
OG0000003	CP5_g1881_DN3_SP0_c.t1	XP_024004974.1
OG0000003	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1	XP_024009942.1
OG0000003	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1	XP_024011300.1
OG0000003	CP26_g51324_DN2_SP0_c.t1, CP12_g31419_DN1_SP0_c.t1, CP13_g20626_DN1_SP0_c.t1, CP14_g22798_DN1_SP0_c.t1	XP_024014231.1
OG0000003	CP13_g20572_DN1_SP0_c.t1	XP_024007996.1
