protein	mRNA	gene
XP_018481289.1	XM_018625787.1	LOC108852278
XP_018483121.1	XM_018627619.1	LOC108854109
XP_018488001.1	XM_018632499.1	LOC108858590
XP_018470183.1	XM_018614681.1	LOC108841894
XP_018435917.1	XM_018580415.1	LOC108808236
XP_018470625.1	XM_018615123.1	LOC108842259
XP_018435923.1	XM_018580421.1	LOC108808244
XP_018435928.1	XM_018580426.1	LOC108808250
XP_018440066.1	XM_018584564.1	LOC108812323
XP_018440088.1	XM_018584586.1	LOC108812343
XP_018440076.1	XM_018584574.1	LOC108812332
XP_018444733.1	XM_018589231.1	LOC108816633
XP_018470668.1	XM_018615166.1	LOC108842296
XP_018468404.1	XM_018612902.1	LOC108840077
XP_018468392.1	XM_018612890.1	LOC108840068
XP_018463135.1	XM_018607633.1	LOC108834259
XP_018442880.1	XM_018587378.1	LOC108814752
XP_018479987.1	XM_018624485.1	LOC108851054
XP_018433701.1	XM_018578199.1	LOC108806157
XP_018433677.1	XM_018578175.1	LOC108806138
XP_018433689.1	XM_018578187.1	LOC108806148
XP_018469563.1	XM_018614061.1	LOC108841285
XP_018439139.1	XM_018583637.1	LOC108811571
XP_018439145.1	XM_018583643.1	LOC108811578
XP_018439041.1	XM_018583539.1	LOC108811489
XP_018439030.1	XM_018583528.1	LOC108811478
XP_018439053.1	XM_018583551.1	LOC108811498
XP_018439059.1	XM_018583557.1	LOC108811498
XP_018467776.1	XM_018612274.1	LOC108839517
XP_018439532.1	XM_018584030.1	LOC108811887
XP_018481161.1	XM_018625659.1	LOC108852150
XP_018487724.1	XM_018632222.1	LOC108858267
XP_018487743.1	XM_018632241.1	LOC108858267
XP_018487728.1	XM_018632226.1	LOC108858267
XP_018487736.1	XM_018632234.1	LOC108858267
XP_018487732.1	XM_018632230.1	LOC108858267
XP_018487749.1	XM_018632247.1	LOC108858294
XP_018487709.1	XM_018632207.1	LOC108858248
XP_018487716.1	XM_018632214.1	LOC108858248
XP_018487703.1	XM_018632201.1	LOC108858248
XP_018487697.1	XM_018632195.1	LOC108858239
XP_018487758.1	XM_018632256.1	LOC108858302
XP_018434858.1	XM_018579356.1	LOC108807102
XP_018434878.1	XM_018579376.1	LOC108807122
XP_018434831.1	XM_018579329.1	LOC108807082
XP_018434848.1	XM_018579346.1	LOC108807082
XP_018434839.1	XM_018579337.1	LOC108807082
XP_018434887.1	XM_018579385.1	LOC108807129
