Orthogroup	Arabidopsis_thaliana	Eutrema_salsugineum
OG0000003	AT1G43760.1	XP_024005010.1
OG0000008	AT5G28780.1	XP_024015912.1
OG0000008	AT3G51690.1, AT3G51700.1	XP_024013173.1
OG0000009	AT3G27495.1	XP_024006395.1
OG0000009	AT2G06845.1	XP_024011403.1, XP_024016212.1
OG0000020	AT2G11570.1	XP_024016132.1
OG0000021	AT3G31925.1	XP_024008232.1
OG0000022	AT4G26800.2	XP_006413138.1
OG0000022	AT5G16640.1	XP_006400202.2
OG0000022	AT1G63130.1, AT1G62680.1	XP_006391833.2
OG0000022	AT1G12615.1, AT1G62720.1	XP_006391829.2
OG0000022	AT3G22470.1	XP_006406159.2, XP_006418847.2
OG0000022	AT1G12700.2, AT1G12620.1	XP_006417237.2
OG0000022	AT1G12300.1, AT1G12775.1	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	AT1G06580.1	XP_024008093.1
OG0000022	AT1G64580.1	XP_006391605.2
OG0000022	AT5G41170.1	XP_024014798.1
OG0000022	AT3G16710.1	XP_024015415.1
OG0000024	AT1G60370.1	XP_006415351.1
OG0000024	AT3G56890.1, AT3G57580.1, AT3G57590.1	XP_024004275.1
OG0000027	AT4G11470.2	XP_024009838.1, XP_006396897.2
OG0000027	AT4G23320.3	XP_006413565.1
OG0000027	AT4G11460.1	XP_024009837.1
OG0000027	AT4G23250.2	XP_024013896.1
OG0000027	AT4G11530.1	XP_006396890.1
OG0000027	AT4G23190.1	XP_024004623.1
OG0000029	AT5G36225.1, AT2G17905.1	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000030	AT5G60560.2, AT3G20030.1	XP_006391637.1
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	XP_024008003.1
OG0000030	AT1G59680.2	XP_024009293.1
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	XP_024016186.1
OG0000030	AT1G66490.1	XP_024015244.1
OG0000031	AT4G10305.1	XP_024010455.1
OG0000034	AT4G23180.1	XP_006413571.1, XP_024010975.1
OG0000034	AT4G21400.1, AT4G21410.3	XP_024005104.1
OG0000034	AT4G23310.1, AT4G23280.1, AT4G23270.3	XP_006413567.2
OG0000035	AT2G07240.1	XP_024010425.1, XP_024007977.1
OG0000035	AT4G04957.1	XP_024007976.1, XP_024016141.1, XP_024008048.1, XP_024009273.1, XP_006391890.2, XP_024010301.1, XP_024016312.1, XP_024014902.1, XP_024016657.1, XP_024013938.1, XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1, XP_006393440.2
OG0000038	AT4G23160.2	XP_024006448.1
OG0000040	AT3G25720.1, AT4G10613.1	XP_024007589.1
OG0000044	AT5G46260.1, AT5G46270.4, AT1G31540.2, AT5G46490.2, AT5G46520.2, AT5G46510.1	XP_024013343.1
OG0000044	AT5G51630.1	XP_024009767.1
OG0000051	AT2G42480.1	XP_024004184.1
OG0000052	AT1G55030.2, AT4G13965.1	XP_024007553.1
OG0000052	AT3G51530.1	XP_024008507.1
OG0000052	AT3G49020.1	XP_006404188.1, XP_024010967.1
OG0000055	AT3G23420.1	XP_024012536.1
OG0000055	AT3G17620.1, AT3G18120.1	XP_006398121.1, XP_006406735.1
OG0000055	AT2G17830.1, AT5G42460.1	XP_024016535.1
OG0000056	AT3G46950.1	XP_006405761.2
OG0000061	AT4G27050.1	XP_006413201.2, XP_006413190.1
OG0000064	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34908.1	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	AT1G66910.1	XP_024014567.1
OG0000065	AT1G67000.1, AT1G66930.2	XP_006391458.1
OG0000065	AT5G38260.1	XP_024014561.1
OG0000065	AT5G39030.1, AT5G39020.1	XP_024014419.1
OG0000066	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
