Orthogroup	Capsella_rubella	Cardamine_hirsuta
OG0000000	XP_023644510.1, XP_023644490.1	CARHR228880, CARHR142010
OG0000000	XP_023636065.1, XP_023634315.1, XP_023640349.1, XP_023633451.1, XP_023633818.1	CARHR153350
OG0000007	XP_023640317.1	CARHR057560, CARHR111840, CARHR100700, CARHR258710, CARHR180780, CARHR182530, CARHR055190
OG0000007	XP_023635039.1	CARHR058800, CARHR052910, CARHR152010, CARHR154010
OG0000007	XP_023643663.1	CARHR150730
OG0000007	XP_023643356.1	CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020
OG0000007	XP_023634292.1	CARHR216040
OG0000007	XP_023634518.1, XP_023644418.1	CARHR032440, CARHR057030
OG0000008	XP_023641963.1	CARHR183140
OG0000008	XP_023644475.1, XP_023640337.1, XP_023633664.1, XP_023642844.1, XP_006279329.2, XP_006300347.2, XP_023644459.1, XP_006304508.2, XP_023634290.1	CARHR056560, CARHR114970, CARHR150550
OG0000008	XP_006282156.2	CARHR293430
OG0000008	XP_023641902.1	CARHR035430, CARHR217860
OG0000008	XP_023638567.1	CARHR161340
OG0000008	XP_023633352.1	CARHR051890, CARHR217020, CARHR131120, CARHR164530, CARHR288680, CARHR103530, CARHR257810, CARHR218380, CARHR259120
OG0000008	XP_023633344.1	CARHR118910, CARHR216990, CARHR111800
OG0000009	XP_023639614.1, XP_023644435.1, XP_023644436.1	CARHR059740
OG0000009	XP_006292284.1	CARHR114650
OG0000011	XP_023638113.1, XP_023633028.1	CARHR218510
OG0000011	XP_023644226.1	CARHR259400
OG0000012	XP_023644370.1, XP_023634858.1, XP_023636049.1	CARHR130420
OG0000014	XP_023638462.1, XP_023634279.1	CARHR287490
OG0000015	XP_023638902.1, XP_023636914.1, XP_023638085.1	CARHR110600
OG0000020	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1	CARHR113350, CARHR034150, CARHR049310
OG0000021	XP_023637954.1	CARHR146600
OG0000022	XP_006283550.1	CARHR234420
OG0000022	XP_023636761.1	CARHR196550
OG0000022	XP_006301194.2, XP_006300860.1	CARHR051050, CARHR048810
OG0000022	XP_006302102.1	CARHR049170
OG0000022	XP_006301814.1	CARHR049120
OG0000022	XP_006306232.1	CARHR013000
OG0000022	XP_023643559.1	CARHR046360
OG0000022	XP_006302132.1	CARHR046370
OG0000022	XP_023635463.1	CARHR213210
OG0000022	XP_006297483.1	CARHR091960
OG0000024	XP_023632988.1	CARHR174240
OG0000024	XP_023644529.1	CARHR213730
OG0000025	XP_023636962.1	CARHR288360
OG0000027	XP_023635858.1, XP_006289355.2, XP_006286462.1	CARHR255070
OG0000027	XP_006287218.1	CARHR255040
OG0000027	XP_023635866.1	CARHR255010, CARHR263990, CARHR255060, CARHR254990
OG0000027	XP_006284983.1	CARHR057450
OG0000027	XP_023634683.1	CARHR230510
OG0000027	XP_006283253.1	CARHR230500
OG0000027	XP_023638659.1	CARHR230410
OG0000027	XP_006289052.2	CARHR254910, CARHR254920
OG0000027	XP_023635860.1	CARHR254880
OG0000027	XP_006282816.1	CARHR055330
OG0000027	XP_023634698.1	CARHR230350
OG0000027	XP_023634685.1	CARHR230440
OG0000028	XP_023634475.1	CARHR285330, CARHR220000, CARHR100780
OG0000028	XP_006304936.1, XP_023644946.1	CARHR030090
OG0000028	XP_006281712.1	CARHR267520
OG0000028	XP_006285133.1	CARHR242050
OG0000028	XP_023633414.1	CARHR028780, CARHR203520
OG0000030	XP_023644289.1	CARHR060010, CARHR059990
OG0000030	XP_006293126.1	CARHR158520, CARHR158510, CARHR158530
OG0000030	XP_006297854.1, XP_006297862.1, XP_006300177.2	CARHR088860, CARHR095910, CARHR026350
OG0000032	XP_023634318.1	CARHR289940
OG0000032	XP_023632591.1	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880
OG0000034	XP_006283285.1	CARHR230270, CARHR230290
OG0000034	XP_006285944.1	CARHR055320, CARHR230240
OG0000034	XP_023634856.1	CARHR289950
OG0000034	XP_023635576.1	CARHR230230, CARHR230200
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	CARHR120350
OG0000035	XP_023640381.1, XP_023634177.1	CARHR216710, CARHR153260, CARHR182390
OG0000042	XP_023634283.1	CARHR258550, CARHR154720, CARHR116060, CARHR260310, CARHR285900
OG0000043	XP_006299187.2	CARHR288090
OG0000044	XP_023634755.1	CARHR175060
OG0000044	XP_006282385.2	CARHR175260
OG0000044	XP_023635630.1	CARHR290500, CARHR222990, CARHR223540
OG0000046	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1	CARHR273180, CARHR286710, CARHR217190
OG0000048	XP_023641959.1	CARHR126120
OG0000048	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2	CARHR126110
OG0000051	XP_006304062.1	CARHR002800
OG0000051	XP_023640868.1	CARHR137510
OG0000051	XP_023640424.1	CARHR137550, CARHR137540
OG0000051	XP_023640455.1, XP_023640454.1	CARHR260850
OG0000052	XP_023639087.1	CARHR148030
OG0000052	XP_006301891.2, XP_006301896.2	CARHR065210, CARHR065340
OG0000052	XP_023638056.1, XP_023639204.1	CARHR278910, CARHR148040
OG0000052	XP_006293172.2	CARHR150860
OG0000052	XP_006291114.1, XP_006291129.1	CARHR162490
OG0000052	XP_006293230.1, XP_006290348.2	CARHR162550
OG0000052	XP_023638945.1	CARHR162560
OG0000052	XP_023638946.1	CARHR162510
OG0000052	XP_023639178.1	CARHR162570
OG0000052	XP_006291102.1	CARHR157840
OG0000054	XP_023640334.1	CARHR218450
OG0000054	XP_023634647.1	CARHR153240
OG0000055	XP_006299228.1, XP_006300113.1	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	XP_023641570.1	CARHR092560, CARHR092720
OG0000055	XP_023642764.1	CARHR094260
OG0000055	XP_006286657.2	CARHR149840
OG0000055	XP_023641561.1	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000055	XP_006299379.1	CARHR092630, CARHR092620, CARHR213520
OG0000056	XP_006302241.1	CARHR050320
OG0000056	XP_006302237.1	CARHR049970
OG0000056	XP_006302243.1	CARHR049990, CARHR050000
OG0000056	XP_006301193.1	CARHR050280, CARHR049980, CARHR050290
OG0000056	XP_006301052.1	CARHR050160
OG0000056	XP_006292456.1	CARHR155600
OG0000059	XP_023633548.1, XP_023644244.1, XP_023634277.1	CARHR293330, CARHR148640, CARHR151940, CARHR118340
OG0000061	XP_006307356.2, XP_023645797.1	CARHR228580
OG0000061	XP_023634933.1	CARHR215660
OG0000061	XP_023640829.1	CARHR123070
OG0000061	XP_023635299.1	CARHR151510, CARHR219570
OG0000064	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1	CARHR054420, CARHR289730, CARHR289690
OG0000065	XP_023644442.1	CARHR059090, CARHR059230, CARHR059320, CARHR124320
OG0000065	XP_023644283.1	CARHR059130, CARHR059070, CARHR059140
OG0000065	XP_023643067.1	CARHR059270, CARHR059250
OG0000065	XP_006300887.1	CARHR059080
OG0000065	XP_023644284.1	CARHR059200
OG0000065	XP_023637822.1	CARHR214430
OG0000065	XP_006290268.1	CARHR214400
OG0000065	XP_006290703.1	CARHR214340, CARHR214350
OG0000065	XP_006286236.1	CARHR263400
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160
OG0000066	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1	CARHR202310
OG0000068	XP_006289028.2	CARHR210960
OG0000068	XP_006289558.2, XP_023637635.1, XP_006286541.1	CARHR210190
OG0000070	XP_006305612.2	CARHR010350
OG0000070	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	XP_006304273.1	CARHR020650
OG0000070	XP_006302938.1	CARHR069500
OG0000070	XP_023637791.1	CARHR284690
OG0000070	XP_006299005.1, XP_023638023.1, XP_006286731.1, XP_006289176.1, XP_006285109.1	CARHR052170, CARHR288810
OG0000072	XP_006282913.2, XP_023638967.1	CARHR153090
OG0000075	XP_006285279.1	CARHR247180
OG0000075	XP_006283916.1	CARHR247150
