Orthogroup	Aethionema_saxatile	Arabidopsis_arenosa
OG0000000	As001G006630, As006G147610	jg6905, jg17418
OG0000003	As003G066700, As007G166450, As007G166410, As003G066730, As003G066690, As007G166480	jg11918
OG0000004	As007G177100	jg25786
OG0000005	As007G177090, As005G111430	jg21611, jg16911, jg12161, jg12492
OG0000008	As006G149000	jg27185
OG0000010	As012G280540, As003G067340	jg11731
OG0000011	As012G276770, As007G163680, As002G041220, As004G093340	jg27473, jg29119
OG0000013	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120	jg11978
OG0000015	As007G166610	jg32444
OG0000015	As010G225860	jg21088, jg11869
OG0000015	As011G262280	jg21086
OG0000015	As011G262470	jg6954
OG0000017	As009G209200	jg7335
OG0000017	As006G147350	jg11431, jg32222, jg15995, jg27353
OG0000017	As006G144790, As012G280790	jg1560
OG0000017	As003G065520	jg31846
OG0000017	As011G261070, As010G227380	jg6883
OG0000017	As003G065780	jg6884
OG0000019	As009G203070	jg13651
OG0000019	As010G228470, As001G007070	jg13839
OG0000019	As010G228190	jg28177
OG0000020	As009G211210, As012G277620, As011G260540, As001G015300	jg27186
OG0000021	As001G004280	jg17562
OG0000021	As011G259540, As001G012170	jg27173
OG0000021	As003G071480, As010G232120	jg17386, jg13577, jg12206
OG0000023	As003G061360	jg10174
OG0000023	As003G061290	jg10189, jg10184, jg10183
OG0000023	As004G084560, As004G084580, As004G084570	jg7526, jg7533, jg7537, jg7530
OG0000023	As003G061270	jg10192
OG0000029	As001G005430	jg21060
OG0000029	As004G091740, As005G109110	jg16768
OG0000029	As008G192170	jg17949
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	jg32294, jg33373, jg6978
OG0000030	As001G013020	jg6977
OG0000030	As001G013350	jg11609
OG0000031	As001G032000	jg663, jg481, jg538, jg645, jg586, jg583, jg572, jg642
OG0000031	As009G202600	jg5495
OG0000031	As006G134510	jg12744, jg25741, jg9770
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	jg10203, jg10197, jg10193
OG0000033	As003G059410, As003G059430, As003G059400	jg10426, jg10425
OG0000033	As003G061210, As003G061160	jg10176, jg10175, jg10177, jg10198, jg10208, jg10195, jg10202
OG0000033	As004G086230	jg7784
OG0000035	As005G105710, As005G106260, As012G269410	jg33607
OG0000036	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567
OG0000038	As009G211050, As009G210990, As009G210820	jg20023, jg549
OG0000038	As007G157540	jg25018, jg31052
