protein	mRNA	gene
XP_010417087.1	XM_010418785.2	LOC104702863
XP_010445018.1	XM_010446716.2	LOC104698669
XP_010508927.1	XM_010510625.2	LOC104782586
XP_010422041.1	XM_010423739.2	LOC104704535
XP_019099189.1	XM_019243644.1	LOC104704535
XP_010431524.1	XM_010433222.2	LOC104713104
XP_010477171.1	XM_010478869.2	LOC104753415
XP_010447824.1	XM_010449522.2	LOC104721701
XP_010441487.1	XM_010443185.2	LOC104721701
XP_010467745.1	XM_010469443.2	LOC104721701
XP_019099195.1	XM_019243650.1	LOC104721701
XP_010499896.1	XM_010501594.2	LOC104776450
XP_010499187.1	XM_010500885.2	LOC104776450
XP_019099206.1	XM_019243661.1	LOC109132256
XP_010498082.1	XM_010499780.2	LOC104762031
XP_019099202.1	XM_019243657.1	LOC104762031
XP_010500953.1	XM_010502651.2	LOC104777961
XP_010501826.1	XM_010503524.2	LOC104778870
XP_019099212.1	XM_019243667.1	LOC104778870
XP_010503305.2	XM_010505003.2	LOC104780192
XP_010417107.1	XM_010418805.1	LOC104702884
XP_010505482.1	XM_010507180.1	LOC104781998
XP_019099213.1	XM_019243668.1	LOC104782874
XP_010507818.1	XM_010509516.1	LOC104783681
XP_010507326.1	XM_010509024.2	LOC104783681
XP_010508557.1	XM_010510255.2	LOC104783681
XP_010509291.1	XM_010510989.2	LOC104783681
XP_019099221.1	XM_019243676.1	LOC104783681
XP_019099222.1	XM_019243677.1	LOC104786340
XP_019099230.1	XM_019243685.1	LOC109132260
XP_010511329.1	XM_010513027.2	LOC104787177
XP_010512003.1	XM_010513701.2	LOC104787177
XP_010512938.1	XM_010514636.2	LOC104788572
XP_010513594.1	XM_010515292.1	LOC104789389
XP_010417138.1	XM_010418836.1	LOC104702913
XP_010514495.1	XM_010516193.2	LOC104790133
XP_010515508.1	XM_010517206.2	LOC104791045
XP_019099239.1	XM_019243694.1	LOC104791937
XP_010516613.1	XM_010518311.2	LOC104791937
XP_019099244.1	XM_019243699.1	LOC104792817
XP_010517690.1	XM_010519388.2	LOC104792817
XP_010518377.1	XM_010520075.2	LOC104792817
XP_010412871.1	XM_010414569.2	LOC104698933
XP_010413829.1	XM_010415527.2	LOC104699796
XP_010417149.1	XM_010418847.1	LOC104702925
XP_010415549.1	XM_010417247.2	LOC104700682
XP_010414882.1	XM_010416580.2	LOC104700682
XP_010417298.1	XM_010418996.2	LOC104702134
XP_010416604.1	XM_010418302.1	LOC104702134
XP_019099265.1	XM_019243720.1	LOC104703658
XP_010418364.1	XM_010420062.2	LOC104703658
XP_010423080.1	XM_010424778.2	LOC104707960
XP_010421374.1	XM_010423072.2	LOC104706541
XP_010422042.1	XM_010423740.2	LOC104706541
XP_010417161.1	XM_010418859.1	LOC104702931
XP_010420328.1	XM_010422026.2	LOC104704536
XP_010419622.1	XM_010421320.2	LOC104704536
XP_019099271.1	XM_019243726.1	LOC104708829
XP_010424077.1	XM_010425775.1	LOC104708829
XP_019099275.1	XM_019243730.1	LOC104708829
