Orthogroup	Conringia_planisiliqua	Camelina_sativa
OG0000000	CP8_g52821_DN1_SP0_c.t1	XP_010413204.1
OG0000000	CP3_g14603_DN1_SP0_c.t1	XP_010437344.1, XP_010474056.1
OG0000000	CP28_g33903_DN1_SP0_c.t1	XP_010419000.1, XP_010431245.1
OG0000000	CP24_g47044_DN1_SP0_c.t1	XP_010431244.1, XP_019089229.1
OG0000000	CP27_g41816_DN1_SP0_c.t1	XP_010484733.1, XP_010507009.1
OG0000000	CP6_g8175_DN3_SP0_c.t1	XP_010412393.1, XP_019093318.1, XP_010436852.1
OG0000000	CP4_g26294_DN2_SP0_c.t1	XP_019090119.1
OG0000000	CP3_g15795_DN1_SP0_c.t1	XP_010518602.1, XP_019089085.1
OG0000000	CP27_g41817_DN2_SP0_c.t1	XP_010419043.1, XP_019092333.1
OG0000000	CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1	XP_010436306.1
OG0000000	CP2_g50561_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1
OG0000000	CP13_g20778_DN3_SP0_c.t1, CP1_g40810_DN1_SP0_c.t1	XP_019098248.1, XP_019093248.1, XP_019092295.1
OG0000000	CP6_g9325_DN2_SP0_c.t1	XP_019084422.1, XP_010451787.1
OG0000000	CP17_g5953_DN1_SP0_c.t1	XP_010456795.1
OG0000000	CP5_g2386_DN1_SP0_c.t1	XP_010507173.1, XP_019101891.1
OG0000000	CP6_g8147_DN1_SP0_c.t1	XP_019101571.1
OG0000000	CP9_g28197_DN3_SP0_c.t1	XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1
OG0000000	CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1	XP_019101890.1
OG0000000	CP8_g52615_DN2_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP2_g49678_DN3_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1	XP_019082488.1
