Orthogroup	Arabidopsis_arenosa	Erysimum_linariifolium
OG0000000	jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262	El001G044730
OG0000000	jg6893, jg23550	El001G044710
OG0000000	jg6905	El001G044760
OG0000000	jg27064	El004G209750
OG0000002	jg27118	El004G208640
OG0000002	jg13863	El006G293750
OG0000003	jg1672	El003G181050
OG0000005	jg20691, jg3218, jg19324, jg12452, jg12267, jg12278	El001G038630
OG0000005	jg20041	El002G120600
OG0000005	jg23533	El003G167150
OG0000005	jg17538	El004G208560
OG0000005	jg11602	El002G104670, El006G315290, El001G049310, El004G194230
OG0000005	jg13854	El004G214890
OG0000005	jg1845	El002G120930, El007G348880
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	El002G122720
OG0000005	jg21920	El007G349440, El001G070000
OG0000005	jg21901, jg12230	El002G135590, El005G263180
OG0000005	jg27468	El006G313170
OG0000005	jg21611, jg16911, jg12161, jg12492	El002G106850
OG0000007	jg6465	El007G352010, El006G311480
OG0000008	jg15069, jg15062, jg15057, jg15054	El001G021990, El001G021710
OG0000011	jg27473, jg29119, jg27079	El002G082610
OG0000012	jg26919, jg12454, jg31920, jg1757, jg32331, jg12319, jg3735	El002G120760
OG0000012	jg32355, jg32390, jg32436, jg32336, jg17412	El002G129160
OG0000013	jg1575	El006G310100
OG0000013	jg11978	El007G350800
OG0000014	jg22974	El001G041310
OG0000015	jg21088, jg11869	El060G376140, El053G375740
OG0000015	jg27710	El001G079510
OG0000017	jg27354	El003G166860, El007G325530
OG0000017	jg21095	El007G336340
OG0000017	jg11431	El007G356670
OG0000017	jg1560	El004G210020
OG0000018	jg4400, jg32393, jg11989, jg32560, jg26774	El003G154150, El006G318220, El001G007900, El001G053230
OG0000018	jg3954, jg701, jg1978, jg32225, jg20321	El002G082650
OG0000018	jg25715	El001G048290
OG0000019	jg13651	El002G122780
OG0000019	jg26287	El004G213790
OG0000019	jg13839	El007G351400
OG0000020	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520	El002G120700, El006G296260
OG0000020	jg27186	El001G045330, El001G045300, El001G045270
OG0000021	jg17386, jg13577, jg12206	El005G277430, El007G325630
OG0000023	jg10181	El007G357800
OG0000023	jg7517	El001G007540
OG0000023	jg10191	El003G162170
OG0000023	jg10192	El003G162130
OG0000023	jg10187	El003G192470
OG0000024	jg13862	El006G293740
OG0000024	jg2022	El007G351440, El002G140900
OG0000025	jg22442	El001G014130
OG0000025	jg12583, jg12582	El003G190320
OG0000025	jg22219	El007G338200
OG0000025	jg22007	El007G340450, El007G340490
OG0000025	jg22006	El007G340430
OG0000025	jg22074	El007G339540, El007G339570
OG0000025	jg21838	El007G342330, El007G342400
OG0000025	jg21837	El007G342390
OG0000025	jg4645	El007G340950
OG0000027	jg17071	El002G120570, El001G054130, El006G316890, El006G314010
OG0000027	jg31696, jg31707, jg31681	El002G117920, El002G117750, El002G117960, El002G117930, El002G117950
OG0000027	jg16932, jg16933	El006G314050, El006G316880
OG0000027	jg31705	El002G118120, El002G111110
OG0000027	jg31855, jg31856, jg31953, jg31952	El002G120540
OG0000027	jg31701, jg31702, jg31695, jg7351, jg31700, jg31706, jg31682	El002G118130
OG0000027	jg31674, jg31676, jg31678, jg31679, jg31677	El002G117940
