Orthogroup	Cardamine_hirsuta	Camelina_sativa
OG0000000	CARHR228880, CARHR142010	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1
OG0000000	CARHR153350	XP_010424208.1, XP_019101571.1, XP_019092328.1, XP_019087439.1, XP_010456766.1, XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1, XP_019101890.1, XP_010463143.1, XP_019098912.1, XP_010507174.1
OG0000007	CARHR258710	XP_010431602.1, XP_010495651.1
OG0000007	CARHR180980, CARHR287750	XP_019086691.1
OG0000007	CARHR058800, CARHR052910, CARHR152010, CARHR154010	XP_010436667.1, XP_010435400.1
OG0000007	CARHR144660, CARHR100290	XP_010481225.1
OG0000007	CARHR060230, CARHR133710, CARHR271640, CARHR058320	XP_010507307.1
OG0000007	CARHR096020	XP_010511600.1, XP_010507587.1
OG0000007	CARHR029260, CARHR156010, CARHR051850	XP_019087477.1
OG0000007	CARHR151410	XP_010485281.1
OG0000007	CARHR214530	XP_010421049.1, XP_010468811.1
OG0000007	CARHR150730	XP_010485291.1, XP_010478660.1, XP_010500080.1
OG0000007	CARHR024460	XP_019083796.1, XP_010469173.1, XP_010444914.1
OG0000007	CARHR060220	XP_010501823.1
OG0000007	CARHR271650	XP_010428435.1
OG0000007	CARHR055800, CARHR216040, CARHR051840	XP_019099816.1, XP_010463256.1
OG0000008	CARHR046080, CARHR116420	XP_010484914.2
OG0000008	CARHR101910	XP_010418963.1, XP_010494551.1, XP_019090719.1
OG0000008	CARHR159360	XP_019085413.1
OG0000008	CARHR258310, CARHR217850	XP_019084270.1
OG0000008	CARHR183140	XP_010490195.1
OG0000008	CARHR056560, CARHR114970, CARHR150550	XP_010468434.1, XP_019086304.1, XP_010496023.1, XP_010484923.1, XP_010474067.1, XP_019094615.1, XP_010484960.1, XP_010473823.2, XP_010506903.1
OG0000008	CARHR293430	XP_010484838.1, XP_010425247.1, XP_010480908.1, XP_010451894.1
OG0000008	CARHR035430, CARHR217860	XP_010423670.1, XP_010507012.1
OG0000008	CARHR118900	XP_019087530.1, XP_010419093.1, XP_019096488.1, XP_010419095.1
OG0000008	CARHR161340	XP_010431254.1, XP_010507402.1
OG0000008	CARHR161350	XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000008	CARHR217020, CARHR131120, CARHR164530, CARHR288680	XP_010456996.1
OG0000008	CARHR103530	XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2
OG0000008	CARHR257810, CARHR218380	XP_010445494.1
OG0000008	CARHR259120	XP_019087202.1
OG0000008	CARHR119350, CARHR214330	XP_010495176.1, XP_010497048.1
OG0000008	CARHR286130, CARHR178960	XP_019100926.1, XP_010451668.1, XP_010434876.2, XP_010495526.1, XP_010445463.1, XP_010445485.1
OG0000008	CARHR118910, CARHR216990, CARHR111800	XP_019097389.1, XP_019092334.1, XP_010480870.1, XP_019084336.1
OG0000009	CARHR217600, CARHR160220	XP_019096542.1
OG0000009	CARHR091740	XP_019090183.1
