Orthogroup	Brassica_oleracea	Rorippa_islandica
OG0000000	XP_013589224.1	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p
OG0000000	XP_013615253.1	Roisl.0188s0090.1.p
OG0000000	XP_013639798.1	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p
OG0000000	XP_013589426.1, XP_013608138.1, XP_013601226.1	Roisl.0213s0782.1.p
OG0000000	XP_013594546.1, XP_013589191.1, XP_013617741.1, XP_013624739.1	Roisl.0210s2160.1.p
OG0000000	XP_013594889.1	Roisl.0213s0402.1.p
OG0000000	XP_013625528.1, XP_013601584.1	Roisl.0052s0046.1.p
OG0000000	XP_013608111.1, XP_013594666.1, XP_013608239.1, XP_013601232.1, XP_013617485.1, XP_013624473.1, XP_013616899.1, XP_013614454.1, XP_013594530.1, XP_013624623.1, XP_013599200.1, XP_013607275.1, XP_013601459.1, XP_013624458.1, XP_013633199.1, XP_013623358.1, XP_013624757.1, XP_013608522.1	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000000	XP_013594493.1, XP_013617747.1, XP_013625011.1, XP_013583433.1, XP_013601125.1, XP_013608309.1, XP_013617255.1, XP_013624915.1, XP_013595166.1	Roisl.0213s0280.1.p
OG0000002	XP_013624587.1	Roisl.0058s0007.1.p
OG0000002	XP_013632468.1	Roisl.0012s0025.1.p
OG0000002	XP_013624471.1, XP_013630619.1	Roisl.0047s0024.1.p
OG0000003	XP_013624336.1, XP_013594483.1, XP_013632484.1, XP_013616875.1, XP_013589405.1, XP_013595187.1	Roisl.0058s0055.1.p
OG0000003	XP_013589325.1, XP_013589254.1, XP_013614571.1, XP_013624212.1, XP_013633333.1, XP_013624315.1, XP_013588987.1, XP_013583277.1, XP_013607765.1, XP_013601688.1, XP_013617795.1, XP_013601139.1	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	XP_013617405.1, XP_013608114.1	Roisl.0058s0089.1.p
OG0000003	XP_013639726.1	Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p
OG0000003	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1	Roisl.0053s0045.1.p, Roisl.0189s0026.1.p, Roisl.0193s0022.1.p, Roisl.0020s0023.1.p, Roisl.0047s0047.1.p, Roisl.0213s0702.1.p, Roisl.0185s0035.1.p, Roisl.0179s0027.1.p, Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p, Roisl.0056s0038.1.p, Roisl.0213s0675.1.p, Roisl.0058s0002.1.p, Roisl.0012s0115.1.p, Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p, Roisl.0213s0758.1.p
OG0000003	XP_013614573.1	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
OG0000003	XP_013613468.1, XP_013617596.1, XP_013617356.1	Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p
OG0000003	XP_013627043.1, XP_013617494.1, XP_013632789.1, XP_013601566.1, XP_013639497.1, XP_013624636.1, XP_013614100.1, XP_013632720.1, XP_013639355.1, XP_013588945.1, XP_013632709.1, XP_013583280.1, XP_013601339.1, XP_013639556.1, XP_013617158.1, XP_013594697.1	Roisl.0194s0028.1.p, Roisl.0209s0038.1.p
OG0000004	XP_013583420.1	Roisl.0213s0732.1.p
OG0000005	XP_013624326.1	Roisl.0006s0578.1.p
OG0000005	XP_013626656.1, XP_013589417.1	Roisl.0046s0518.1.p
OG0000005	XP_013616730.1	Roisl.0195s0004.1.p
OG0000005	XP_013624627.1	Roisl.0082s0003.1.p, Roisl.0194s0063.1.p
OG0000005	XP_013624301.1	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p
OG0000008	XP_013601357.1	Roisl.0082s0661.1.p
OG0000008	XP_013629664.1	Roisl.0036s0059.1.p
OG0000008	XP_013614821.1	Roisl.0025s0028.1.p, Roisl.0072s0014.1.p
OG0000008	XP_013624474.1	Roisl.0210s2153.1.p
OG0000008	XP_013617960.1, XP_013589518.1, XP_013616794.1	Roisl.0036s0056.1.p, Roisl.0053s0438.1.p
OG0000008	XP_013583252.1	Roisl.0208s0049.1.p, Roisl.0065s0019.1.p, Roisl.0209s0203.1.p
OG0000008	XP_013601615.1	Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000008	XP_013624694.1	Roisl.0022s0261.1.p
OG0000008	XP_013632335.1	Roisl.0053s0125.1.p
OG0000011	XP_013617429.1	Roisl.0008s0052.1.p
OG0000011	XP_013622528.1	Roisl.0019s0018.1.p
OG0000012	XP_013601212.1	Roisl.0013s0173.1.p, Roisl.0046s1019.1.p
OG0000012	XP_013600999.1, XP_013624439.1	Roisl.0007s0348.1.p, Roisl.0005s0302.1.p, Roisl.0074s0629.1.p, Roisl.0080s0608.1.p, Roisl.0115s0531.1.p, Roisl.0032s0103.1.p, Roisl.0006s0203.1.p, Roisl.0020s0178.1.p
OG0000012	XP_013608304.1, XP_013594412.1, XP_013614778.1, XP_013588899.1, XP_013601161.1, XP_013607652.1, XP_013624688.1, XP_013614655.1, XP_013589438.1, XP_013601311.1, XP_013594004.1, XP_013639324.1, XP_013594716.1, XP_013608513.1, XP_013589531.1, XP_013623942.1, XP_013601548.1, XP_013633347.1, XP_013633008.1, XP_013623653.1, XP_013616871.1, XP_013633036.1, XP_013594810.1, XP_013607496.1, XP_013633302.1, XP_013594605.1, XP_013624714.1, XP_013601355.1, XP_013583467.1, XP_013624002.1, XP_013624342.1, XP_013583393.1, XP_013594658.1, XP_013624746.1, XP_013623738.1, XP_013614361.1, XP_013589530.1, XP_013617310.1, XP_013632383.1, XP_013601077.1, XP_013601337.1, XP_013624535.1	Roisl.0024s0027.1.p, Roisl.0091s0798.1.p, Roisl.0189s0072.1.p, Roisl.0027s0111.1.p, Roisl.0028s0041.1.p, Roisl.0210s1889.1.p, Roisl.0091s0194.1.p, Roisl.0204s0043.1.p, Roisl.0056s0007.1.p
OG0000012	XP_013614480.1	Roisl.0214s0631.1.p
