Orthogroup	Noccaea_praecox	Eutrema_salsugineum
OG0000000	Np001G0404400, Np005G3184700, Np001G0462400	XP_024004414.1
OG0000000	Np002G1103800, Np006G3557600, Np002G0968700, Np001G0205900	XP_024013148.1
OG0000000	Np002G1002000	XP_024014707.1
OG0000002	Np002G1057700, Np008G4275500	XP_024013097.1
OG0000002	Np008G4260500	XP_024006551.1
OG0000002	Np009G4293000	XP_024014438.1
OG0000002	Np001G0430400	XP_024009451.1, XP_024013993.1, XP_024016193.1, XP_024013954.1, XP_024016116.1, XP_024013210.1, XP_024015869.1, XP_024011258.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024010553.1, XP_024009251.1, XP_024010604.1, XP_024014521.1, XP_024006130.1, XP_024009464.1
OG0000002	Np007G4054400	XP_024009904.1, XP_024010307.1, XP_024013058.1, XP_024015923.1, XP_024011338.1, XP_024007318.1
OG0000003	Np007G3935700	XP_024004423.1
OG0000003	Np005G3039000	XP_024006573.1, XP_024005010.1, XP_024016553.1
OG0000003	Np003G1537900	XP_024010659.1, XP_024010914.1
OG0000003	Np004G2165300	XP_024016317.1
OG0000003	Np006G3523600	XP_024014348.1, XP_024011850.1, XP_024010650.1, XP_024010600.1, XP_024014297.1, XP_024004974.1, XP_024015880.1, XP_024014004.1, XP_024009942.1, XP_024014527.1
OG0000003	Np003G1349400	XP_024007996.1
OG0000003	Np004G1991500, Np007G4180900	XP_024009434.1, XP_024015940.1
OG0000003	Np004G1991400	XP_024004985.1
OG0000004	Np004G2079000, Np003G1676800, Np002G1072700, Np004G2202000	XP_024007302.1
OG0000004	Np005G2935100	XP_024009381.1, XP_024016564.1, XP_024011370.1
OG0000004	Np005G2935000	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1
OG0000005	Np001G0309600, Np006G3467000, Np003G1728300	XP_024016833.1
OG0000005	Np002G1022400, Np007G4025000	XP_024013099.1
OG0000005	Np006G3465300	XP_024016242.1, XP_024013377.1, XP_024015852.1
OG0000005	Np003G1689900	XP_024009771.1
OG0000005	Np005G2966500	XP_024007306.1
OG0000005	Np012G4370200, Np004G2223900	XP_024009449.1, XP_024013376.1, XP_024007271.1, XP_024007283.1, XP_024009480.1, XP_024013095.1, XP_024009250.1, XP_024016376.1, XP_024010624.1, XP_024014001.1, XP_024015858.1, XP_024015023.1
OG0000005	Np003G1685100	XP_024010905.1, XP_024015845.1
