Orthogroup	Cardamine_amara	Camelina_sativa
OG0000000	evm.model.RL_4.710	XP_010468186.1, XP_010501684.1, XP_019098112.1, XP_010451376.1, XP_010484959.1, XP_010446038.1
OG0000000	evm.model.RL_6.904, evm.model.RL_8.1136	XP_019085399.1, XP_010468113.1
OG0000000	evm.model.RL_4.378, evm.model.RL_7.1948, evm.model.RL_6.512, evm.model.RL_3.844, evm.model.RL_4.736, evm.model.RL_8.405	XP_010445388.1, XP_010501566.1, XP_010507019.1, XP_019084411.1, XP_010518611.1
OG0000000	evm.model.RL_2.714	XP_010424301.1
OG0000000	evm.model.RL_4.599	XP_010507177.1, XP_010495973.1, XP_010507007.1, XP_010418888.1
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	XP_019096757.1
OG0000000	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512	XP_019085777.1, XP_019094874.1, XP_019095344.1, XP_019088092.1
OG0000002	evm.model.RL_5.2510, evm.model.RL_3.454	XP_010484771.1, XP_010513476.1
OG0000002	evm.model.RL_1.3300	XP_010423585.1
OG0000002	evm.model.RL_1.3293	XP_010495565.1, XP_010424742.1
OG0000002	evm.model.RL_1.3299	XP_019100353.1
OG0000002	evm.model.RL_4.1699	XP_010506994.1
OG0000002	evm.model.RL_7.2065	XP_010507127.1, XP_010513345.1
OG0000002	evm.model.RL_4.153	XP_010495465.1
OG0000002	evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607	XP_019100799.1, XP_010431635.1, XP_019101801.1
OG0000003	evm.model.RL_2.1084	XP_010480943.1
OG0000003	evm.model.RL_1.3305	XP_019082698.1
OG0000003	evm.model.RL_2.548	XP_019098958.1
OG0000003	evm.model.RL_2.709	XP_010471072.1
OG0000003	evm.model.RL_2.708	XP_019086518.1, XP_019094534.1
OG0000003	evm.model.RL_6.652	XP_010451581.1
OG0000003	evm.model.RL_7.2055, evm.model.RL_6.631	XP_019091104.1, XP_019089272.1, XP_019097484.1, XP_019086811.1, XP_019094600.1, XP_019098316.1, XP_019085539.1, XP_019085526.1
OG0000003	evm.model.RL_7.2059, evm.model.RL_6.676	XP_019098361.1
OG0000003	evm.model.RL_1.2633	XP_010485042.1
OG0000004	evm.model.RL_2.303	XP_010513002.1, XP_019100869.1, XP_010468701.1, XP_019099765.1, XP_010495244.1, XP_010495165.1, XP_010462981.1
OG0000004	evm.model.RL_2.401	XP_010451888.1, XP_019085420.1, XP_010431327.1, XP_010436659.1
OG0000005	evm.model.RL_8.339	XP_019096542.1
OG0000005	evm.model.RL_1.1902	XP_019091186.1, XP_010412434.1, XP_010506918.1, XP_019092367.1, XP_010419080.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010495742.1, XP_010468814.1, XP_010436406.1, XP_010468349.1, XP_010431090.1
OG0000006	evm.model.RL_1.2522	XP_010478660.1, XP_019084295.1
OG0000006	evm.model.RL_4.553, evm.model.RL_5.578	XP_010431016.1
OG0000006	evm.model.RL_5.2330	XP_010468495.1, XP_010480912.1, XP_010507576.1, XP_010463082.1, XP_010445987.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019094446.1, XP_019097408.1, XP_010451248.1, XP_010480734.1, XP_010450590.1, XP_010492833.1, XP_010465950.1, XP_010466613.1, XP_010494065.1, XP_010518565.1, XP_010412896.1, XP_010444893.1, XP_010474396.1, XP_010448841.1, XP_019098200.1, XP_010449757.1, XP_010508388.1, XP_010501452.1, XP_010480931.1, XP_010484998.2, XP_019094496.1, XP_019100121.1, XP_019091890.1, XP_019094351.1
OG0000007	evm.model.RL_2.508	XP_010419175.1, XP_019084422.1, XP_010456795.1, XP_010451787.1
OG0000007	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223	XP_010437344.1, XP_010474056.1, XP_010413204.1
OG0000007	evm.model.RL_1.2700, evm.model.RL_2.507, evm.model.RL_2.539	XP_010472440.1, XP_010474031.1, XP_019099588.1, XP_019084310.1, XP_010451797.1, XP_010472251.1
OG0000007	evm.model.RL_4.2369	XP_010484878.1
OG0000007	evm.model.RL_4.557, evm.model.RL_2.1095	XP_010456858.1
OG0000007	evm.model.RL_2.2279	XP_010418622.1, XP_010507173.1, XP_019101891.1
OG0000007	evm.model.RL_4.1690, evm.model.RL_7.1569	XP_010436306.1
OG0000007	evm.model.RL_2.556	XP_010418618.1, XP_010419439.1
OG0000008	evm.model.RL_7.2148, evm.model.RL_2.761	XP_010484906.1
OG0000008	evm.model.RL_4.1914	XP_010490304.1, XP_019092291.1, XP_019096470.1, XP_010468439.1, XP_010451611.1, XP_010480905.1, XP_010496603.1, XP_019092275.1, XP_010496514.1, XP_019085184.1, XP_010490409.1, XP_010451476.1, XP_010419054.1, XP_019093233.1, XP_010468775.1, XP_010490230.2, XP_019095563.1, XP_010419092.1, XP_010497028.1, XP_010480868.1, XP_010507052.1, XP_010445013.1, XP_010497042.1, XP_019100927.1, XP_010456611.1, XP_010468583.2, XP_010469634.1, XP_019100889.1, XP_010462780.1, XP_019097443.1, XP_010474186.1
OG0000008	evm.model.RL_7.1211	XP_010431254.1, XP_010507402.1
OG0000010	evm.model.RL_6.734, evm.model.RL_8.1076	XP_010496850.1, XP_010507594.1, XP_019090131.1
OG0000010	evm.model.RL_4.113	XP_019086506.1
OG0000010	evm.model.RL_1.2671, evm.model.RL_2.783, evm.model.RL_8.1074	XP_019082635.1
OG0000012	evm.model.RL_4.165	XP_010424636.1, XP_010489881.1, XP_010417428.1, XP_010451510.1
OG0000012	evm.model.RL_7.2040	XP_010422813.1
OG0000012	evm.model.RL_3.685	XP_010490322.1
OG0000013	evm.model.RL_6.758	XP_010468601.1
OG0000013	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641	XP_019090157.1, XP_010462812.1, XP_010430984.1, XP_010474117.1, XP_019093237.1, XP_010475339.1, XP_010418610.1, XP_019094462.1, XP_010431304.1, XP_019090236.1, XP_010430896.1, XP_010490049.1
OG0000013	evm.model.RL_5.2507	XP_010463083.1
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358	XP_010462887.1, XP_010489385.1
OG0000013	evm.model.RL_5.2591	XP_010474295.1
OG0000013	evm.model.RL_6.796	XP_010497144.1
OG0000014	evm.model.RL_3.2282	XP_010513382.1
OG0000014	evm.model.RL_3.2283	XP_010484986.1, XP_010412760.1, XP_010474532.1, XP_010431329.1, XP_010412495.1
OG0000014	evm.model.RL_7.2497, evm.model.RL_1.2667	XP_010430806.1
OG0000015	evm.model.RL_4.1006	XP_010427798.1, XP_019092477.1
OG0000015	evm.model.RL_1.3215	XP_010480818.1, XP_010456599.1, XP_010497195.1
OG0000015	evm.model.RL_7.2535	XP_010501828.1, XP_019084456.1, XP_010418862.1, XP_019090265.1, XP_010497072.1, XP_010496259.1
OG0000015	evm.model.RL_1.2714	XP_010451702.1
OG0000015	evm.model.RL_4.1007	XP_010491426.2, XP_010484947.1, XP_010513588.1, XP_010497078.1, XP_010495514.1, XP_010418845.1, XP_019084362.1, XP_010470588.1, XP_010430636.1, XP_010507136.1, XP_010418799.1, XP_010424225.1
OG0000017	evm.model.RL_7.1888	XP_010511936.1
OG0000017	evm.model.RL_3.613	XP_019093396.1, XP_019087567.1
OG0000017	evm.model.RL_3.2130	XP_019092339.1, XP_019086950.1, XP_019090999.1, XP_010499860.1
OG0000018	evm.model.RL_4.1915	XP_010484820.1, XP_010496602.2
OG0000018	evm.model.RL_6.190	XP_010518556.1, XP_010456610.1, XP_010445717.1, XP_010431070.1, XP_019091017.1, XP_010474695.1, XP_010507197.1, XP_010456729.1, XP_010484803.1
OG0000018	evm.model.RL_7.1872	XP_010445495.1, XP_010451671.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010511144.1, XP_019096477.1, XP_010439761.1, XP_019089680.1, XP_010471217.1, XP_010434877.1, XP_010482610.1, XP_019088976.1, XP_019091495.1
OG0000019	evm.model.RL_7.2268	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010496929.1, XP_010456825.1, XP_010497051.1, XP_010496981.1, XP_010480376.1, XP_010451291.1
OG0000020	evm.model.RL_2.3364	XP_019086315.1, XP_010431521.1, XP_010451099.1, XP_010412532.1, XP_010451598.1, XP_010494552.1, XP_010457003.2
OG0000020	evm.model.RL_7.2129	XP_010425095.1, XP_010445680.1, XP_010473999.1
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444	XP_010463070.1, XP_010481219.1, XP_010456454.1, XP_010424514.1, XP_019089179.1
OG0000021	evm.model.RL_5.2428	XP_019096508.1, XP_019085542.1, XP_019095265.1, XP_010468638.1
OG0000021	evm.model.RL_6.438	XP_010446081.1, XP_010468560.1
OG0000021	evm.model.RL_6.1178, evm.model.RL_5.2234	XP_010436564.1
OG0000021	evm.model.RL_4.405	XP_019082529.1, XP_019100691.1, XP_010490042.1, XP_010412489.1
OG0000021	evm.model.RL_3.587	XP_010489852.1
OG0000021	evm.model.RL_1.2419	XP_010484758.1, XP_019100906.1, XP_010431231.1, XP_010513293.1
OG0000021	evm.model.RL_3.2511, evm.model.RL_4.693, evm.model.RL_8.704, evm.model.RL_2.654, evm.model.RL_2.286, evm.model.RL_5.3423	XP_010481206.1, XP_010495633.1
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	XP_010424593.1, XP_019089103.1, XP_010424837.2
OG0000023	evm.model.RL_2.1848	XP_010439188.2, XP_010433919.1
OG0000023	evm.model.RL_2.1843	XP_019089325.1, XP_010433927.1
OG0000023	evm.model.RL_2.1842	XP_019086460.1
OG0000023	evm.model.RL_8.636	XP_019089721.1
OG0000023	evm.model.RL_2.1840	XP_019086471.1, XP_019089064.1
OG0000023	evm.model.RL_2.1839	XP_010442801.1
OG0000023	evm.model.RL_8.624	XP_019084079.1, XP_019090217.1
OG0000023	evm.model.RL_8.630	XP_010422102.1
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	XP_019097923.1, XP_019087866.1, XP_010448736.1, XP_010448739.1, XP_010418084.1, XP_010439216.1
OG0000023	evm.model.RL_2.1825.3.687c86e4	XP_010448752.1, XP_010439208.1, XP_010433929.1
OG0000023	evm.model.RL_2.1841	XP_010448754.1, XP_010439219.1
OG0000023	evm.model.RL_2.1826	XP_010445190.1, XP_010451240.1, XP_010439207.1
OG0000023	evm.model.RL_2.1827	XP_010448746.1, XP_019089062.1, XP_010439203.1
OG0000024	evm.model.RL_7.2066, evm.model.RL_8.1089	XP_010478711.1, XP_010480712.1, XP_010475131.1
OG0000024	evm.model.RL_5.2480	XP_010430731.1, XP_010512875.1, XP_010451855.2, XP_010423573.1, XP_010490387.1, XP_010423713.1, XP_010518554.1, XP_010474136.1
OG0000025	evm.model.RL_2.872	XP_010446183.1
OG0000026	evm.model.RL_5.679	XP_010445838.1
