Orthogroup	Aethionema_saxatile	Brassica_rapa
OG0000000	As002G040030	XP_033138907.1, XP_033138951.1, XP_009139525.2, XP_033139209.1, XP_033139378.1
OG0000000	As001G006630, As006G147610	XP_033140624.1, XP_033129388.1, XP_033130766.1
OG0000000	As011G257780	XP_033129977.1, XP_033146608.1, XP_033129968.1, XP_033131705.1
OG0000002	As004G091160	XP_033138748.1
OG0000003	As008G191470	XP_033138856.1
OG0000003	As012G279590	XP_033141152.1
OG0000004	As007G177100	XP_009124577.2
OG0000005	As001G006250	XP_033132529.1
OG0000006	As010G228090	XP_033136688.1, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009127425.2, XP_033141185.1, XP_033139229.1, XP_018513873.2, XP_009107586.3, XP_009128533.2, XP_033137263.1, XP_033145152.1, XP_009144141.2, XP_033129678.1, XP_033140024.1, XP_033141430.1, XP_009140704.1, XP_033134787.1, XP_033130526.1, XP_033148049.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033136152.1, XP_018510598.1, XP_033138823.1, XP_033143314.1, XP_033142256.1, XP_033131850.1, XP_033128723.1, XP_033132443.1, XP_033131629.1, XP_033138798.1, XP_033143316.1, XP_033145248.1, XP_033143243.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033133985.1, XP_018509939.2, XP_033128792.1, XP_033147221.1, XP_033145376.1, XP_033146627.1, XP_009148795.2, XP_033136956.1, XP_033147656.1, XP_009119788.2, XP_033139554.1, XP_033148586.1, XP_033143305.1, XP_033128729.1, XP_033145261.1, XP_033136521.1, XP_033138843.1, XP_033138840.1, XP_033142517.1, XP_033134626.1, XP_033140906.1, XP_033141011.1, XP_033142956.1, XP_033140904.1, XP_033142476.1, XP_033144081.1, XP_033140537.1, XP_033130701.1, XP_033138324.1, XP_033145377.1, XP_033139980.1, XP_033141330.1, XP_033145193.1, XP_033138181.1, XP_033143318.1, XP_033141627.1, XP_033133382.1, XP_033129473.1, XP_033140161.1, XP_033144151.1, XP_033145061.1, XP_033145057.1, XP_033139538.1, XP_033138178.1, XP_033133272.1, XP_033135986.1, XP_033131606.1, XP_033143548.1, XP_009144908.2, XP_033132046.1, XP_033135405.1, XP_033135997.1, XP_033148269.1, XP_033133922.1, XP_009110769.2, XP_009107562.2, XP_033144206.1, XP_033143434.1, XP_018509717.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033131027.1, XP_033134568.1, XP_033133980.1, XP_033132428.1, XP_033134788.1, XP_009120419.2, XP_018512011.2, XP_033141204.1, XP_009108642.2, XP_033147435.1, XP_033128538.1, XP_033140542.1, XP_009124768.1, XP_033131877.1, XP_009129528.2, XP_033133945.1, XP_033131419.1, XP_009120498.3, XP_033136681.1, XP_033146098.1, XP_033133923.1, XP_033136572.1, XP_018512878.2, XP_033141791.1, XP_033129838.1, XP_033145000.1, XP_033132451.1, XP_033141771.1, XP_033140064.1, XP_033134351.1, XP_033134269.1, XP_033141317.1, XP_033143215.1, XP_033143219.1, XP_033129449.1, XP_033143046.1, XP_033146928.1, XP_009103805.2, XP_033131533.1, XP_033141483.1, XP_033139072.1, XP_033147020.1, XP_033139845.1
OG0000010	As010G230220, As011G259130, As012G279130, As012G280540, As003G067340	XP_033143393.1
OG0000010	As010G230230, As010G226790, As005G110530	XP_033138986.1
