Orthogroup	Arabidopsis_lyrata_NCBI	Erysimum_linariifolium
OG0000000	XP_020886399.1	El001G044730
OG0000000	XP_020882672.1	El001G044710
OG0000000	XP_020865758.1	El003G159590
OG0000000	XP_020886397.1, XP_020866436.1	El001G044760
OG0000000	XP_020870151.1, XP_020870162.1	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780
OG0000003	XP_020880760.1, XP_020877199.1	El003G191660, El006G317350
OG0000005	XP_020889795.1	El001G038630
OG0000005	XP_020882780.1	El003G166140
OG0000005	XP_020876055.1, XP_020877155.1	El007G334770, El007G349450, El004G214900, El002G135600, El005G258250, El003G177260, El001G065660, El007G338090, El003G186250, El001G082120, El006G304740, El004G194240, El006G320990, El001G081400, El002G096830, El002G122730
OG0000005	XP_020867197.1	El006G308020, El003G156400
OG0000005	XP_020883429.1	El004G208560
OG0000005	XP_020887659.1	El002G104670, El006G315290, El001G049310, El004G194230
OG0000006	XP_020870555.1, XP_020870157.1	El004G209180
OG0000006	XP_020866331.1, XP_020876409.1, XP_020879940.1, XP_020872053.1, XP_020872382.1, XP_020873755.1	El001G046690
OG0000007	XP_020883444.1	El006G310200
OG0000007	XP_020885936.1	El006G293980
OG0000008	XP_020881885.1, XP_020881611.1	El001G021990, El001G021710
OG0000008	XP_020881699.1	El003G174670
OG0000012	XP_020866256.1	El002G120760
OG0000012	XP_020875418.1, XP_020880599.1	El001G048000
OG0000012	XP_020888103.1	El003G154210, El007G344400, El007G350120
OG0000012	XP_020876901.1	El007G355770
OG0000012	XP_020874097.1	El005G268860, El003G182880
OG0000012	XP_020872339.1	El002G129160
OG0000015	XP_020883676.1	El001G070750
OG0000015	XP_020890755.1, XP_020889910.1	El003G167160
OG0000018	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1	El003G154150, El006G318220, El001G007900, El001G053230
OG0000018	XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1	El001G048290
OG0000018	XP_020887591.1, XP_020879721.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1	El001G077880, El004G225550
OG0000019	XP_020876758.1, XP_020881514.1, XP_020889800.1	El002G122780
OG0000019	XP_020869090.1, XP_020878589.1	El004G213790
OG0000021	XP_020887717.1	El007G349240
OG0000021	XP_020883515.1	El005G277430, El007G325630
OG0000023	XP_020873367.1	El007G357800
OG0000023	XP_020878445.1	El001G007540
OG0000023	XP_020873352.1	El003G162170
OG0000023	XP_002867727.1	El003G162130
OG0000024	XP_020874131.1	El007G351440, El002G140900
OG0000025	XP_020874778.1	El001G014870, El001G014670
OG0000025	XP_020873006.1	El003G190320
OG0000025	XP_020865879.1	El007G340450, El007G340490
OG0000025	XP_020865869.1	El007G340430
OG0000026	XP_020876192.1	El007G356660
OG0000026	XP_020889652.1	El004G210040, El002G122340, El004G232830, El002G140810, El005G251640, El006G294370
OG0000027	XP_020866667.1	El001G054130
OG0000027	XP_020883506.1, XP_020883507.1	El006G314050, El006G316880
OG0000027	XP_020866341.1	El002G118120, El002G111110
OG0000027	XP_002893704.2, XP_002893705.2, XP_020866613.1	El002G120540
