Orthogroup	Arabidopsis_arenosa	Brassica_rapa
OG0000000	jg21092	XP_033139509.1, XP_033139502.1, XP_033139347.1
OG0000000	jg42	XP_033131381.1, XP_009151556.2, XP_033130747.1, XP_033137005.1, XP_009141157.3, XP_033131545.1, XP_033132402.1, XP_033137411.1, XP_033146991.1, XP_033142695.1, XP_033132260.1, XP_033140368.1, XP_033133430.1, XP_033132383.1, XP_033133265.1, XP_033131712.1, XP_009113453.2, XP_033144201.1, XP_033128118.1, XP_033131412.1, XP_033147268.1, XP_033132262.1, XP_033134168.1, XP_033135138.1, XP_033147160.1, XP_033145919.1, XP_033141158.1
OG0000000	jg1749	XP_033146645.1, XP_033138950.1, XP_033130324.1
OG0000000	jg16482, jg16492	XP_033147168.1, XP_033136031.1, XP_033137222.1, XP_033132105.1
OG0000002	jg1783	XP_033148513.1
OG0000003	jg14786	XP_009106784.1, XP_033148226.1
OG0000003	jg11917	XP_033139262.1, XP_033139474.1, XP_033139183.1
OG0000003	jg11918	XP_033139286.1, XP_033139473.1, XP_033139210.1, XP_033142139.1, XP_033138944.1, XP_033139394.1, XP_033139482.1, XP_033139545.1, XP_033139261.1, XP_033139353.1, XP_033138946.1, XP_033139489.1
OG0000005	jg17698	XP_033140104.1, XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2
OG0000005	jg23533	XP_033141077.1
OG0000005	jg17538	XP_033139461.1
OG0000007	jg6465	XP_033134315.1
OG0000010	jg11731	XP_033143393.1
OG0000011	jg27080	XP_033131635.1
OG0000011	jg14895, jg31555	XP_033134396.1, XP_009140434.1, XP_009124217.1
OG0000011	jg27079	XP_009150017.2
OG0000015	jg11869	XP_033136397.1, XP_033137014.1, XP_033138269.1, XP_009113103.2
OG0000015	jg21314, jg11868	XP_018509062.1, XP_009118914.1, XP_009105628.1
OG0000015	jg21086	XP_009145186.1
