Orthogroup	Alyssum_gmelinii	Camelina_sativa
OG0000000	Ag004G340890, Ag001G084200	XP_010495705.2, XP_010462917.1, XP_010476476.1, XP_019091276.1, XP_019085476.1, XP_010508146.1, XP_010451681.1, XP_019097313.1
OG0000000	Ag002G196660	XP_019100804.1, XP_019097460.1, XP_019087486.1, XP_010436745.1
OG0000000	Ag002G167150	XP_019094707.1, XP_010479590.1, XP_019097715.1, XP_010507175.1, XP_010478337.2, XP_010518461.1, XP_019098283.1, XP_019096689.1
OG0000002	Ag005G437270, Ag005G410710	XP_010468482.1, XP_010419143.1, XP_010430672.1, XP_010424375.1, XP_019092262.1, XP_010431341.1
OG0000003	Ag001G024370	XP_010480943.1
OG0000003	Ag007G617260	XP_010468230.1
OG0000003	Ag004G365940	XP_019098958.1, XP_010468759.1, XP_010471072.1
OG0000003	Ag001G046010	XP_010451581.1
OG0000003	Ag007G647490	XP_010445897.1, XP_010484749.1, XP_010470568.1, XP_010418873.1, XP_019096023.1, XP_019091104.1, XP_019089272.1, XP_019097484.1, XP_019086811.1, XP_019094600.1, XP_019098316.1, XP_019085539.1, XP_019085526.1, XP_019092325.1, XP_019098361.1, XP_010485042.1, XP_019089029.1
OG0000004	Ag004G374310	XP_019100869.1
OG0000004	Ag004G314450	XP_010474601.1, XP_019095662.1
OG0000004	Ag005G473260, Ag001G034430, Ag003G239450	XP_010481107.1
OG0000004	Ag008G684310	XP_010463143.1
OG0000004	Ag005G427550	XP_010451888.1, XP_019085420.1, XP_010431327.1, XP_010436659.1, XP_019089229.1, XP_010431244.1, XP_019097419.1, XP_010445866.1, XP_010513025.1, XP_019093315.1, XP_010419097.1, XP_010412832.1, XP_010430888.1
OG0000004	Ag006G503330	XP_010445465.1, XP_010513536.1, XP_010468748.2, XP_019101856.1, XP_010418809.1, XP_010445461.1, XP_010424753.1, XP_019094536.1, XP_010480989.1, XP_010446022.1, XP_010451645.1, XP_010446169.1, XP_010481146.1, XP_019101571.1, XP_019087439.1, XP_010456766.1, XP_019092328.1, XP_010424493.1, XP_010481092.1, XP_010468192.1, XP_010424608.1, XP_010495441.1, XP_010495306.1, XP_010468796.1, XP_010480636.1, XP_010481232.1, XP_019094514.1, XP_010495329.1, XP_010490248.1, XP_019085377.1, XP_010424289.1, XP_010513530.1, XP_010468779.1, XP_019096517.1, XP_010451493.1, XP_019091159.1, XP_010468536.1, XP_010484944.1, XP_010507233.1, XP_010513001.1, XP_019099624.1, XP_010430691.1, XP_010506884.1, XP_010412448.1, XP_019094471.1, XP_019089246.1, XP_010495217.1
OG0000005	Ag005G452100	XP_010456726.1, XP_010473781.1, XP_019093287.1, XP_010507310.1, XP_010506896.1, XP_010495420.1
OG0000005	Ag005G434290	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_019091186.1, XP_010412434.1, XP_010506918.1, XP_019092367.1, XP_010419080.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010495742.1, XP_010468814.1, XP_010436406.1, XP_010468349.1, XP_010431090.1
OG0000005	Ag007G655680	XP_010419203.2
OG0000005	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760	XP_019096054.1, XP_019090183.1
OG0000005	Ag006G527380	XP_010424733.1, XP_010446224.1, XP_019101780.1, XP_019085473.1
OG0000005	Ag004G390840, Ag004G351220, Ag006G508910	XP_010484733.1, XP_010507009.1
OG0000005	Ag001G040530	XP_010412393.1
OG0000006	Ag005G455250	XP_010462584.1, XP_010490462.1, XP_010484977.1, XP_010418557.1, XP_010496147.1, XP_010418993.1, XP_019085642.1, XP_019091014.1, XP_019094573.1, XP_010446804.2, XP_010416297.2, XP_010468712.1, XP_010471152.1, XP_010507227.1, XP_010445003.1, XP_010477729.2, XP_010436513.1, XP_010506961.1, XP_010489975.1, XP_019088922.1, XP_019096041.1, XP_019096210.1, XP_019097221.1, XP_010495224.1, XP_010418574.1, XP_010436820.1, XP_010445698.1, XP_019087537.1, XP_010456622.1, XP_010445750.1, XP_010424813.1, XP_010474418.1, XP_019100967.1, XP_010436701.1, XP_019087605.1, XP_010445262.1, XP_010463458.1, XP_010496974.1, XP_010418941.1, XP_019087475.1, XP_019082563.1, XP_010445969.1, XP_010481097.1, XP_010496849.2, XP_010501923.1
OG0000007	Ag001G051310	XP_010419175.1, XP_019084422.1, XP_010456795.1, XP_010451787.1
OG0000007	Ag008G681210	XP_010437344.1, XP_010474056.1, XP_010413204.1
OG0000007	Ag005G466650, Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480	XP_010472440.1, XP_010474031.1, XP_019099588.1, XP_019084310.1, XP_010451797.1, XP_010472251.1
OG0000007	Ag001G006450, Ag006G516390	XP_010418622.1
OG0000007	Ag004G330770, Ag002G136200, Ag001G003030	XP_019101891.1
OG0000007	Ag007G621080	XP_010430686.1, XP_010484922.1
OG0000007	Ag006G527340	XP_019088171.1
OG0000007	Ag002G132800	XP_010418558.1, XP_010489824.1, XP_010495246.1, XP_019102134.1, XP_010436305.1
OG0000008	Ag002G148400	XP_019084270.1
OG0000008	Ag005G451490	XP_019085490.1, XP_010451904.1, XP_010479356.2
OG0000008	Ag002G152740, Ag007G618090, Ag001G039140	XP_019097485.1
OG0000008	Ag007G618290, Ag001G044380, Ag008G677680, Ag004G365860	XP_010451669.1
OG0000008	Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500	XP_019086305.1
OG0000008	Ag001G015890	XP_019099860.1, XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2, XP_010434876.2, XP_010451668.1, XP_010495526.1, XP_019100926.1, XP_010456996.1, XP_010484804.1, XP_010456594.1, XP_010495176.1, XP_010497048.1
OG0000012	Ag007G638410	XP_010424636.1
OG0000012	Ag007G621260, Ag005G417190	XP_010489881.1, XP_010417428.1, XP_010451510.1
OG0000012	Ag004G367750	XP_019090144.1
OG0000012	Ag003G250900	XP_010422813.1
OG0000012	Ag003G250910	XP_010466661.1
OG0000012	Ag001G026980	XP_019097497.1, XP_010468248.1, XP_010431497.1, XP_010495795.1
OG0000012	Ag002G161720	XP_010490322.1, XP_010425465.1
OG0000013	Ag004G396400, Ag004G380450	XP_010462887.1, XP_010489385.1
OG0000013	Ag001G041140	XP_010490193.1, XP_010424605.1, XP_010445585.1, XP_010424415.1, XP_010430920.1, XP_010445599.2, XP_010445508.1, XP_010481077.1, XP_019092248.1, XP_010436763.1, XP_010412548.1, XP_010468557.1
OG0000014	Ag001G020750	XP_010507349.1, XP_019085461.1, XP_010490433.1, XP_010412418.1
OG0000015	Ag008G676660	XP_010480818.1, XP_010456599.1, XP_010497195.1
OG0000015	Ag008G687430	XP_019101930.1, XP_010481012.1, XP_010497067.1, XP_010424221.1, XP_010495723.1, XP_010430713.1, XP_010497070.1, XP_010513208.1, XP_010451702.1
OG0000015	Ag004G376340	XP_010412816.1, XP_010470614.1
OG0000015	Ag008G675720	XP_019101915.1, XP_010490066.1, XP_010462823.1, XP_019089071.1, XP_010420917.1, XP_010490468.1, XP_010472228.1, XP_010445504.1
