Orthogroup	Aethionema_saxatile	Arabidopsis_thaliana
OG0000005	As001G006250	ATMG01250.1
OG0000006	As010G228090	AT2G13770.1
OG0000008	As002G039930, As006G149000, As001G006420	AT5G28780.1
OG0000011	As002G041210	AT5G52547.1
OG0000019	As009G203070, As004G091650	AT1G18050.1
OG0000019	As012G281430, As001G013530, As001G014580	AT5G15685.1
OG0000021	As001G004280	AT1G43760.1
OG0000023	As003G061360	AT4G23320.3, AT4G23290.2
OG0000023	As003G061290	AT4G23240.1
OG0000023	As004G084560, As004G084580, As004G084570	AT4G11530.1, AT4G11521.1
OG0000023	As003G061270	AT4G23190.1, AT4G23300.1
OG0000031	As001G032000	AT1G63400.1, AT1G62590.1, AT1G63150.1, AT1G62910.1, AT1G63130.1, AT1G62680.1
OG0000031	As009G202600	AT5G16640.1
OG0000031	As006G134510	AT5G41170.1, AT3G16710.1, AT4G26800.2
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	AT4G23180.1
OG0000033	As003G059410, As003G059430, As003G059400	AT4G21400.1, AT4G21410.3
OG0000033	As003G061210, As003G061160	AT4G23270.3, AT4G23280.1, AT4G23310.1, AT4G23130.2, AT3G45860.1
OG0000033	As004G086230	AT4G05200.2
OG0000043	As001G006710	ATMG00750.1
OG0000048	As006G137100, As006G137070, As006G137030	AT3G03830.1
OG0000048	As006G136970	AT3G03820.1
OG0000048	As006G137110, As006G137010, As006G136980	AT3G03850.1
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	AT2G21200.1, AT5G18060.1, AT5G18050.1, AT5G18010.1, AT5G18020.1, AT5G18080.1, AT5G18030.1
OG0000054	As007G163390, As001G010300	AT3G30739.1
OG0000054	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440	AT3G30730.2
OG0000055	As001G022050	AT3G46950.1
OG0000066	As002G052230	AT4G40030.2, AT5G10980.1, AT4G40040.1, AT1G75600.1, AT1G13370.1
OG0000066	As007G156090	AT1G19890.1
OG0000066	As005G118450	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1
OG0000067	As011G256070, As011G256050	AT5G05430.2
OG0000073	As006G137430	AT4G16960.1, AT4G16940.2, AT4G16900.1, AT4G16857.2, AT4G16957.1, AT4G16950.1, AT4G16860.1, AT4G16920.2, AT4G16890.1, AT5G51630.1, AT5G17970.1
OG0000073	As002G034500, As002G034570, As002G034640	AT5G22690.2
OG0000079	As012G285110	AT3G03040.1, AT3G03030.1, AT3G58930.1, AT5G38391.1, AT3G58940.1, AT3G58890.1, AT3G58950.1, AT3G58900.4, AT3G58880.1, AT3G59000.1, AT5G38390.1, AT5G38386.1, AT1G52650.1, AT4G13960.1, AT5G38396.1, AT3G58820.1
OG0000083	As006G138550	AT1G71390.2, AT1G71400.1, AT3G23010.1, AT3G23110.1, AT3G23120.1, AT3G05370.1, AT3G05360.1
OG0000086	As009G216030, As009G216300, As009G216040	AT5G34908.1, AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1
OG0000087	As010G222260	AT5G23860.1
OG0000087	As006G128780	AT2G29550.1
OG0000087	As002G051000	AT5G12250.1
OG0000087	As004G086530	AT5G44340.1
OG0000087	As003G058850	AT4G20890.1
OG0000087	As010G237710	AT1G75780.1
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	AT3G47570.1, AT3G47090.1, AT3G47580.1
OG0000088	As010G223910	AT3G47110.1
OG0000089	As002G053510	AT5G09810.1
OG0000089	As011G250900	AT3G18780.2
OG0000089	As006G146590, As012G277570	AT2G37620.1
OG0000089	As010G224530, As005G115200	AT5G59370.1, AT3G46520.1
OG0000090	As004G082910	AT5G42190.1
OG0000090	As003G065330	AT1G75950.1
OG0000090	As012G273080	AT3G60010.1, AT4G34210.1, AT3G25650.1, AT2G03170.1, AT2G20160.1, AT2G03190.1, AT1G10230.1
OG0000093	As012G284680, As012G284700, As012G284660	AT3G58360.1, AT3G58400.1, AT2G05400.3, AT3G58350.1, AT3G58250.1, AT2G05420.1, AT2G05410.2
OG0000096	As004G087370, As004G087300, As004G087270	AT5G44900.1
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	AT4G05460.1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	AT1G12290.1, AT4G10780.1, AT1G12280.1, AT1G12220.1, AT1G12210.1
OG0000104	As006G129180, As006G129160	AT2G29000.1
OG0000104	As012G271240, As012G271230	AT1G51810.1
OG0000104	As012G271190, As012G271200	AT1G51830.2, AT1G51850.2, AT1G51820.1, AT1G51805.1
OG0000104	As006G129190	AT2G28990.1, AT2G28970.1
OG0000106	As002G041170, As002G041390, As002G041440	AT3G49980.2, AT3G18320.1, AT3G44120.1, AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G19410.1, AT3G18905.1, AT3G18980.1
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	AT3G20140.1
OG0000107	As011G252340	AT3G20120.4, AT3G20110.1, AT4G15330.1, AT5G42580.1, AT3G20960.2, AT3G20090.2, AT4G15360.1, AT2G05180.1, AT3G20130.1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	AT2G14500.1, AT5G25290.1, AT5G25300.1, AT4G10820.1, AT1G27550.1, AT1G27580.1, AT1G27540.1, AT2G24080.1, AT2G14290.1
OG0000111	As002G048150	AT4G15075.1
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	AT5G36662.1, AT5G36739.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36738.1, AT5G36661.1, AT5G36440.1, AT5G36470.1, AT5G36410.1, AT5G36450.1, AT5G36420.1, AT5G36400.1, AT5G36380.1, AT5G36350.1, AT5G36550.1, AT5G36310.1, AT5G36340.1, AT5G36330.1, AT5G36540.1, AT5G36520.1, AT5G36500.1, AT5G36490.1, AT5G36390.1, AT5G36460.1, AT5G36360.1, AT5G36430.1, AT5G36370.1, AT3G42565.1, AT4G09545.1, AT5G42895.1, AT5G36659.1, AT5G44495.1, AT5G36657.1
OG0000114	As006G137050, As006G137080	AT3G04210.1, AT1G69550.1, AT3G04220.3, AT5G11250.2, AT5G44510.1, AT2G14080.1, AT1G57650.1, AT3G25505.1, AT1G65850.2, AT5G38340.1, AT5G38350.1
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	AT4G01380.1
OG0000123	As008G183790, As008G183770	AT5G43690.1
OG0000123	As008G183730, As008G183740	AT2G27570.1, AT3G45080.1, AT3G45070.2
OG0000123	As008G183750	AT4G26280.1
OG0000123	As008G183720	AT1G13420.1, AT2G14920.1, AT1G13430.1, AT3G51210.1
OG0000125	As012G277440	AT2G37470.1
OG0000125	As005G107620	AT3G09480.1, AT5G02570.1
OG0000125	As005G113770	AT5G22880.1
OG0000125	As005G114700, As010G224880	AT5G59910.1
OG0000125	As006G129500	AT2G28720.1
OG0000127	As008G186430, As008G186390, As008G185640	AT1G11145.1
OG0000133	As004G090110, As010G227760, As002G038290, As007G165020	AT4G03728.1
OG0000135	As001G004200	AT3G27590.1
OG0000135	As001G005020	AT1G34440.1
OG0000136	As001G028730	AT1G66620.1, AT1G66630.1, AT1G66610.1
OG0000138	As001G027950, As001G027940, As007G161530	AT3G29670.1
OG0000140	As005G115230	AT5G59100.1
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	AT5G59130.4, AT5G58830.1, AT5G58820.1, AT5G58840.1, AT5G59090.1, AT5G59120.1
OG0000146	As002G047180	AT5G55340.1
OG0000146	As002G047190	AT5G55360.1, AT5G55350.1
OG0000147	As011G265720	AT2G18960.1
OG0000147	As001G002190	AT4G30190.2
OG0000147	As002G049060	AT5G57350.1
OG0000147	As010G243490	AT1G80660.1
OG0000147	As010G227330	AT3G42640.1
OG0000147	As011G259420	AT2G07560.1
OG0000149	As010G224590	AT3G46350.1
OG0000149	As010G224610	AT5G59670.1, AT5G59660.3, AT5G59680.1, AT5G59650.2, AT3G46330.1
OG0000150	As010G225180, As010G225220, As010G225210	AT3G43750.1, AT2G16520.1, AT3G45525.1, AT3G45560.1, AT3G45570.1, AT3G45580.1, AT2G26135.1, AT2G26130.1, AT3G45540.1
OG0000151	As007G166070	AT4G27960.2
OG0000151	As006G141980, As006G133740	AT3G08690.1
OG0000151	As011G263600	AT2G16740.1
OG0000151	As002G047900	AT5G56150.1
OG0000151	As001G030700	AT5G41700.4, AT1G64230.4
OG0000154	As007G152520	AT1G16030.1
OG0000154	As009G210670	AT3G12580.1
OG0000154	As002G034300	AT3G09440.1
OG0000154	As005G107550	AT5G02500.1
OG0000155	As003G059350	AT4G27290.2, AT1G65800.1, AT1G65790.1, AT4G21380.1
OG0000156	As012G287040, As012G287050	AT3G61035.1
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	AT2G45560.1
OG0000156	As001G028010	AT3G61040.1
OG0000161	As001G013550, As001G029600, As001G029610	AT5G61940.2, AT5G61950.1, AT1G52450.1, AT1G52430.1, AT5G51530.1, AT2G27630.1, AT2G27650.1, AT5G02660.1, AT1G65200.1
OG0000162	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570	AT3G60470.1
OG0000162	As005G102210	AT2G44930.1, AT2G28580.2
OG0000164	As011G264140, As011G262780	AT4G29370.1
OG0000166	As011G260470, As002G040840	AT4G29090.1
OG0000167	As003G057890	AT4G19590.2
OG0000171	As007G159620, As001G020870	AT1G10630.1
OG0000171	As009G200410	AT5G14670.1
OG0000175	As010G220360	AT3G51300.1
OG0000175	As007G156270	AT1G20090.1
OG0000175	As011G263590	AT4G35020.1
OG0000175	As011G264780, As003G072250	AT2G17800.1
OG0000187	As001G003940	AT4G31660.1
OG0000190	As004G085680	AT4G04490.1, AT4G04510.2, AT4G04500.1, AT4G04570.1, AT4G04540.1
OG0000191	As007G152760	AT3G16590.1
OG0000195	As004G077390, As001G028840	AT5G37780.3, AT1G66410.2
OG0000200	As008G194290	AT3G49610.1
