Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_glauca
OG0000000	XP_020887909.1	Cg005G1542700
OG0000000	XP_020885673.1	Cg006G1881000
OG0000000	XP_020883444.1	Cg003G0793800
OG0000003	XP_020881895.1	Cg006G1905700
OG0000003	XP_020889841.1	Cg001G0274200, Cg002G0686800
OG0000004	XP_020886397.1, XP_020866436.1	Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400
OG0000004	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	XP_020886399.1, XP_020881080.1, XP_020874109.1	Cg004G1187900
OG0000004	XP_020865758.1	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600
OG0000005	XP_020871957.1, XP_020866342.1, XP_020887113.1	Cg006G1917400
OG0000007	XP_020870157.1, XP_020870555.1	Cg008G2926400
OG0000007	XP_020882643.1	Cg004G1331500
OG0000008	XP_020871586.1	Cg002G0653600
OG0000008	XP_020881885.1, XP_020881611.1	Cg002G0565700
OG0000009	XP_020887659.1	Cg003G0834900
OG0000009	XP_020889795.1	Cg007G2452800
OG0000009	XP_020877155.1, XP_020876055.1	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000009	XP_020881689.1	Cg008G2845600
OG0000011	XP_020873638.1	Cg008G2919200, Cg002G0664700, Cg003G0778000
OG0000011	XP_020885819.1, XP_020866216.1, XP_020885594.1, XP_020870692.1, XP_020889856.1, XP_020872445.1, XP_020875855.1, XP_020877678.1	Cg005G1679200
OG0000011	XP_020875848.1	Cg005G1679100
OG0000015	XP_020865814.1	Cg001G0251200
OG0000018	XP_020876240.1	Cg003G0814300
OG0000020	XP_002862745.2, XP_020874187.1	Cg004G1313600
OG0000021	XP_020872563.1, XP_020870832.1, XP_020872717.1, XP_020874922.1, XP_020879645.1	Cg006G1871200
OG0000021	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1	Cg006G1912000, Cg004G1333000
OG0000022	XP_020873422.1	Cg001G0134600
OG0000022	XP_002886462.1	Cg007G2277400
OG0000022	XP_020865810.1	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000
OG0000022	XP_020865918.1	Cg007G2258400
OG0000022	XP_002868609.1	Cg001G0385000
OG0000022	XP_002883021.2	Cg004G1232100
OG0000023	XP_020870611.1	Cg007G2371000
OG0000023	XP_020875036.1	Cg003G0882200
OG0000023	XP_020871051.1	Cg006G1902200
OG0000023	XP_020888454.1	Cg001G0296000
