Orthogroup	Odontarrhena_muralis	Raphanus_sativus
OG0000000	Om008G349060	XP_018459207.1, XP_018459208.1
OG0000000	Om005G215690, Om007G308190	XP_018454350.1
OG0000000	Om007G313100	XP_018470557.1
OG0000000	Om004G155360, Om001G016100, Om008G346050, Om007G315370, Om008G345840, Om005G216480, Om008G360230, Om002G080940, Om011G365800	XP_018467280.1
OG0000000	Om004G142780, Om003G104870, Om003G105610	XP_018435304.1, XP_018467378.1
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	XP_018459921.1
OG0000000	Om004G154060, Om009G363570, Om004G177240, Om006G269410	XP_018458866.1
OG0000002	Om004G152900	XP_018479529.1, XP_018461909.1, XP_018459223.1, XP_018460439.1, XP_018459136.1, XP_018465757.1, XP_018435975.1, XP_018458091.1, XP_018453716.1, XP_018459052.1, XP_018459980.1, XP_018463421.1, XP_018453822.1
OG0000003	Om007G276690	XP_018448864.1, XP_018453890.1, XP_018463988.1, XP_018464531.1, XP_018459047.1, XP_018459385.1, XP_018453823.1, XP_018473854.1, XP_018462540.1, XP_018459967.1, XP_018479006.1, XP_018454154.1, XP_018436209.1, XP_018460030.1, XP_018460938.1, XP_018463384.1, XP_018435851.1, XP_018435852.1
OG0000003	Om004G173160	XP_018460462.1, XP_018463058.1
OG0000003	Om005G217790	XP_018460386.1, XP_018465458.1, XP_018464439.1, XP_018463188.1, XP_018462737.1, XP_018464076.1, XP_018465694.1, XP_018459974.1
OG0000004	Om008G333050	XP_018462059.1, XP_018453573.1
OG0000004	Om007G313270	XP_018473868.1, XP_018473865.1
OG0000004	Om004G159780	XP_018473616.1, XP_018461587.1, XP_018479550.1, XP_018435819.1, XP_018479791.1, XP_018477037.1, XP_018479597.1, XP_018487968.1, XP_018473623.1, XP_018479587.1, XP_018443691.1, XP_018436376.1, XP_018479586.1, XP_018463022.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1, XP_018462044.1, XP_018478488.1, XP_018435536.1, XP_018448777.1, XP_018466718.1, XP_018458435.1, XP_018463796.1, XP_018473896.1, XP_018448677.1, XP_018473859.1, XP_018458831.1, XP_018473866.1, XP_018473869.1, XP_018458508.1, XP_018487419.1, XP_018466408.1, XP_018479554.1, XP_018460445.1, XP_018458776.1, XP_018435836.1, XP_018487722.1, XP_018473811.1, XP_018487729.1, XP_018459879.1, XP_018453885.1, XP_018473827.1, XP_018435953.1
OG0000005	Om002G083130, Om004G139040, Om005G219680, Om008G356930, Om004G145060	XP_018479454.1
OG0000005	Om005G220370	XP_018454026.1
OG0000005	Om001G028590, Om007G295980	XP_018479571.1, XP_018488331.1
OG0000005	Om001G005070	XP_018487541.1
OG0000005	Om007G299590	XP_018448691.1, XP_018435561.1, XP_018479324.1
OG0000005	Om007G282810	XP_018458816.1
OG0000005	Om002G076060	XP_018479530.1, XP_018462391.1
OG0000005	Om006G261840	XP_018467691.1
OG0000006	Om005G227740	XP_018487746.1
OG0000007	Om001G019860	XP_018453653.1
OG0000007	Om006G244810, Om006G267880, Om011G365910, Om003G114390	XP_018443420.1
OG0000007	Om007G297600	XP_018463622.1, XP_018435702.1, XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018443673.1, XP_018475855.1, XP_018453689.1, XP_018479455.1
OG0000007	Om006G268360, Om002G076040	XP_018459162.1
OG0000007	Om007G308670, Om005G224350	XP_018463500.1, XP_018465308.1, XP_018459856.1, XP_018443699.1
OG0000008	Om007G307170	XP_018462957.1
OG0000008	Om009G364060	XP_018462956.1
OG0000008	Om007G284450, Om008G361640, Om007G313430	XP_018465341.1, XP_018462648.1, XP_018454207.1, XP_018448605.1, XP_018458139.1, XP_018488090.1, XP_018444644.1, XP_018489767.1, XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018454008.1, XP_018475693.1, XP_018435390.1, XP_018435386.1, XP_018479750.1, XP_018464703.1, XP_018455757.1, XP_018436131.1, XP_018459798.1, XP_018473907.1, XP_018482699.1, XP_018488222.1, XP_018464317.1, XP_018469961.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018463041.1, XP_018448884.1, XP_018448882.1, XP_018489331.1, XP_018490599.1, XP_018460935.1
OG0000008	Om009G364160, Om009G364180	XP_018480006.1, XP_018453589.1
OG0000008	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880	XP_018460436.1, XP_018467327.1, XP_018463808.1, XP_018464542.1, XP_018459493.1, XP_018458167.1, XP_018436091.1, XP_018453646.1, XP_018466936.1, XP_018443646.1
OG0000010	Om008G341420	XP_018476133.1, XP_018461000.1
OG0000011	Om005G184900	XP_018463968.1, XP_018477654.1, XP_018458558.1
OG0000012	Om004G146180	XP_018480111.1
OG0000012	Om002G076390	XP_018458669.1, XP_018458672.1
OG0000012	Om008G343540	XP_018460988.1
OG0000012	Om007G307770	XP_018443761.1
OG0000013	Om002G089030	XP_018467319.1, XP_018453656.1, XP_018458136.1, XP_018458135.1, XP_018458664.1, XP_018459125.1, XP_018453657.1, XP_018458096.1, XP_018476282.1, XP_018459495.1, XP_018476229.1, XP_018464964.1, XP_018476861.1, XP_018464106.1, XP_018436081.1
OG0000014	Om004G169570	XP_018479118.1, XP_018435897.1
OG0000014	Om007G309000	XP_018435497.1
OG0000015	Om006G271980	XP_018459146.1
OG0000015	Om003G105790, Om004G154560	XP_018435929.1, XP_018475313.1
