Orthogroup	Arabidopsis_thaliana	Cardamine_amara
OG0000005	AT4G09490.1	evm.model.RL_8.339
OG0000005	AT1G10000.1	evm.model.RL_1.1086
OG0000006	AT2G13770.1	evm.model.RL_4.553, evm.model.RL_5.578
OG0000008	AT5G28780.1	evm.model.RL_7.2148, evm.model.RL_2.761
OG0000013	AT2G06105.1	evm.model.RL_6.758, evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641, evm.model.RL_5.2507
OG0000018	AT1G52950.1	evm.model.RL_4.1915
OG0000018	AT3G31925.1	evm.model.RL_7.1872
OG0000021	AT1G40390.1	evm.model.RL_7.92, evm.model.RL_2.444
OG0000021	AT1G43760.1	evm.model.RL_5.2428, evm.model.RL_6.438
OG0000023	AT4G23320.3	evm.model.RL_2.1848
OG0000023	AT4G23260.1	evm.model.RL_2.1843
OG0000023	AT4G23250.2	evm.model.RL_2.1842
OG0000023	AT4G23200.1	evm.model.RL_2.1839
OG0000023	AT4G11521.1	evm.model.RL_8.624
OG0000023	AT4G23220.1	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	AT4G23190.1	evm.model.RL_2.1825.3.687c86e4
OG0000025	AT5G54560.1, AT5G54550.1	evm.model.RL_8.1541
OG0000025	AT5G55870.1	evm.model.RL_8.1529
OG0000028	AT5G36225.1	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000031	AT1G63130.1	evm.model.RL_3.758
OG0000031	AT1G62914.1, AT1G62670.1	evm.model.RL_3.205
OG0000033	AT3G45860.1	evm.model.RL_3.424, evm.model.RL_3.1278
OG0000033	AT4G05200.2	evm.model.RL_8.413
OG0000038	AT3G49480.2	evm.model.RL_7.1446
OG0000038	AT5G52460.1	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000040	AT1G67450.1	evm.model.RL_3.1121
OG0000042	AT3G25720.1	evm.model.RL_3.4
OG0000042	AT1G50080.1, AT2G19146.1	evm.model.RL_6.2221
