Orthogroup	Cochlearia_excelsa	Cardamine_hirsuta
OG0000000	g15642	CARHR228880, CARHR142010, CARHR214930, CARHR254290
OG0000000	g14424, g36335, g24433, g25323, g18049, g47718, g34709, g4497, g26082, g48927, g1710, g51108, g47070, g43826, g49581, g54001, g52927, g54256, g38083, g2287, g14237, g42083, g4557, g53247, g34457, g4555, g49069, g36273, g5773, g24974, g35002, g51196, g51906, g42028, g26236, g5187, g16421, g2957, g32683, g38285, g41764, g11448, g14009, g53488, g24758, g37816, g4647, g16228, g1650, g4603, g33021, g53553, g474, g53928, g43468, g31046, g45106, g24897, g34861, g52921, g13894, g26632, g16472, g53084, g17875, g36758, g23493	CARHR153350
OG0000007	g23854	CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410
OG0000007	g4635	CARHR057560, CARHR111840, CARHR100700, CARHR258710, CARHR180780, CARHR182530, CARHR055190
OG0000007	g24723, g1457, g35540	CARHR266890
OG0000007	g9677	CARHR151410
OG0000007	g32471, g52712	CARHR214530
OG0000007	g47006, g45886, g50470	CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020, CARHR055800, CARHR216040, CARHR051840
OG0000008	g49591	CARHR046080, CARHR116420
OG0000008	g5353, g35020, g27856, g27175, g1942	CARHR159360
OG0000008	g52586	CARHR217630
OG0000008	g24450, g27833	CARHR114980
OG0000008	g26783	CARHR183140
OG0000008	g36094, g12608, g25554, g19408	CARHR056560, CARHR114970, CARHR150550
OG0000008	g27995	CARHR293430
OG0000008	g37068, g26784, g43729	CARHR035430, CARHR217860
OG0000008	g4392	CARHR217020, CARHR131120, CARHR164530, CARHR288680
OG0000008	g11343	CARHR103530
OG0000008	g33123	CARHR259120
OG0000008	g39484, g13991	CARHR118910, CARHR216990, CARHR111800
OG0000009	g36085, g14872, g26760	CARHR034640, CARHR017910
OG0000009	g53845	CARHR077050
OG0000009	g35969	CARHR059740
OG0000009	g23979, g28647, g29131, g1512	CARHR153540, CARHR055780
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	CARHR218510
OG0000011	g18071, g2721, g42559, g4725, g47538	CARHR259400
OG0000012	g24724	CARHR032720
OG0000012	g6006, g41912	CARHR256470
OG0000012	g26075	CARHR032700
OG0000014	g48054, g53564, g43041	CARHR287490
OG0000015	g14679, g39566, g3152, g14756, g32935, g42908, g43716, g41967, g26998, g24843, g14643, g12672, g5446, g48095, g26670, g53567, g21949, g3755, g43029, g24634, g3313	CARHR258200, CARHR258330
OG0000015	g30476, g8572, g24862, g53814, g952, g32985, g12170, g24863, g14880, g26256, g5557, g43592, g35813, g36776, g27727, g24865, g6380, g17786, g42099, g47632, g3363, g40591, g43089, g38797, g43577, g47913, g47480, g25009, g43580, g47633, g11559, g47481, g16302, g12630, g40592, g47122, g6105, g38798, g8683, g11560, g16301, g35858, g12631, g47121, g34363, g41971, g39565, g4758, g26125, g35684, g3315, g8210, g24633, g8709, g3775, g53218, g42134, g3753, g42171, g26614, g16377, g12285, g43718, g40286, g1778, g26035, g11220, g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977	CARHR110600
OG0000020	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581	CARHR113350, CARHR034150, CARHR049310
OG0000020	g4186	CARHR213120
OG0000022	g17118	CARHR234420
OG0000022	g5030	CARHR196550
OG0000022	g40889	CARHR051050, CARHR048810, CARHR047980, CARHR049170
OG0000022	g45205, g45149, g24844	CARHR048840
OG0000022	g40888	CARHR049120
OG0000022	g40751	CARHR046360
OG0000022	g40752	CARHR046370
OG0000022	g13269	CARHR213210, CARHR091960
OG0000024	g22601	CARHR030400
OG0000024	g53087, g43467	CARHR030450
OG0000024	g43469	CARHR030420
OG0000024	g2269	CARHR168020, CARHR167830
OG0000024	g28294	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000025	g46637, g25246, g50791	CARHR288360
OG0000026	g36073, g28599	CARHR104160
OG0000027	g43193, g48946	CARHR264010, CARHR255080
OG0000027	g25723	CARHR255040
OG0000027	g48941	CARHR263990, CARHR255060
OG0000027	g48949	CARHR254990
OG0000027	g40374	CARHR254870
OG0000027	g23101	CARHR230560
OG0000028	g972	CARHR242960
OG0000028	g12012	CARHR028790
OG0000028	g24597, g39418	CARHR267690
OG0000030	g38367, g38376, g38372, g38380	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000030	g13799, g13797	CARHR158520, CARHR158510, CARHR158530
OG0000030	g44631	CARHR223790, CARHR088850
OG0000032	g41784, g34309, g35282	CARHR114460
OG0000032	g25262	CARHR159330
OG0000032	g8719, g35299, g5355, g32774, g16031, g31992, g27854, g8229, g4385, g15955, g34339, g35327, g35065, g32781	CARHR158150, CARHR057520, CARHR108030, CARHR217640
OG0000032	g13754, g16096	CARHR284230
OG0000032	g29531	CARHR289940
OG0000032	g25263, g35283, g34310	CARHR284240
OG0000032	g49592	CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550
OG0000032	g4129, g3254, g35284	CARHR266460
OG0000034	g23911	CARHR230270, CARHR230290
OG0000034	g24014	CARHR228000, CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070, CARHR289950
OG0000034	g50699	CARHR106160
OG0000034	g23912	CARHR230230, CARHR230200
OG0000034	g23905	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650
OG0000038	g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104	CARHR187570
OG0000038	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625	CARHR259820
OG0000039	g30058, g19679, g3538, g30024, g34069, g15290, g33828, g33832, g48859, g33774, g26506, g34577, g38840, g15451, g8891, g35369	CARHR117850
OG0000042	g43790, g5736, g43774	CARHR154720
OG0000042	g44909, g43791	CARHR260310
OG0000042	g40104, g13786, g31186, g8826, g30544	CARHR181500
OG0000043	g32581, g25935, g6093	CARHR220690
OG0000043	g50828	CARHR104870
OG0000043	g37824, g17258, g53614, g49526, g36920, g23518	CARHR145030
OG0000043	g53495, g823, g9695, g7844, g12264	CARHR098760
OG0000043	g1397, g32976	CARHR124520
OG0000043	g31367, g38501, g7845, g6015, g50701	CARHR288090
OG0000043	g14419	CARHR105380, CARHR035340
OG0000043	g52052, g38502, g20449	CARHR181910, CARHR111550, CARHR213150
OG0000043	g13019	CARHR118730
OG0000043	g41214, g17678	CARHR216370
OG0000043	g48334	CARHR121910
OG0000044	g10944	CARHR116350
OG0000044	g28154	CARHR116330, CARHR195110, CARHR223530, CARHR222980, CARHR290490, CARHR223500, CARHR290500, CARHR222990, CARHR223540, CARHR222470
OG0000046	g3382, g2931	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330
OG0000046	g26196, g11589	CARHR273180, CARHR286710, CARHR217190
OG0000046	g33267	CARHR117470
OG0000047	g52952, g32980, g35708, g41922, g52704, g49046, g17789, g53468, g32719, g26176, g41624, g24203, g6965, g4623, g51888, g23943, g53874, g8174, g27898, g7014, g41621, g22371, g32817, g20824, g2573, g13889, g36360, g16589, g15986, g31363, g31930, g28207, g17439, g13543, g17255, g42785, g3145, g3176, g32951, g4540, g32755, g4562, g3738, g34925, g26172, g9204, g7013, g46294, g36204, g22170, g52845, g52827, g52953, g53253, g3120, g26684, g26774, g33014, g4289, g43014, g52389, g3625, g42749, g4222, g43518, g53610, g3146, g20823, g3147, g29255, g51007, g43600, g13036, g22171, g29247, g44943, g39409, g42786, g29246, g4560, g52374, g53624, g52388, g28206, g17256, g36732, g16465, g16464, g51006, g36203, g13544, g33250, g33281, g33287, g43013, g4288, g3177, g53505, g49130, g34774, g26169, g43232, g4221, g49129, g26173, g10874, g43519, g3479, g34451, g52846, g52828, g52839, g3624, g53822, g39938, g46293, g3737, g32568, g29256, g19401, g44942, g26771, g13890, g6966, g4624, g32714, g53873, g44165, g53254, g3119, g15987, g33359, g30235, g33013, g36953, g26773	CARHR257880
OG0000048	g51285	CARHR054750
OG0000048	g39852, g39841	CARHR125110
OG0000048	g3814	CARHR207670
OG0000048	g51286	CARHR126120
OG0000048	g29294, g52069, g52073, g52064	CARHR126110
OG0000050	g30921, g53630, g4397, g10583, g5874	CARHR071180, CARHR153550
OG0000051	g53934	CARHR137550
OG0000051	g37450	CARHR137540
OG0000052	g10535	CARHR278910, CARHR148040
OG0000052	g19225	CARHR162490
OG0000054	g25225, g3036	CARHR218450
OG0000054	g15787, g35421	CARHR259190
OG0000054	g14337, g24011, g30442, g52428, g32562, g48023, g2616, g35754, g20877, g16232, g25038, g8779, g34409, g14810, g30055, g34238, g13738, g11527, g14381, g4607, g48037, g52357, g16667, g22195, g30461	CARHR153240
OG0000054	g53175	CARHR288230
OG0000055	g27361	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	g700	CARHR092560, CARHR092720
OG0000055	g50182, g50184, g50186	CARHR149840
OG0000056	g44206, g40901	CARHR155600
OG0000059	g2480, g46139, g19260, g24166, g14493, g2184, g16902, g51200, g2153, g3380, g49418, g1735, g51079, g36530, g42562, g2712, g50347	CARHR044830
OG0000059	g1329	CARHR293330, CARHR148640, CARHR151940, CARHR118340
OG0000059	g43705, g16122	CARHR104020
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	CARHR007630, CARHR121870, CARHR273260, CARHR273610, CARHR132050, CARHR154290, CARHR163630, CARHR154770
OG0000061	g50013	CARHR123140
OG0000061	g23667	CARHR123070
OG0000065	g17485	CARHR214320
OG0000065	g46719	CARHR059090
OG0000065	g18042	CARHR059270, CARHR059250
OG0000065	g46717	CARHR257300, CARHR257310, CARHR263400, CARHR263410
OG0000066	g9719	CARHR279310
OG0000066	g29501, g45535	CARHR279320, CARHR202900, CARHR009160
OG0000066	g5393	CARHR246630, CARHR202310, CARHR246640
OG0000068	g27956, g25385, g25390, g46783	CARHR210960, CARHR210190, CARHR064230
OG0000069	g1465, g1180, g34298	CARHR264460
OG0000070	g10675	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	g50123	CARHR020650
OG0000070	g46242	CARHR069500
OG0000070	g44417	CARHR284690
OG0000073	g17549, g12998	CARHR119500
OG0000075	g1450	CARHR247180
OG0000075	g25975, g22716	CARHR247150, CARHR221070, CARHR247140
OG0000075	g46525	CARHR164670, CARHR164660, CARHR174400
OG0000076	g32307, g51190	CARHR260300
OG0000077	g18473	CARHR177040, CARHR176890, CARHR177190, CARHR158180
OG0000077	g18408	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080
OG0000077	g32644	CARHR112200
OG0000077	g1538, g1535	CARHR176420, CARHR288740, CARHR145630, CARHR145650, CARHR145640
OG0000077	g1569	CARHR145620
OG0000078	g4945	CARHR077930, CARHR077950, CARHR077940, CARHR077910
OG0000079	g53126	CARHR151670, CARHR119610
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177	CARHR217030
OG0000081	g15781, g11373, g584, g48347	CARHR117010
OG0000081	g33350, g4665	CARHR264280
OG0000082	g18239	CARHR184640
OG0000086	g14687	CARHR214810
OG0000086	g25067, g25040	CARHR272990
OG0000086	g22657, g15074	CARHR214870
OG0000086	g46770, g46768, g46769, g43995	CARHR214790, CARHR214760
OG0000089	g9991	CARHR189700
OG0000089	g5316	CARHR200860
OG0000089	g11055, g40485	CARHR178800
OG0000089	g24042	CARHR227450
OG0000089	g46232	CARHR020480, CARHR069200
OG0000091	g28934, g28933	CARHR192340, CARHR192330
OG0000092	g18062	CARHR216170
OG0000092	g49146, g15729	CARHR225740
OG0000092	g32984, g46682	CARHR292670, CARHR261170
OG0000092	g17352, g17357, g1801, g17341, g25289	CARHR286110
OG0000092	g2110	CARHR150900
OG0000092	g32983	CARHR216160
OG0000092	g53648, g33297, g45424	CARHR035160
OG0000092	g50000	CARHR150890
