Orthogroup	Arabidopsis_arenosa	Eutrema_salsugineum
OG0000000	jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262	XP_024009341.1
OG0000002	jg27118	XP_024013349.1, XP_024007240.1
OG0000002	jg13863	XP_024013294.1
OG0000002	jg1783	XP_024010604.1, XP_024009251.1, XP_024009451.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024011258.1, XP_024016116.1, XP_024010553.1, XP_024013954.1, XP_024013993.1, XP_024016193.1, XP_024013210.1, XP_024015869.1, XP_024009904.1, XP_024010307.1, XP_024015923.1, XP_024013058.1
OG0000003	jg14786	XP_024013358.1, XP_006402217.2, XP_024016125.1, XP_024003648.1
OG0000003	jg1672	XP_024015858.1
OG0000003	jg11918	XP_024016094.1, XP_024013092.1, XP_024009493.1, XP_024014542.1, XP_024015830.1, XP_024014507.1, XP_024016342.1, XP_024010922.1, XP_024009400.1, XP_024011364.1, XP_024011296.1
OG0000004	jg25786	XP_024016239.1
OG0000005	jg20691, jg3218	XP_006391314.1
OG0000005	jg28095, jg17698	XP_024010394.1
OG0000005	jg1846, jg6872, jg23533, jg17538, jg11602	XP_006404467.1
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	XP_024016213.1
OG0000005	jg27468	XP_024014912.1
OG0000008	jg20324	XP_024009261.1
OG0000011	jg27080	XP_024007975.1, XP_024004037.1, XP_024013982.1, XP_024016238.1, XP_024014463.1
OG0000011	jg13807	XP_024004034.1
OG0000011	jg9712, jg17246, jg33243, jg1376, jg22437, jg12228, jg13806, jg1512, jg6632	XP_024007215.1, XP_024016855.1, XP_024016237.1, XP_024011218.1, XP_024006271.1, XP_024010312.1, XP_024007778.1, XP_024014518.1, XP_024004787.1, XP_024013297.1, XP_024014667.1, XP_024010250.1, XP_024009301.1, XP_024004077.1, XP_024009973.1, XP_024011119.1, XP_024016528.1, XP_024009476.1, XP_024011231.1, XP_024004817.1, XP_024010254.1, XP_024015930.1, XP_024006092.1, XP_024014989.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024009382.1, XP_024009379.1, XP_024009011.1, XP_024006840.1, XP_024006606.1, XP_024013319.1, XP_024013984.1, XP_024013538.1, XP_024007927.1
OG0000011	jg27473, jg29119	XP_024010246.1, XP_024010847.1, XP_024006310.1, XP_024014087.1, XP_024006789.1, XP_024013645.1
OG0000011	jg27079	XP_024010196.1
OG0000012	jg12454, jg31920	XP_024016167.1
OG0000012	jg27744, jg1550, jg27237, jg26946, jg7019, jg10010, jg11974, jg21172, jg12128, jg11895, jg21243, jg32109, jg17207, jg1599, jg12143, jg31034, jg32719, jg17365, jg31024, jg27300	XP_024013199.1
OG0000013	jg1575	XP_024013108.1, XP_024013090.1
OG0000013	jg11978	XP_024009217.1, XP_024010471.1
OG0000013	jg12130	XP_024015867.1
OG0000014	jg22974	XP_024013181.1, XP_024016301.1, XP_024004089.1
OG0000015	jg11869	XP_024006904.1
OG0000015	jg21086	XP_024007917.1
OG0000017	jg6965	XP_024010923.1, XP_024015878.1, XP_024016723.1, XP_024004986.1, XP_024014812.1, XP_024016106.1, XP_024006565.1, XP_024011333.1, XP_024013063.1, XP_024010757.1, XP_024015902.1, XP_024006617.1, XP_024007259.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024006547.1, XP_024014443.1, XP_024010319.1, XP_024013043.1, XP_024013948.1, XP_024010782.1, XP_024013965.1, XP_006405034.2, XP_024013964.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013056.1, XP_024014425.1, XP_024009794.1, XP_024013930.1
OG0000017	jg11431	XP_024016132.1
OG0000017	jg6883	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1
OG0000018	jg25715	XP_024008232.1
OG0000019	jg33383, jg21637, jg13651, jg26287	XP_024003642.1
OG0000019	jg13840	XP_024016548.1, XP_024004876.1, XP_024003759.1
OG0000019	jg13838, jg27639, jg22122, jg16702	XP_024010115.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024014025.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1, XP_024016207.1, XP_024004800.1, XP_024016569.1
OG0000020	jg27186	XP_024007954.1
OG0000021	jg27173	XP_024006452.1
OG0000021	jg17386, jg13577	XP_024013347.1
OG0000023	jg10174	XP_006413565.1
OG0000023	jg7514	XP_024009837.1
OG0000023	jg7523	XP_024010236.1
OG0000023	jg7521	XP_006396896.1
OG0000023	jg7526	XP_006396908.2
OG0000023	jg7533, jg7537, jg7530	XP_006396890.1
OG0000023	jg10191	XP_006413569.1
OG0000023	jg10192	XP_024004623.1
OG0000023	jg10199	XP_006413573.1
OG0000025	jg29584	XP_006405436.1, XP_006405441.2
OG0000025	jg8748	XP_006411607.2
OG0000026	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349	XP_024010439.1
OG0000026	jg32153, jg20543, jg27936, jg21506	XP_024014962.1, XP_024012918.1, XP_024007297.1, XP_024015864.1, XP_024006404.1, XP_024014500.1, XP_024004987.1, XP_024010657.1
OG0000027	jg31708	XP_024006555.1
OG0000027	jg33002, jg33003	XP_006415341.2, XP_024007951.1, XP_006415394.1
OG0000027	jg14278, jg15770, jg15695, jg15696, jg15771	XP_006402766.1
OG0000028	jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460	XP_024006637.1
OG0000028	jg33138, jg30060, jg20837	XP_024004809.1, XP_024013054.1, XP_024013055.1
OG0000028	jg21311	XP_024009259.1
OG0000028	jg32932, jg1778	XP_024013800.1, XP_024012069.1
OG0000029	jg17949	XP_024005553.1
OG0000030	jg6977	XP_024009944.1
OG0000030	jg11609, jg17129	XP_024009281.1
OG0000031	jg663, jg481, jg538, jg645, jg586, jg583, jg572, jg642	XP_006391833.2
OG0000031	jg618, jg613, jg617, jg616, jg643	XP_006391783.1, XP_006391806.1, XP_006391807.1, XP_006391822.1, XP_006391862.1, XP_006391821.1, XP_006391819.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000031	jg29724	XP_006417216.1, XP_006417205.1, XP_006417199.1
OG0000031	jg26478	XP_006418847.2, XP_006406159.2
OG0000031	jg5495	XP_006400202.2
OG0000031	jg12744	XP_024014798.1
OG0000031	jg25741	XP_024015415.1
OG0000031	jg9770	XP_006413138.1
OG0000033	jg10203, jg10197, jg10193	XP_024010975.1, XP_006413571.1
OG0000033	jg10186, jg10200, jg10207	XP_006413574.2
OG0000033	jg10425	XP_024005104.1
OG0000033	jg10176, jg10175	XP_006413567.2
OG0000033	jg10198	XP_024004626.1
OG0000033	jg10195, jg10202	XP_006413576.1
OG0000034	jg32649, jg13995	XP_024004424.1
OG0000035	jg740	XP_006407903.2
OG0000035	jg18271	XP_006410338.1
OG0000035	jg18309	XP_006391498.1, XP_006406621.1, XP_006406579.1
OG0000035	jg33607	XP_006406533.1
OG0000035	jg12648, jg12649	XP_024013597.1
OG0000035	jg16185	XP_024012909.1
