Orthogroup	Rorippa_islandica	Arabidopsis_lyrata_NCBI
OG0000000	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p	XP_020887909.1
OG0000000	Roisl.0053s0185.1.p	XP_020885673.1
OG0000000	Roisl.0213s0402.1.p	XP_020883444.1
OG0000000	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p	XP_020867739.1, XP_020872418.1, XP_020889487.1, XP_020890732.1
OG0000003	Roisl.0058s0055.1.p	XP_020881895.1
OG0000003	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p	XP_020889841.1
OG0000003	Roisl.0198s0065.1.p	XP_020883515.1
OG0000004	Roisl.0022s0436.1.p	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1
OG0000007	Roisl.0064s0008.1.p	XP_020866419.1
OG0000008	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p	XP_020881833.1
OG0000008	Roisl.0189s0008.1.p	XP_020882276.1
OG0000008	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p	XP_020881885.1, XP_020881611.1
OG0000008	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p	XP_020879836.1
OG0000008	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p	XP_020879665.1, XP_020882645.1
OG0000008	Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p	XP_020879646.1, XP_020872716.1
OG0000008	Roisl.0189s0101.1.p	XP_020874196.1
OG0000011	Roisl.0008s0052.1.p	XP_020881814.1, XP_020878850.1
OG0000011	Roisl.0201s0003.1.p	XP_020891537.1
OG0000011	Roisl.0019s0018.1.p	XP_020885819.1, XP_020866216.1
OG0000012	Roisl.0198s0021.1.p, Roisl.0082s0083.1.p	XP_020871500.1
OG0000014	Roisl.0041s0069.1.p	XP_020871367.1
OG0000015	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p	XP_020865814.1
OG0000020	Roisl.0179s0050.1.p	XP_002862745.2, XP_020874187.1
OG0000020	Roisl.0082s0242.1.p	XP_020879010.1, XP_020874114.1, XP_002883754.2
OG0000020	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p	XP_020877054.1, XP_020869021.1
OG0000020	Roisl.0214s0109.1.p	XP_020872420.1, XP_020884768.1
OG0000021	Roisl.0179s0097.1.p	XP_020872717.1, XP_020874922.1, XP_020879645.1
OG0000021	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p	XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1
OG0000021	Roisl.0066s0388.1.p	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000021	Roisl.0014s0139.1.p	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1
OG0000022	Roisl.0022s0346.1.p	XP_020873422.1
OG0000022	Roisl.0210s1365.1.p	XP_020878202.1
OG0000022	Roisl.0010s0089.1.p, Roisl.0010s0086.1.p	XP_020865991.1, XP_020890510.1, XP_020865986.1, XP_002886463.2, XP_020865982.1
OG0000022	Roisl.0010s0095.1.p	XP_020889844.1
OG0000022	Roisl.0010s0065.1.p	XP_002886462.1
OG0000022	Roisl.0010s0092.1.p	XP_020865844.1, XP_020890513.1
OG0000022	Roisl.0008s0013.1.p	XP_020865987.1, XP_020865810.1
OG0000022	Roisl.0010s0069.1.p	XP_020890773.1
OG0000022	Roisl.0021s0368.1.p	XP_020869316.1
OG0000022	Roisl.0021s0361.1.p	XP_020869509.1
OG0000022	Roisl.0091s0926.1.p	XP_020869233.1
OG0000022	Roisl.0050s0030.1.p	XP_020865918.1
OG0000022	Roisl.0050s0031.1.p	XP_020890021.1
OG0000022	Roisl.0009s0109.1.p	XP_002868609.1
OG0000022	Roisl.0074s0275.1.p	XP_002883021.2
OG0000024	Roisl.0213s0369.1.p	XP_020866341.1
OG0000024	Roisl.0213s0506.1.p	XP_002893705.2, XP_002893704.2
