Orthogroup	Brassica_rapa	Arabidopsis_arenosa
OG0000000	XP_033138771.1	jg11905
OG0000000	XP_033138224.1, XP_009144626.1, XP_033130110.1, XP_033129351.1, XP_009117187.1, XP_009129274.1, XP_033139897.1	jg27616
OG0000002	XP_033148513.1	jg1034, jg12348, jg27118, jg1783
OG0000003	XP_033133979.1	jg13879
OG0000003	XP_033146211.1	jg17386, jg13577
OG0000004	XP_033138950.1, XP_033130324.1	jg1749
OG0000004	XP_033138897.1	jg21092
OG0000004	XP_033142456.1	jg17418, jg2001, jg27456
OG0000008	XP_009115858.3	jg15054, jg15062, jg15069, jg15057
OG0000009	XP_033139461.1	jg1846, jg6872
OG0000009	XP_033141077.1	jg3218, jg20691
OG0000009	XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1	jg17698, jg17538, jg11602
OG0000009	XP_009139341.2, XP_009103764.1, XP_009152173.2, XP_009117699.2, XP_033144437.1	jg13081, jg20041
OG0000011	XP_033128807.1	jg13840
OG0000011	XP_018509279.1, XP_033141867.1	jg26287
OG0000011	XP_018511928.1	jg33095
OG0000011	XP_033144010.1	jg13651
OG0000011	XP_033139088.1, XP_033131994.1, XP_033139376.1	jg16702
OG0000011	XP_033143559.1, XP_033143864.1, XP_033136826.1	jg13838, jg27639, jg22122
OG0000011	XP_009119519.1	jg4342
OG0000011	XP_033132530.1	jg21692
OG0000011	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1	jg6805
OG0000012	XP_033134396.1, XP_009140434.1, XP_009124217.1	jg27473, jg29119, jg9712, jg17246
OG0000015	XP_009113103.2, XP_033138269.1, XP_033136397.1, XP_033137014.1	jg11869
OG0000015	XP_018509062.1, XP_009118914.1	jg21086
OG0000018	XP_033141158.1	jg2924
OG0000020	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1	jg21095
OG0000020	XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1	jg2142
OG0000020	XP_033146803.1, XP_033138241.1, XP_033134460.1, XP_033147772.1	jg11431, jg27353
OG0000021	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774
OG0000022	XP_009142868.1	jg9770
OG0000022	XP_009121467.1	jg5495
OG0000022	XP_009112698.1	jg642
OG0000022	XP_009112701.1	jg29675, jg638
OG0000022	XP_033134453.1	jg29724
OG0000022	XP_033133748.1	jg29708, jg29704, jg29712
OG0000022	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1	jg29722, jg29734, jg29678, jg29676
OG0000022	XP_009112843.1	jg372
OG0000022	XP_009140073.1	jg12744
OG0000022	XP_009114567.1	jg25741
OG0000024	XP_018512901.1	jg17071
OG0000024	XP_033133295.1	jg18272
OG0000024	XP_009144063.2, XP_018514372.2, XP_033148397.1	jg27402, jg18984, jg31665, jg31668
OG0000024	XP_009116539.1	jg14278
OG0000025	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1	jg27352
OG0000027	XP_033142038.1	jg7521
OG0000027	XP_033142132.1	jg7523
OG0000027	XP_009136778.1, XP_009136797.2	jg10174
OG0000027	XP_009136911.1	jg10183
OG0000027	XP_033132923.1	jg10181
OG0000027	XP_033144191.1	jg10205, jg10191
OG0000027	XP_009108162.1	jg7537, jg7533, jg7530
OG0000027	XP_009108168.1	jg7526
OG0000027	XP_009136791.2	jg10190
OG0000028	XP_009101849.2, XP_033129787.1, XP_033138374.1	jg22443, jg22441, jg22952
OG0000028	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1	jg22250, jg22247, jg22219, jg12583, jg12582
OG0000028	XP_009148196.2	jg8750
OG0000028	XP_018509211.2	jg8748
OG0000028	XP_009105561.1, XP_009102299.1, XP_009133873.1	jg4645, jg21837
OG0000028	XP_033138713.1	jg22006, jg22007
OG0000028	XP_033140827.1, XP_033140822.1	jg22278, jg22269, jg22270, jg22279, jg22262
OG0000029	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965
OG0000029	XP_009150036.1	jg21311
OG0000030	XP_033144643.1, XP_033142641.1	jg26153, jg26152
OG0000030	XP_033129474.1, XP_033128828.1, XP_033131947.1	jg30787, jg31203, jg31202, jg25536
OG0000030	XP_009108389.1	jg11086, jg11084
OG0000030	XP_033148474.1	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	XP_033143643.1	jg2112
OG0000030	XP_018510426.1	jg25272
OG0000030	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2	jg738, jg25360
OG0000031	XP_033148609.1, XP_018512881.1, XP_009114439.1, XP_033134208.1	jg21055
OG0000032	XP_033143621.1	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000034	XP_009137321.1, XP_009136929.1	jg10193, jg10203, jg10197
OG0000034	XP_009136747.2	jg10204
OG0000034	XP_009137324.1, XP_033135404.1	jg10200
OG0000034	XP_009137188.1	jg10426
OG0000034	XP_009134716.1	jg10425
OG0000034	XP_033143970.1	jg10198
OG0000034	XP_009137317.1	jg10202, jg10195
OG0000034	XP_009108599.1	jg10208
OG0000034	XP_033143795.1	jg10177
OG0000035	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1	jg32621, jg13872
OG0000036	XP_033130947.1	jg21340
OG0000038	XP_033136961.1	jg27503
OG0000040	XP_018512880.1, XP_009112224.1, XP_033142288.1, XP_033128760.1, XP_009128563.1, XP_009150818.1	jg17939
OG0000041	XP_033138682.1, XP_009120440.2	jg28661
OG0000042	XP_033129992.1	jg33373
OG0000042	XP_009108258.2	jg26487, jg900, jg2222
OG0000042	XP_009138234.2, XP_033131226.1	jg17129
OG0000042	XP_033129573.1	jg6977
OG0000043	XP_033134364.1	jg17159
OG0000044	XP_033136809.1	jg20420
OG0000044	XP_009105239.1	jg20419
OG0000044	XP_018512047.1, XP_009134864.2	jg20443, jg20442, jg20416
OG0000044	XP_009128863.1	jg20415
OG0000044	XP_009123255.2	jg1752
OG0000045	XP_033142708.1, XP_009103472.2, XP_033139399.1, XP_033130736.1	jg17429
OG0000048	XP_009125775.1	jg20748, jg20747
OG0000048	XP_009123149.2	jg18309, jg18271
