Orthogroup	Brassica_rapa	Brassica_napus
OG0000000	XP_033132962.1, XP_033132457.1	XP_048623796.1, XP_048630077.1, XP_048612038.1
OG0000000	XP_033129333.1	XP_048611822.1
OG0000000	XP_033130947.1	XP_048605327.1
OG0000000	XP_033138907.1, XP_033138951.1, XP_009139525.2, XP_033139209.1, XP_033139378.1	XP_013658077.1
OG0000000	XP_033138897.1	XP_048624135.1
OG0000000	XP_033139509.1	XP_048627567.1, XP_048627466.1, XP_048630614.1
OG0000000	XP_033139502.1	XP_048627477.1, XP_048630686.1, XP_048629081.1, XP_048627742.1, XP_048611410.1
OG0000000	XP_033139403.1	XP_048596306.1, XP_013669519.2
OG0000000	XP_033139196.1	XP_048604928.1, XP_048620124.1, XP_048600598.1
OG0000000	XP_033129935.1	XP_048633279.1
OG0000000	XP_033134263.1	XP_013728730.2
OG0000000	XP_033142456.1	XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1
OG0000000	XP_033131609.1	XP_048605189.1, XP_048609263.1
OG0000000	XP_009103472.2	XP_048634956.1, XP_048617343.1, XP_013658727.2, XP_048638333.1, XP_013739503.2, XP_013669656.1, XP_048605185.1, XP_048635006.1, XP_048609119.1, XP_048632974.1
OG0000000	XP_033142708.1, XP_033134007.1	XP_048599975.1
OG0000000	XP_033128562.1	XP_048599815.1, XP_048596434.1, XP_048633106.1, XP_048599601.1, XP_048622962.1, XP_048611457.1, XP_048615726.1, XP_048609430.1, XP_013730002.2, XP_048638475.1, XP_048637474.1, XP_013654353.2, XP_048613448.1, XP_048634924.1
OG0000000	XP_033141125.1	XP_022556310.1
OG0000000	XP_033140369.1	XP_048610442.1
OG0000000	XP_033148095.1	XP_048612193.1
OG0000000	XP_009151556.2	XP_048622713.1
OG0000000	XP_033137005.1, XP_009141157.3, XP_033131545.1, XP_033132402.1, XP_033137411.1	XP_048632191.1
OG0000000	XP_009113453.2, XP_033144201.1, XP_033128118.1, XP_033131412.1, XP_033147268.1, XP_033132262.1, XP_033134168.1, XP_033135138.1, XP_033147160.1, XP_033145919.1	XP_048610848.1
OG0000000	XP_033146645.1	XP_048621624.1
OG0000000	XP_033130324.1	XP_048604588.1
OG0000000	XP_033140624.1, XP_033129388.1, XP_033130766.1	XP_048634050.1
OG0000000	XP_033147168.1, XP_033136031.1, XP_033137222.1, XP_033132105.1	XP_048618529.1
OG0000000	XP_033129977.1, XP_033146608.1, XP_033129968.1	XP_048599884.1, XP_013718283.1
OG0000002	XP_018511523.1	XP_013689755.1, XP_013721006.1, XP_013719469.1, XP_013680020.1, XP_048604981.1, XP_013700214.1, XP_013751912.1, XP_013658791.1, XP_048622703.1
OG0000002	XP_033148513.1	XP_022566326.2
OG0000002	XP_033142691.1, XP_033144451.1, XP_009118913.2	XP_048622095.1
OG0000002	XP_033139172.1	XP_022549820.1, XP_013689535.2, XP_048619845.1, XP_013715871.1, XP_048604645.1, XP_048621889.1
OG0000002	XP_033147366.1, XP_033134169.1	XP_048596410.1, XP_048599727.1
OG0000002	XP_033148076.1	XP_048633138.1, XP_048596393.1, XP_048599369.1
OG0000002	XP_033134986.1	XP_013668866.2, XP_048605779.1, XP_048611520.1, XP_048627900.1, XP_048628323.1, XP_048608335.1, XP_013654120.1, XP_048627325.1, XP_013673471.3, XP_048615611.1, XP_048619891.1, XP_013665252.2, XP_013658186.1, XP_048629974.1, XP_022552341.1, XP_013739277.2, XP_048613130.1, XP_048615541.1, XP_048623567.1
OG0000002	XP_009123785.2	XP_013720337.1
