Orthogroup	Conringia_planisiliqua	Alyssum_gmelinii
OG0000000	CP15_g35524_DN2_SP0_c.t1	Ag067G5184800, Ag001G0043700
OG0000000	CP6_g9755_DN1_SP0_c.t1	Ag062G5062000
OG0000000	CP7_g44628_DN3_SP0_c.t1	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500
OG0000000	CP24_g46939_DN1_SP0_c.t1	Ag071G5244500, Ag014G1982800, Ag013G1560600
OG0000000	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1	Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100
OG0000000	CP18_g11997_DN3_SP0_c.t1	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800
OG0000000	CP18_g12259_DN2_SP0_c.t1	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900
OG0000000	CP27_g41816_DN1_SP0_c.t1, CP9_g27694_DN1_SP0_c.t1	Ag036G4123700
OG0000000	CP5_g2400_DN1_SP0_c.t1	Ag011G1252700
OG0000000	CP27_g41817_DN2_SP0_c.t1, CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1, CP3_g14602_DN2_SP0_c.t1	Ag055G4904400
OG0000000	CP2_g50561_DN2_SP0_c.t1	Ag048G4660900
OG0000000	CP3_g14989_DN1_SP0_c.t1	Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100
OG0000000	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1	Ag058G4977700
OG0000000	CP9_g27797_DN2_SP0_c.t1	Ag044G4496600
OG0000000	CP28_g34012_DN1_SP0_c.t1, CP25_g55831_DN3_SP0_c.t1	Ag078G5351600
OG0000000	CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1	Ag066G5137400
