Arabis_alpina	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Aa_G10.h1.t1	522	AT5G48300.1	AT5G48300.1	other	GO:0005978;GO:0009536;GO:0048046;GO:0030931;GO:0009570;GO:0048573;GO:0019252;GO:0009507;GO:0008878;GO:0005524;GO:0009058	Glucose-1-phosphate adenylyltransferase small subunit, chloroplastic (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADP-glucose synthase) (AGPase B) (Alpha-D-glucose-1-phosphate adenyl transferase)
Aa_G100.h1.t1	832	AT2G04270.5	AT2G04270.5	orthologue	GO:2001070;GO:0006396;GO:0005737;GO:1901259;GO:0004521;GO:0006364;GO:0010239;GO:0009507;GO:0004540;GO:0009658;GO:0003723;GO:0004519;GO:0016787;GO:0046872;GO:0009570	Putative endoribonuclease E (RNAse E/G-like protein);Ribonuclease E/G-like protein, chloroplastic (RNase E/G-like protein) (EC 3.1.26.-) (RNase E)
Aa_G1000.h1.t1	79					
Aa_G10000.h1.t1	106	AT2G21220.1	AT2G21220.1	orthologue	GO:0003674;GO:0009741;GO:0009733;GO:0005739;GO:0005886	Protein SMALL AUXIN UP-REGULATED RNA 12
Aa_G100000.h1.t1	763	AT1G66960.2	AT1G66960.2	orthologue	GO:0005739;GO:0005634;GO:0016104;GO:0005811;GO:0042300;GO:0016020;GO:0031559;GO:0016866	Lupeol synthase 5 (AtLUP5) (EC 5.4.99.-);Terpene cyclase/mutase family member (EC 5.4.99.-)
Aa_G100010.h1.t1	592					
Aa_G1000110.h1.t1	136	AT4G22100.1, AT3G62750.2	AT4G22100.1	other	GO:0005886;GO:0008422;GO:0005975;GO:0099503;GO:0005777;GO:0000325;GO:0004553;GO:0005739;GO:0016020	Beta glucosidase 8;Beta-glucosidase 3 (AtBGLU3) (EC 3.2.1.21);Beta-glucosidase 8 (AtBGLU8) (EC 3.2.1.21);beta-glucosidase (EC 3.2.1.21)
Aa_G1000110.h2.t1	136	AT4G22100.1, AT3G62750.2	AT4G22100.1	other	GO:0005886;GO:0008422;GO:0005975;GO:0099503;GO:0005777;GO:0000325;GO:0004553;GO:0005739;GO:0016020	Beta glucosidase 8;Beta-glucosidase 3 (AtBGLU3) (EC 3.2.1.21);Beta-glucosidase 8 (AtBGLU8) (EC 3.2.1.21);beta-glucosidase (EC 3.2.1.21)
Aa_G100030.h1.t1	427	AT3G52780.1	AT3G52780.1	orthologue	GO:0005576;GO:0003993;GO:0016311;GO:0046872;GO:0016787	Probable purple acid phosphatase 20 (EC 3.1.3.2)
Aa_G1000330.h1.t1	197					
Aa_G100040.h1.t1	69	AT3G52770.1	AT3G52770.1	orthologue	GO:0140297;GO:0010075;GO:0010073;GO:0010358;GO:0009943;GO:0005515;GO:0005634;GO:0010305;GO:0043433	Protein LITTLE ZIPPER 3
Aa_G1000440.h1.t1	80				GO:0005515;GO:0005737;GO:0006996	
Aa_G1000440.h2.t1	80				GO:0005515;GO:0005737;GO:0006996	
Aa_G100050.h1.t1	254	AT3G52760.1	AT3G52760.1	orthologue	GO:0006888;GO:0005802;GO:0048280;GO:0009507;GO:0003674;GO:0000139;GO:0016020	Protein YIP
Aa_G100060.h1.t1	471	AT3G52750.1	AT3G52750.1	orthologue	GO:0009570;GO:0005525;GO:0005829;GO:0009507;GO:0009535;GO:0003924;GO:0009532;GO:0005515;GO:0009658;GO:0042802;GO:0009534;GO:0070938;GO:0010020;GO:0042651;GO:0005737;GO:0042803;GO:0048285	Cell division protein FtsZ homolog 2-2, chloroplastic (AtFtsZ2-2) (Plastid division protein FTSZ2-2);Tubulin/FtsZ family protein
Aa_G1000770.h1.t1	127					
Aa_G1001870.h1.t1	28					
