Orthogroup	Cardamine_hirsuta	Arabidopsis_lyrata_NCBI
OG0000000	CARHR219240, CARHR166210	XP_020887823.1
OG0000000	CARHR228880, CARHR142010	XP_020887909.1
OG0000000	CARHR153350	XP_020867739.1, XP_020872418.1, XP_020889487.1, XP_020890732.1
OG0000007	CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870	XP_020870157.1, XP_020870555.1
OG0000007	CARHR266890	XP_020882643.1
OG0000007	CARHR150730	XP_020871008.1
OG0000007	CARHR055800, CARHR216040, CARHR051840	XP_020866419.1
OG0000007	CARHR032440, CARHR057030	XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_002868379.2
OG0000008	CARHR293430	XP_020881833.1
OG0000008	CARHR118900	XP_020882276.1
OG0000008	CARHR161340	XP_020881885.1, XP_020881611.1
OG0000008	CARHR161350	XP_020881699.1, XP_020881700.1
OG0000008	CARHR103530	XP_020879836.1
OG0000008	CARHR118910, CARHR216990, CARHR111800	XP_020879665.1, XP_020882645.1, XP_020879646.1, XP_020872716.1, XP_020874196.1
OG0000009	CARHR034640, CARHR017910	XP_020889795.1
OG0000009	CARHR114650	XP_020881689.1
OG0000009	CARHR153540	XP_020867197.1
OG0000011	CARHR218510	XP_020881814.1, XP_020878850.1
OG0000011	CARHR259400	XP_020873638.1
OG0000015	CARHR110600	XP_020890755.1, XP_020889910.1
OG0000020	CARHR213120	XP_020877054.1, XP_020869021.1
OG0000022	CARHR234420	XP_020873422.1
OG0000022	CARHR196550	XP_020878202.1
OG0000022	CARHR048190	XP_020865991.1, XP_020890510.1, XP_020865986.1, XP_002886463.2, XP_020865982.1
OG0000022	CARHR051050, CARHR048810	XP_020889844.1
OG0000022	CARHR049170	XP_002886462.1
OG0000022	CARHR048480, CARHR048800	XP_020865844.1, XP_020890513.1
OG0000022	CARHR048440, CARHR047970	XP_020865810.1
OG0000022	CARHR049120	XP_020890773.1
OG0000022	CARHR013000	XP_020869509.1
OG0000022	CARHR046360	XP_020865918.1
OG0000022	CARHR046370	XP_020890021.1
OG0000022	CARHR213210	XP_002868609.1
OG0000022	CARHR091960	XP_002883021.2
OG0000024	CARHR031230, CARHR030890	XP_020866667.1
OG0000024	CARHR116780	XP_002891475.2
OG0000024	CARHR174240	XP_002890932.2, XP_002890929.1
OG0000024	CARHR113190	XP_020866613.1, XP_002893705.2, XP_002893704.2
OG0000024	CARHR031540	XP_002890926.2
OG0000024	CARHR062310	XP_020888987.1
OG0000024	CARHR167830	XP_002875716.2
OG0000024	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	XP_002893654.2
OG0000025	CARHR288360	XP_020877486.1, XP_020889652.1
OG0000026	CARHR104160	XP_020879791.1
OG0000027	CARHR255070	XP_020878445.1
OG0000027	CARHR255040	XP_002872592.1
OG0000027	CARHR255010, CARHR263990, CARHR255060, CARHR254990	XP_002872595.1
OG0000027	CARHR230510	XP_020873367.1
OG0000027	CARHR230500	XP_020873341.1
OG0000027	CARHR230400, CARHR230390	XP_020873352.1
OG0000027	CARHR254870	XP_020867640.1
OG0000027	CARHR254910, CARHR254920	XP_002872599.2
OG0000027	CARHR230300	XP_002867727.1
OG0000027	CARHR230440	XP_020873349.1
OG0000028	CARHR285330	XP_020874778.1
OG0000028	CARHR220000	XP_020871166.1
OG0000028	CARHR100780	XP_020886436.1
OG0000028	CARHR242640, CARHR242590	XP_020873863.1, XP_020875058.1, XP_020872452.1
OG0000028	CARHR030080	XP_020891737.1, XP_020891655.1
OG0000028	CARHR269260	XP_002864330.1
OG0000028	CARHR269250	XP_002864331.1
OG0000028	CARHR268630	XP_002864388.2, XP_020872014.1
OG0000028	CARHR267660	XP_020873006.1
OG0000028	CARHR242050	XP_020875061.1
OG0000028	CARHR267700	XP_020880460.1, XP_020880469.1, XP_020880478.1
OG0000029	CARHR056480, CARHR153130	XP_020888389.1
OG0000029	CARHR116610, CARHR153140	XP_020874443.1
OG0000030	CARHR025790	XP_002893415.1
OG0000030	CARHR162370	XP_002890504.1
OG0000030	CARHR158520, CARHR158510, CARHR158530	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000030	CARHR088860, CARHR095910, CARHR026350	XP_020888486.1
OG0000030	CARHR154640	XP_002877463.1
OG0000034	CARHR230270, CARHR230290	XP_002869784.2
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	XP_020873360.1
OG0000034	CARHR289950	XP_002867849.1
OG0000034	CARHR255000	XP_002872597.2
OG0000034	CARHR230320	XP_020873845.1
OG0000034	CARHR230230, CARHR230200	XP_020873356.1, XP_020873366.1
OG0000034	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650	XP_020872543.1
OG0000035	CARHR120350	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1
OG0000042	CARHR154720, CARHR116060, CARHR260310	XP_020876174.1
OG0000044	CARHR223510	XP_020880050.1, XP_020868157.1
OG0000044	CARHR175060	XP_002865185.1
OG0000044	CARHR175260	XP_020881042.1
OG0000044	CARHR116350	XP_020886914.1
OG0000044	CARHR195110	XP_002873864.1
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330	XP_020871374.1, XP_020877131.1
OG0000046	CARHR116100, CARHR183570, CARHR057390, CARHR107370	XP_020885942.1
OG0000046	CARHR159290	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1
OG0000046	CARHR150320	XP_020866165.1
