Orthogroup	Cardamine_glauca	Capsella_rubella
OG0000000	Cg004G132730	XP_023638874.1
OG0000000	Cg008G288880	XP_023644517.1
OG0000003	Cg006G209840	XP_023640321.1, XP_023639598.1, XP_023633718.1
OG0000003	Cg001G032840	XP_023640434.1, XP_023642103.1
OG0000004	Cg004G154080	XP_023632892.1, XP_023635799.1
OG0000004	Cg005G167340	XP_023644510.1
OG0000005	Cg008G308830	XP_006292284.1
OG0000005	Cg005G185830	XP_023634342.1
OG0000006	Cg008G312070	XP_023643663.1
OG0000007	Cg001G041960, Cg003G089200	XP_023633614.1
OG0000007	Cg003G086130	XP_023644256.1
OG0000008	Cg002G060890	XP_023638567.1
OG0000010	Cg006G205490	XP_023636068.1
OG0000013	Cg002G065810	XP_023644225.1
OG0000014	Cg008G312030	XP_023641911.1
OG0000014	Cg007G266660	XP_023636038.1
OG0000017	Cg004G142150	XP_023638100.1, XP_023644447.1, XP_023640322.1, XP_023633554.1, XP_006301549.2, XP_023644230.1, XP_023638121.1
OG0000018	Cg003G095700	XP_023637954.1
OG0000018	Cg006G204250, Cg003G087690, Cg003G087660	XP_023638098.1, XP_023633350.1
OG0000019	Cg008G308170	XP_023633028.1, XP_023638113.1, XP_023641372.1
OG0000021	Cg003G100100	XP_023641338.1
OG0000023	Cg001G017560	XP_006284983.1
OG0000023	Cg001G017610, Cg001G017600	XP_006283253.1
OG0000023	Cg003G082320	XP_006287218.1
OG0000023	Cg001G017750	XP_006285954.1
OG0000023	Cg001G017660	XP_023634702.1
OG0000025	Cg003G106740	XP_023634475.1
OG0000025	Cg001G005300	XP_006285133.1, XP_006292343.1, XP_006291347.1
OG0000026	Cg005G183380	XP_023636110.1
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	XP_023632988.1, XP_023644420.1, XP_023644421.1, XP_023632644.1, XP_023632643.1, XP_023644419.1
OG0000027	Cg001G041530	XP_023644529.1
OG0000027	Cg002G070600	XP_023633039.1
OG0000027	Cg006G215350, Cg006G215360	XP_023632980.1, XP_023632975.1, XP_023632970.1
OG0000028	Cg001G041970	XP_023636106.1, XP_023638859.1, XP_023644241.1, XP_023633373.1, XP_023638123.1, XP_023644257.1, XP_023644242.1, XP_023634002.1, XP_023638860.1, XP_023633615.1, XP_023641909.1
OG0000031	Cg007G247230, Cg007G246930	XP_006300875.1
OG0000031	Cg007G247710	XP_006302102.1
OG0000031	Cg001G042060	XP_023635463.1
OG0000031	Cg004G133170	XP_006297483.1
OG0000031	Cg007G245660	XP_023643559.1
OG0000033	Cg001G017700	XP_006283285.1
OG0000033	Cg001G017740, Cg001G017730	XP_023634692.1
OG0000033	Cg001G017780	XP_006283297.1, XP_006301684.1, XP_006285944.1, XP_023634693.1, XP_023634678.1
OG0000033	Cg001G019630	XP_023634856.1
OG0000033	Cg001G017580	XP_006283273.1, XP_006283145.1
OG0000033	Cg001G017790	XP_023635576.1
OG0000033	Cg003G079950, Cg003G094060	XP_006287210.1
OG0000034	Cg002G066600	XP_023635220.1
OG0000036	Cg008G323260	XP_023644496.1
OG0000036	Cg002G062800	XP_023640345.1, XP_023634265.1, XP_023640320.1, XP_023643584.1, XP_023640315.1, XP_023636058.1, XP_023644147.1, XP_023634034.1, XP_023644470.1
OG0000036	Cg005G182230, Cg005G181070	XP_023636060.1
