Orthogroup	Cardamine_amara	Arabidopsis_lyrata_NCBI
OG0000000	evm.model.RL_4.378, evm.model.RL_7.1948, evm.model.RL_6.512, evm.model.RL_3.844, evm.model.RL_4.736, evm.model.RL_8.405	XP_020889539.1
OG0000000	evm.model.RL_2.714	XP_020880754.1, XP_020873125.1, XP_020875043.1, XP_020881970.1, XP_020882759.1, XP_020871264.1, XP_020886308.1, XP_020866272.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020872490.1, XP_020869697.1
OG0000000	evm.model.RL_3.245	XP_020874412.1, XP_020871267.1, XP_020866323.1, XP_020887737.1
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	XP_020887182.1, XP_020890321.1, XP_020870326.1
OG0000000	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512	XP_020865758.1
OG0000003	evm.model.RL_8.1049	XP_020880760.1, XP_020877199.1
OG0000003	evm.model.RL_7.2059, evm.model.RL_6.676	XP_020874036.1
OG0000005	evm.model.RL_7.1952	XP_020882780.1
OG0000005	evm.model.RL_2.1105, evm.model.RL_1.1903	XP_020876055.1, XP_020877155.1
OG0000005	evm.model.RL_1.1086	XP_020887659.1
OG0000006	evm.model.RL_6.444	XP_020870555.1, XP_020870157.1
OG0000006	evm.model.RL_1.2522, evm.model.RL_2.3087, evm.model.RL_5.3322	XP_020871008.1
OG0000006	evm.model.RL_5.2330	XP_020866331.1, XP_020876409.1, XP_020879940.1, XP_020872053.1, XP_020872382.1, XP_020873755.1
OG0000007	evm.model.RL_2.1094	XP_020887823.1
OG0000007	evm.model.RL_4.2369	XP_020883444.1
OG0000008	evm.model.RL_7.1211	XP_020881885.1, XP_020881611.1
OG0000010	evm.model.RL_2.396	XP_020871369.1
OG0000012	evm.model.RL_4.165	XP_020866256.1
OG0000012	evm.model.RL_7.2040	XP_020872338.1, XP_020881433.1
OG0000012	evm.model.RL_5.2583	XP_020876901.1
OG0000012	evm.model.RL_2.748	XP_020871051.1
OG0000012	evm.model.RL_3.685	XP_020872339.1
OG0000015	evm.model.RL_4.1006	XP_020883676.1, XP_020890755.1, XP_020889910.1
OG0000015	evm.model.RL_4.1007	XP_020870556.1
OG0000017	evm.model.RL_7.1888	XP_020874114.1, XP_002883754.2, XP_020879010.1
OG0000017	evm.model.RL_7.1516	XP_020876951.1
OG0000018	evm.model.RL_4.1915	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000018	evm.model.RL_7.1872	XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1
OG0000019	evm.model.RL_7.2268	XP_020877201.1, XP_020872379.1, XP_020879405.1, XP_020871455.1
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444	XP_020881895.1
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	XP_020883515.1
OG0000023	evm.model.RL_2.1843	XP_020873367.1
OG0000023	evm.model.RL_2.1842	XP_020873341.1
OG0000023	evm.model.RL_8.636	XP_002872592.1
OG0000023	evm.model.RL_2.1840	XP_002872597.2
OG0000023	evm.model.RL_8.624	XP_002872599.2
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	XP_020873352.1
OG0000023	evm.model.RL_2.1825.3.687c86e4	XP_002867727.1
OG0000023	evm.model.RL_2.1841	XP_020877175.1
OG0000024	evm.model.RL_5.2480	XP_020874131.1
OG0000025	evm.model.RL_8.1541	XP_020877806.1
OG0000025	evm.model.RL_8.1529	XP_020877991.1
OG0000026	evm.model.RL_7.315	XP_020872549.1, XP_020881073.1, XP_020879655.1
OG0000027	evm.model.RL_5.2839	XP_002893654.2
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	XP_002875716.2
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	XP_020874317.1
OG0000028	evm.model.RL_4.1689	XP_020874443.1
OG0000029	evm.model.RL_8.656	XP_020889577.1
OG0000031	evm.model.RL_3.758	XP_020889844.1
OG0000031	evm.model.RL_3.205	XP_002886463.2, XP_020865982.1, XP_020865991.1, XP_020890510.1, XP_020865986.1
OG0000033	evm.model.RL_2.1828	XP_020873845.1
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846	XP_020872543.1
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	XP_020873356.1
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	XP_002877439.2
OG0000033	evm.model.RL_8.413	XP_002874837.2
OG0000034	evm.model.RL_5.2588	XP_020885105.1, XP_020886112.1, XP_020882566.1, XP_020882254.1, XP_020866182.1, XP_020889362.1, XP_020882345.1, XP_020871070.1, XP_020888104.1, XP_020879246.1, XP_020888557.1, XP_020890931.1, XP_020881628.1, XP_020878929.1, XP_020879276.1, XP_020876981.1, XP_020890967.1
OG0000034	evm.model.RL_2.4	XP_020891338.1
OG0000034	evm.model.RL_5.2586	XP_020876553.1
OG0000034	evm.model.RL_4.675	XP_020874940.1, XP_020874002.1, XP_020871360.1, XP_020866150.1, XP_020883547.1
OG0000034	evm.model.RL_7.2041	XP_020871959.1
OG0000036	evm.model.RL_5.2564	XP_020868066.1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	XP_020877514.1
OG0000037	evm.model.RL_1.2680	XP_020866728.1
OG0000037	evm.model.RL_5.891	XP_020870708.1
OG0000038	evm.model.RL_7.1446	XP_020880739.1
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	XP_020871436.1
OG0000039	evm.model.RL_3.1691	XP_020866750.1
OG0000042	evm.model.RL_3.4	XP_020890764.1, XP_020881671.1, XP_020891386.1
OG0000042	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047, evm.model.RL_7.1972	XP_020888726.1
OG0000042	evm.model.RL_6.2221	XP_020884682.1, XP_020887780.1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	XP_020866165.1, XP_020887727.1, XP_020874078.1, XP_020867102.1, XP_020877167.1, XP_020871406.1, XP_020876919.1, XP_002883785.1, XP_020880655.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020883604.1, XP_020876127.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226	XP_020885942.1
OG0000045	evm.model.RL_1.2734, evm.model.RL_2.587	XP_020890956.1, XP_020882438.1
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	XP_020870253.1
OG0000046	evm.model.RL_2.391	XP_020873883.1
OG0000046	evm.model.RL_2.1379	XP_020874378.1
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	XP_020872272.1, XP_020874589.1
OG0000046	evm.model.RL_3.1072	XP_020865819.1
OG0000046	evm.model.RL_3.1077	XP_020865823.1
OG0000046	evm.model.RL_2.393	XP_002868795.2
OG0000052	evm.model.RL_5.167	XP_020868191.1
OG0000052	evm.model.RL_8.2684	XP_020883312.1, XP_020890130.1
OG0000052	evm.model.RL_6.1412	XP_020884766.1, XP_020885237.1
OG0000052	evm.model.RL_8.803, evm.model.RL_8.802	XP_020883311.1
OG0000052	evm.model.RL_6.2368	XP_020883307.1
OG0000053	evm.model.RL_1.2655	XP_020870695.1, XP_020879890.1, XP_020878851.1, XP_020881512.1, XP_020875242.1, XP_020874679.1, XP_020866756.1, XP_020876759.1, XP_020886057.1
OG0000054	evm.model.RL_8.823, evm.model.RL_4.126	XP_020884558.1
OG0000055	evm.model.RL_3.282	XP_002886466.1, XP_020890707.1
OG0000055	evm.model.RL_3.285	XP_002886488.1
OG0000055	evm.model.RL_3.277	XP_020889965.1
OG0000056	evm.model.RL_2.634	XP_020891624.1
OG0000056	evm.model.RL_1.2423, evm.model.RL_1.2416	XP_020891370.1
OG0000057	evm.model.RL_4.2353	XP_020883674.1
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	XP_020866308.1, XP_020879729.1
OG0000062	evm.model.RL_1.3086, evm.model.RL_2.842	XP_020878083.1, XP_020872631.1, XP_020869681.1, XP_020881865.1, XP_020866201.1, XP_020866719.1, XP_020884659.1, XP_020880717.1, XP_020866590.1, XP_020866196.1
OG0000066	evm.model.RL_3.1975	XP_020891414.1, XP_020886001.1
OG0000066	evm.model.RL_5.1818	XP_020869687.1
OG0000066	evm.model.RL_8.2622	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1
OG0000067	evm.model.RL_7.2627	XP_020889441.1, XP_020889396.1
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9	XP_020871868.1, XP_002864221.1, XP_020868524.1, XP_020886482.1, XP_020877300.1, XP_002871038.2, XP_002883446.1, XP_002873094.1, XP_020879355.1, XP_020881372.1
OG0000069	evm.model.RL_4.1093	XP_020866212.1, XP_020881839.1
OG0000071	evm.model.RL_1.2437	XP_020871478.1
OG0000071	evm.model.RL_6.3	XP_020889746.1
OG0000072	evm.model.RL_3.925	XP_020866785.1
OG0000072	evm.model.RL_2.737	XP_020884945.1
OG0000072	evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082	XP_020877184.1
OG0000072	evm.model.RL_3.783	XP_020888645.1, XP_020871279.1, XP_020881978.1, XP_020885342.1, XP_020865755.1, XP_002877246.2, XP_020872649.1
OG0000073	evm.model.RL_4.629	XP_020880043.1, XP_020886914.1
OG0000073	evm.model.RL_4.151, evm.model.RL_4.156	XP_002865186.1, XP_020878609.1
OG0000073	evm.model.RL_6.501	XP_002863747.1, XP_002884747.1, XP_020890887.1
OG0000073	evm.model.RL_5.2720	XP_020877446.1
OG0000073	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175	XP_020879725.1
OG0000074	evm.model.RL_5.3415	XP_020869256.1
OG0000076	evm.model.RL_7.1484	XP_020882208.1
OG0000076	evm.model.RL_8.1070	XP_020881215.1
OG0000077	evm.model.RL_4.914, evm.model.RL_4.878	XP_020875017.1, XP_002863944.2
OG0000077	evm.model.RL_2.3382	XP_020874617.1
OG0000077	evm.model.RL_2.3381	XP_002868917.2
OG0000079	evm.model.RL_7.465	XP_020880494.1
OG0000079	evm.model.RL_2.379	XP_020875151.1
OG0000079	evm.model.RL_1.227, evm.model.RL_7.464	XP_020874195.1
OG0000080	evm.model.RL_2.499	XP_020874913.1
OG0000080	evm.model.RL_5.2173	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1
OG0000080	evm.model.RL_5.3416	XP_020870702.1
OG0000080	evm.model.RL_6.1107	XP_020885088.1
OG0000081	evm.model.RL_6.922	XP_020888855.1
OG0000081	evm.model.RL_4.293	XP_020890741.1
OG0000082	evm.model.RL_7.1932	XP_020883385.1, XP_020881708.1, XP_020869010.1
OG0000082	evm.model.RL_8.1557	XP_020875863.1, XP_020875624.1, XP_020887797.1
OG0000082	evm.model.RL_3.357	XP_020867402.1
OG0000082	evm.model.RL_3.1016	XP_020879679.1
OG0000083	evm.model.RL_1.2208	XP_020886764.1
OG0000084	evm.model.RL_6.376	XP_020884655.1
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	XP_002894696.1, XP_002862362.1, XP_002886750.1, XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886752.2, XP_002886746.1, XP_020891241.1, XP_002886744.1, XP_002862361.1, XP_002886749.1, XP_002886745.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002886748.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_002865487.1
OG0000087	evm.model.RL_4.1345	XP_020879374.1
OG0000087	evm.model.RL_6.1057	XP_020883550.1
OG0000087	evm.model.RL_7.1685	XP_020880680.1
OG0000087	evm.model.RL_4.2360	XP_002873559.1
OG0000087	evm.model.RL_6.1567	XP_002881356.1
OG0000087	evm.model.RL_4.428	XP_002863588.1
OG0000087	evm.model.RL_2.1599	XP_020872103.1
OG0000087	evm.model.RL_5.1831	XP_020866480.1
OG0000087	evm.model.RL_3.1990	XP_020890671.1
OG0000088	evm.model.RL_7.1629	XP_020881827.1, XP_002880903.1, XP_020880709.1, XP_020886823.1, XP_002875847.2, XP_020880186.1, XP_002875849.2, XP_002877545.1
OG0000088	evm.model.RL_8.1137	XP_002864053.1
OG0000089	evm.model.RL_4.2603	XP_020876820.1
OG0000089	evm.model.RL_1.1790.1.687c87ee	XP_020867828.1
OG0000089	evm.model.RL_6.2333	XP_002879966.1, XP_002879967.1, XP_002879968.1
OG0000089	evm.model.RL_1.1121	XP_020888275.1
OG0000090	evm.model.RL_5.1846	XP_002887052.2, XP_020885789.1, XP_002890373.1
OG0000090	evm.model.RL_4.706	XP_002863814.1
OG0000090	evm.model.RL_3.2006	XP_020891141.1
OG0000090	evm.model.RL_2.2972	XP_002867118.1
OG0000090	evm.model.RL_7.2545	XP_002875194.1, XP_002883942.1, XP_002875195.1
OG0000090	evm.model.RL_5.885	XP_020867590.1
OG0000093	evm.model.RL_7.523	XP_020880586.1
OG0000093	evm.model.RL_7.532	XP_020880581.1
OG0000096	evm.model.RL_3.612	XP_020891276.1
OG0000096	evm.model.RL_7.2533	XP_020881188.1, XP_020881582.1
OG0000096	evm.model.RL_3.627	XP_002894680.1
OG0000096	evm.model.RL_4.362	XP_020884560.1
OG0000096	evm.model.RL_4.323	XP_020869035.1
OG0000097	evm.model.RL_8.394	XP_002874842.1
OG0000097	evm.model.RL_8.388	XP_020876465.1
OG0000097	evm.model.RL_8.395	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1
OG0000098	evm.model.RL_3.229	XP_020891049.1, XP_020888466.1, XP_020891221.1
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	XP_002874589.2, XP_002886370.2, XP_020891031.1, XP_020887787.1
OG0000101	evm.model.RL_3.344	XP_020891540.1
OG0000101	evm.model.RL_3.664	XP_020867629.1
OG0000104	evm.model.RL_6.1001	XP_020883008.1
OG0000104	evm.model.RL_5.2109	XP_020866497.1
OG0000104	evm.model.RL_1.2055	XP_020886058.1
OG0000104	evm.model.RL_8.1054	XP_020870266.1
OG0000104	evm.model.RL_1.2425	XP_020870262.1
OG0000105	evm.model.RL_6.453	XP_020866184.1
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020886742.1, XP_002883180.1, XP_002884070.2
OG0000107	evm.model.RL_1.1928	XP_020887918.1, XP_020887923.1
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021	XP_020888430.1
OG0000107	evm.model.RL_1.1929	XP_020886789.1
OG0000108	evm.model.RL_4.1209	XP_020876145.1
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	XP_002893476.1, XP_020869068.1
OG0000108	evm.model.RL_3.231	XP_020865728.1
OG0000109	evm.model.RL_1.2753, evm.model.RL_6.342	XP_020866042.1
OG0000110	evm.model.RL_7.771	XP_020882191.1
OG0000110	evm.model.RL_7.1925	XP_020880511.1
OG0000110	evm.model.RL_7.432	XP_020879609.1
OG0000112	evm.model.RL_8.2167	XP_002878578.1, XP_002884106.1, XP_002879068.2, XP_002864712.1
OG0000113	evm.model.RL_4.610, evm.model.RL_4.608	XP_020875322.1
OG0000114	evm.model.RL_4.611	XP_020879441.1, XP_020875295.1, XP_002863119.2
OG0000114	evm.model.RL_1.339	XP_020887020.1
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	XP_002892325.1
OG0000116	evm.model.RL_5.1553	XP_020882165.1, XP_020881105.1, XP_020872551.1, XP_020877744.1
OG0000117	evm.model.RL_8.488	XP_020876480.1
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	XP_002876201.1
OG0000119	evm.model.RL_5.2397	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	XP_002888121.2, XP_002886576.1
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	XP_020879779.1, XP_020879307.1
OG0000122	evm.model.RL_8.1715	XP_020871558.1
OG0000122	evm.model.RL_5.2721	XP_002864448.2
OG0000122	evm.model.RL_8.1714	XP_020871241.1
OG0000123	evm.model.RL_5.1211	XP_002877382.2
OG0000125	evm.model.RL_4.3281	XP_020887259.1, XP_002873061.1
OG0000125	evm.model.RL_4.1435	XP_002874101.1
OG0000125	evm.model.RL_5.630	XP_020868538.1
OG0000125	evm.model.RL_8.2069	XP_002864658.2, XP_020872447.1
OG0000125	evm.model.RL_7.1764, evm.model.RL_7.1769	XP_002877451.1
OG0000125	evm.model.RL_6.979	XP_002879182.1
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	XP_020871150.1
OG0000127	evm.model.RL_1.823	XP_020888462.1
OG0000127	evm.model.RL_4.3346	XP_020878838.1
OG0000127	evm.model.RL_4.3343	XP_002873028.1
OG0000127	evm.model.RL_1.822	XP_020888516.1, XP_020875867.1
OG0000128	evm.model.RL_3.715	XP_020878880.1
OG0000128	evm.model.RL_4.1217	XP_020865764.1
OG0000128	evm.model.RL_5.2370	XP_020866238.1
OG0000130	evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707	XP_020877517.1
OG0000132	evm.model.RL_8.1179	XP_002893409.1
OG0000132	evm.model.RL_6.1268, evm.model.RL_7.2086	XP_020887015.1
OG0000135	evm.model.RL_5.2242	XP_020874182.1
OG0000136	evm.model.RL_3.1028	XP_020889890.1, XP_020889891.1, XP_020865653.1
OG0000136	evm.model.RL_2.429	XP_002868825.1
OG0000137	evm.model.RL_7.1543	XP_020865972.1
OG0000137	evm.model.RL_2.50	XP_020875630.1
OG0000140	evm.model.RL_7.1690	XP_002875806.1, XP_002875805.1
OG0000140	evm.model.RL_8.2003	XP_002863036.1, XP_020869408.1
OG0000140	evm.model.RL_7.1796	XP_002864615.1
OG0000142	evm.model.RL_6.1033, evm.model.RL_6.1034	XP_020885473.1, XP_020885474.1
OG0000144	evm.model.RL_8.1451	XP_020877678.1, XP_020872445.1, XP_020875855.1, XP_020889856.1, XP_020885594.1, XP_020870692.1
OG0000147	evm.model.RL_2.2536	XP_020872380.1
OG0000147	evm.model.RL_8.1812	XP_020870964.1
OG0000147	evm.model.RL_3.2406	XP_020890865.1
OG0000147	evm.model.RL_1.2583	XP_020889051.1
OG0000147	evm.model.RL_6.348	XP_020885195.1
OG0000149	evm.model.RL_7.1738	XP_002875779.1
OG0000149	evm.model.RL_7.1737	XP_002875778.1
OG0000149	evm.model.RL_7.1739	XP_002877482.1
OG0000150	evm.model.RL_8.2095	XP_020886449.1
OG0000150	evm.model.RL_7.1807	XP_002875622.2, XP_020876007.1, XP_020881834.1, XP_020881748.1
OG0000150	evm.model.RL_7.1810	XP_020881724.1
OG0000151	evm.model.RL_8.1422	XP_002865968.1
OG0000151	evm.model.RL_2.2307	XP_002867477.1
OG0000151	evm.model.RL_1.777	XP_020888570.1
OG0000151	evm.model.RL_1.2853	XP_020888018.1
OG0000151	evm.model.RL_8.1691	XP_020891046.1
OG0000151	evm.model.RL_3.61	XP_020874812.1, XP_002887912.1
OG0000152	evm.model.RL_7.117, evm.model.RL_2.778, evm.model.RL_2.919, evm.model.RL_5.2414, evm.model.RL_4.661, evm.model.RL_4.735, evm.model.RL_6.581, evm.model.RL_1.2711, evm.model.RL_2.713, evm.model.RL_2.777, evm.model.RL_6.572, evm.model.RL_8.1671, evm.model.RL_6.2907, evm.model.RL_4.1821, evm.model.RL_6.815, evm.model.RL_7.1603	XP_020891448.1
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	XP_020867554.1
OG0000154	evm.model.RL_1.853	XP_002884737.1
OG0000154	evm.model.RL_2.489	XP_002873055.1
OG0000155	evm.model.RL_2.2243	XP_020873274.1
OG0000155	evm.model.RL_3.1179	XP_020882926.1
OG0000156	evm.model.RL_4.1065	XP_002882021.1
OG0000156	evm.model.RL_6.2692	XP_002882020.2
OG0000157	evm.model.RL_5.213	XP_002888470.1, XP_020891300.1, XP_020877537.1
OG0000158	evm.model.RL_2.3209, evm.model.RL_2.3204, evm.model.RL_2.3199	XP_002869017.2
OG0000158	evm.model.RL_2.2746	XP_020872404.1
OG0000158	evm.model.RL_6.58	XP_020883421.1
OG0000161	evm.model.RL_3.891	XP_020890883.1
OG0000161	evm.model.RL_3.896	XP_020890886.1
OG0000162	evm.model.RL_4.640, evm.model.RL_2.640	XP_020884667.1
OG0000162	evm.model.RL_3.1091	XP_020865963.1
OG0000162	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	XP_020891301.1
OG0000162	evm.model.RL_6.2628	XP_020884580.1
OG0000167	evm.model.RL_2.1517	XP_020872090.1
OG0000167	evm.model.RL_2.1515	XP_020875194.1, XP_020875186.1
OG0000167	evm.model.RL_2.1514	XP_002869981.2
OG0000167	evm.model.RL_2.1516	XP_020865995.1, XP_020875268.1
OG0000169	evm.model.RL_3.1834, evm.model.RL_3.1135.1.687c84bb	XP_020865593.1
OG0000169	evm.model.RL_3.574	XP_020890783.1
OG0000171	evm.model.RL_3.1439	XP_020890687.1, XP_020870037.1
OG0000171	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461	XP_002892585.1
OG0000171	evm.model.RL_4.2162.1.687c86d7	XP_002871626.1
OG0000172	evm.model.RL_7.119	XP_020880319.1
OG0000172	evm.model.RL_3.406, evm.model.RL_3.423	XP_020880953.1, XP_020865702.1
OG0000172	evm.model.RL_7.1680, evm.model.RL_7.1683	XP_020881910.1, XP_020880545.1
OG0000173	evm.model.RL_5.288	XP_020879516.1
OG0000175	evm.model.RL_7.1254	XP_002876081.1
OG0000175	evm.model.RL_3.1995	XP_002887616.1
OG0000175	evm.model.RL_5.1839	XP_020870471.1
OG0000175	evm.model.RL_2.3025	XP_002869113.1
OG0000175	evm.model.RL_1.2964	XP_020885855.1
OG0000175	evm.model.RL_2.3122	XP_020873047.1
OG0000176	evm.model.RL_5.2856	XP_020866682.1
OG0000180	evm.model.RL_4.643	XP_020887402.1
OG0000183	evm.model.RL_3.1014	XP_020887742.1
OG0000185	evm.model.RL_5.3641, evm.model.RL_3.292	XP_020890721.1
OG0000186	evm.model.RL_5.2354, evm.model.RL_8.2135	XP_020885553.1
OG0000187	evm.model.RL_1.1017	XP_020888292.1
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	XP_002874799.1
OG0000190	evm.model.RL_8.473	XP_002872696.1
OG0000190	evm.model.RL_8.474.1.687c8557	XP_020877648.1
OG0000190	evm.model.RL_8.916	XP_002893865.1
OG0000191	evm.model.RL_1.1587	XP_002885155.2
OG0000192	evm.model.RL_5.3624	XP_020869473.1
OG0000192	evm.model.RL_3.2103	XP_020869475.1
OG0000195	evm.model.RL_6.761	XP_002879035.1
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	XP_002879909.1
OG0000195	evm.model.RL_2.437, evm.model.RL_3.1018	XP_002870564.1, XP_002888498.1
OG0000195	evm.model.RL_4.1537, evm.model.RL_7.1974	XP_020880310.1
OG0000196	evm.model.RL_5.2252	XP_020870365.1, XP_020870362.1
OG0000196	evm.model.RL_4.2554	XP_020867608.1
OG0000196	evm.model.RL_1.1858	XP_020870363.1
OG0000197	evm.model.RL_8.487	XP_020875545.1, XP_020880727.1
OG0000197	evm.model.RL_2.70	XP_020872035.1
OG0000197	evm.model.RL_2.911	XP_020873116.1, XP_020880783.1, XP_020880728.1, XP_020874450.1, XP_002870649.2, XP_020887839.1, XP_020873037.1, XP_020875518.1, XP_020874171.1, XP_020873172.1, XP_020873179.1
OG0000200	evm.model.RL_5.455	XP_002889578.1
OG0000200	evm.model.RL_1.2415, evm.model.RL_1.2410	XP_002883538.1, XP_002883579.1, XP_020887089.1
OG0000203	evm.model.RL_1.381	XP_002882369.2, XP_002882368.1
