Orthogroup	Eutrema_salsugineum	Conringia_planisiliqua
OG0000000	XP_024014264.1, XP_024013215.1, XP_024004991.1	CP21_g10514_DN2_SP0_c.t1, CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1
OG0000000	XP_024011347.1	CP27_g41817_DN2_SP0_c.t1
OG0000000	XP_024006398.1	CP36_g50963_DN2_SP0_c.t1
OG0000000	XP_024014707.1	CP2_g49699_DN2_SP0_c.t1
OG0000000	XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024014000.1, XP_024010207.1	CP15_g34707_DN2_SP0_c.t1
OG0000002	XP_024016294.1	CP13_g20669_DN2_SP0_c.t1
OG0000002	XP_024010911.1, XP_024010912.1	CP3_g16175_DN3_SP0_c.t1
OG0000003	XP_024005010.1	CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000003	XP_024006452.1	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1
OG0000003	XP_024009427.1	CP3_g15821_DN1_SP0_c.t1
OG0000003	XP_024004072.1	CP5_g1517_DN2_SP0_c.t1
OG0000003	XP_024004813.1, XP_024004020.1	CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1
OG0000003	XP_024007280.1, XP_024009246.1	CP15_g36037_DN2_SP0_c.t1
OG0000003	XP_024010659.1, XP_024010914.1	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1
OG0000003	XP_024016317.1	CP26_g51160_DN1_SP0_c.t1
OG0000003	XP_024013151.1	CP14_g22797_DN2_SP0_c.t1
OG0000003	XP_024003873.1	CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1
OG0000003	XP_024004974.1	CP5_g1881_DN3_SP0_c.t1
OG0000003	XP_024009942.1	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1
OG0000003	XP_024011300.1	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1
OG0000003	XP_024014231.1	CP26_g51324_DN2_SP0_c.t1, CP12_g31419_DN1_SP0_c.t1, CP13_g20626_DN1_SP0_c.t1, CP14_g22798_DN1_SP0_c.t1
OG0000003	XP_024007996.1	CP13_g20572_DN1_SP0_c.t1
OG0000003	XP_024013347.1	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000003	XP_024004985.1	CP21_g11065_DN2_SP0_c.t1
OG0000003	XP_024004030.1	CP24_g47341_DN1_SP0_c.t1, CP18_g12232_DN3_SP0_c.t1
OG0000004	XP_024007302.1	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000007	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1, XP_024011309.1	CP8_g52162_DN2_SP0_c.t1
OG0000008	XP_024004796.1, XP_024004794.1, XP_024014490.1	CP15_g34920_DN2_SP0_c.t1
OG0000008	XP_024015912.1	CP27_g41699_DN2_SP0_c.t1
OG0000008	XP_024004048.1	CP8_g52854_DN2_SP0_c.t1
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	CP14_g23480_DN3_SP0_c.t1
OG0000009	XP_024009307.1	CP29_g21990_DN1_SP0_c.t1
OG0000009	XP_024013918.1, XP_024007904.1	CP3_g16492_DN1_SP0_c.t1
OG0000009	XP_024004860.1, XP_024010394.1	CP4_g26233_DN2_SP0_c.t1, CP3_g15237_DN1_SP0_c.t1
OG0000009	XP_006404467.1, XP_024014738.1, XP_024010667.1, XP_024015832.1, XP_024006416.1	CP8_g52568_DN1_SP0_c.t1
OG0000011	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1	CP18_g11548_DN1_SP0_c.t1
OG0000011	XP_024007764.1	CP2_g50477_DN1_SP0_c.t1, CP26_g51198_DN2_SP0_c.t1, CP6_g8727_DN1_SP0_c.t1, CP12_g31720_DN3_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1, CP18_g11618_DN2_SP0_c.t1
OG0000011	XP_024004159.1, XP_024015297.1	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1
OG0000011	XP_024004160.1	CP3_g16065_DN2_SP0_c.t1, CP3_g16755_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1
OG0000011	XP_024013228.1	CP15_g35899_DN2_SP0_c.t1
OG0000011	XP_024016750.1	CP8_g52577_DN3_SP0_c.t1, CP14_g23599_DN3_SP0_c.t1
OG0000015	XP_024006143.1	CP12_g31767_DN3_SP0_c.t1
OG0000015	XP_024014590.1, XP_024006904.1	CP3_g15512_DN1_SP0_c.t1
OG0000015	XP_024013064.1	CP26_g51311_DN3_SP0_c.t1, CP4_g26055_DN1_SP0_c.t1, CP15_g34881_DN2_SP0_c.t1, CP7_g44360_DN2_SP0_c.t1, CP1_g38946_DN3_SP0_c.t1, CP15_g34909_DN3_SP0_c.t1
OG0000016	XP_024011334.1, XP_024013809.1	CP24_g47422_DN2_SP0_c.t1
OG0000020	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1
OG0000020	XP_024014745.1	CP28_g33976_DN2_SP0_c.t1
OG0000021	XP_024013384.1, XP_024008232.1	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000022	XP_006391829.2	CP2_g49169_DN2_SP0_c.t1
OG0000023	XP_024013410.1, XP_024013199.1, XP_024013230.1, XP_024004018.1, XP_024010417.1, XP_024010406.1, XP_024014356.1, XP_024014465.1, XP_024009473.1, XP_024004033.1, XP_024005031.1, XP_024016113.1, XP_024007959.1, XP_024005009.1, XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1, XP_024006560.1, XP_024009593.1, XP_024011315.1, XP_024016362.1, XP_024013416.1, XP_024015863.1, XP_024015862.1, XP_024013159.1, XP_024010078.1, XP_024016374.1, XP_024009936.1, XP_024006513.1, XP_024016167.1	CP35_g52033_DN3_SP0_c.t1
OG0000024	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2	CP2_g48829_DN3_SP0_c.t1
OG0000024	XP_006415371.1, XP_024007955.1, XP_024010028.1, XP_006415204.1, XP_024009297.1, XP_006415203.1, XP_006415205.2, XP_024007920.1	CP7_g44485_DN2_SP0_c.t1
OG0000024	XP_024006555.1	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000024	XP_006402766.1	CP3_g13494_DN2_SP0_c.t1
OG0000029	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1
OG0000029	XP_024013054.1, XP_024013055.1, XP_024004809.1	CP1_g39690_DN3_SP0_c.t1
OG0000029	XP_024004858.1	CP4_g26313_DN1_SP0_c.t1, CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1
OG0000029	XP_024016120.1	CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1
OG0000029	XP_024007219.1, XP_024004754.1, XP_024004102.1	CP4_g26295_DN2_SP0_c.t1
