Orthogroup	Cardamine_hirsuta	Brassica_napus
OG0000004	CARHR214930	XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2
OG0000005	CARHR034640, CARHR017910	XP_048591448.1
OG0000005	CARHR145720	XP_013713475.1, XP_013658836.1
OG0000005	CARHR160220	XP_013699684.2
OG0000005	CARHR248000	XP_048613553.1
OG0000006	CARHR180980, CARHR287750	XP_048622592.1
OG0000006	CARHR216870, CARHR256390, CARHR115290, CARHR262640	XP_048609003.1
OG0000006	CARHR216040	XP_013747307.1
OG0000006	CARHR052510, CARHR150730	XP_048603704.1, XP_048596481.1
OG0000006	CARHR055190, CARHR182530	XP_048601765.1
OG0000006	CARHR258710	XP_048620254.1
OG0000006	CARHR096020	XP_048615096.1, XP_048603562.1
OG0000006	CARHR060230	XP_048600215.1
OG0000006	CARHR051850	XP_022576063.2
OG0000006	CARHR152010	XP_048593351.1
OG0000006	CARHR257960, CARHR154010	XP_048633298.1
OG0000006	CARHR128850, CARHR262650, CARHR183200, CARHR214540	XP_048606381.1
OG0000007	CARHR034550	XP_013700020.1, XP_048635088.1
OG0000008	CARHR114970, CARHR117380, CARHR149870	XP_048605305.1
OG0000008	CARHR159360	XP_022547630.2
OG0000008	CARHR293430	XP_022560005.2, XP_048596270.1, XP_048614935.1, XP_048613237.1
OG0000008	CARHR150550	XP_048605325.1
OG0000008	CARHR056560	XP_048619150.1, XP_048619082.1, XP_022565564.1
OG0000008	CARHR103540	XP_048606775.1, XP_048634035.1, XP_048605571.1, XP_048616724.1, XP_048607397.1, XP_048606349.1, XP_013668737.2, XP_048592900.1, XP_048615136.1, XP_048628393.1, XP_048604232.1
OG0000008	CARHR259120	XP_048605748.1, XP_048594969.1, XP_048622433.1
OG0000008	CARHR103530	XP_048616725.1, XP_048606607.1
OG0000008	CARHR115010	XP_048606670.1, XP_048614737.1, XP_048612049.1, XP_048620060.1, XP_013751877.2, XP_048603863.1, XP_048623691.1, XP_048626080.1, XP_048604782.1, XP_048622536.1, XP_048631227.1, XP_048602312.1, XP_048615107.1, XP_048625201.1, XP_048628471.1, XP_048637540.1, XP_022567851.2
OG0000008	CARHR215020, CARHR181140, CARHR034850	XP_048615493.1, XP_048619151.1, XP_022565888.1, XP_048619083.1
OG0000008	CARHR161300, CARHR161310, CARHR161290	XP_048597022.1, XP_013658616.2
OG0000008	CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860	XP_048627537.1
OG0000011	CARHR055810	XP_022557390.1
OG0000011	CARHR130420	XP_013668563.1, XP_048611795.1, XP_048613988.1, XP_048604660.1, XP_048612142.1, XP_048615068.1, XP_048604154.1, XP_048623923.1, XP_022551178.1, XP_048605490.1, XP_048607127.1, XP_048620540.1, XP_048605592.1, XP_048624406.1, XP_048615315.1, XP_013739652.1, XP_013697297.1, XP_013752157.1, XP_048606534.1, XP_013729917.3, XP_013651057.2, XP_013699609.2, XP_048624972.1, XP_013689590.2, XP_048625258.1, XP_048618052.1, XP_048617631.1, XP_013751784.1, XP_013645429.2, XP_048616619.1, XP_048602222.1, XP_048600267.1, XP_048609749.1, XP_048624236.1
OG0000011	CARHR032700	XP_048611431.1, XP_013674395.2
OG0000013	CARHR259710, CARHR057870, CARHR288340	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2
OG0000013	CARHR116230, CARHR285000	XP_048605032.1, XP_048604687.1, XP_048605139.1, XP_048605122.1, XP_048617118.1, XP_048609588.1, XP_013694773.1
OG0000015	CARHR258200	XP_048627782.1, XP_048595751.1, XP_048607541.1
OG0000015	CARHR055900	XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1
OG0000015	CARHR110600	XP_048595749.1
OG0000017	CARHR213120	XP_048615612.1, XP_048610757.1, XP_022559532.2
OG0000017	CARHR049310, CARHR034150	XP_048603682.1, XP_048613364.1, XP_048637487.1, XP_048604833.1, XP_048623309.1, XP_048616263.1, XP_048622348.1, XP_022556500.2, XP_048605067.1, XP_013673983.1, XP_048611629.1
OG0000019	CARHR218510	XP_013673926.1, XP_022551193.1
OG0000019	CARHR259400	XP_048621485.1
OG0000020	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870	XP_013694335.2
OG0000020	CARHR159330, CARHR114460, CARHR266440, CARHR182600, CARHR106310, CARHR116050	XP_048615648.1
OG0000020	CARHR217640, CARHR108030	XP_048605650.1
OG0000023	CARHR057450	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1
OG0000023	CARHR230660	XP_048601630.1, XP_048597054.1, XP_048601629.1, XP_013737521.2, XP_048601631.1
OG0000023	CARHR230630	XP_013694303.1
OG0000023	CARHR230470, CARHR230480, CARHR230450	XP_013661254.1, XP_013737516.2
OG0000023	CARHR230460	XP_048619015.1
OG0000023	CARHR230510	XP_048633858.1
OG0000023	CARHR230500	XP_013694257.1, XP_013737657.1, XP_048612374.1
OG0000023	CARHR255010	XP_048605400.1
OG0000023	CARHR255050	XP_022558747.1
OG0000023	CARHR255080, CARHR264010	XP_013735533.1, XP_013684115.2
OG0000023	CARHR255040	XP_048625802.1, XP_048632003.1
OG0000023	CARHR254960, CARHR254930	XP_048605875.1, XP_022573115.2
OG0000023	CARHR254870	XP_013718560.2
OG0000023	CARHR254920, CARHR254910, CARHR254880	XP_013718638.2
OG0000023	CARHR230390, CARHR230400	XP_022572340.2, XP_048632570.1, XP_013690743.1
OG0000023	CARHR230300	XP_013710801.1, XP_013717353.1
OG0000023	CARHR230640	XP_013694329.2
OG0000023	CARHR230580, CARHR254990	XP_048605876.1
OG0000023	CARHR230440	XP_013741339.2
OG0000025	CARHR100770, CARHR248330, CARHR028790	XP_048603142.1
OG0000025	CARHR104940, CARHR242960	XP_048637460.1, XP_048596622.1, XP_048637461.1, XP_022561441.2, XP_013705737.2, XP_048594642.1, XP_013713555.1, XP_013665745.2
OG0000025	CARHR267660, CARHR267520	XP_048604678.1, XP_048603144.1, XP_013714776.2, XP_013674735.2
OG0000025	CARHR242590, CARHR242640, CARHR030090, CARHR030060	XP_048607423.1, XP_048607435.1, XP_013655489.2, XP_022571152.1, XP_048626769.1, XP_048626770.1, XP_013693915.2, XP_048606182.1, XP_048624533.1, XP_022554086.2, XP_048607422.1, XP_013670188.1, XP_022554085.2, XP_048607429.1
OG0000025	CARHR267840	XP_022548711.2
OG0000025	CARHR267700	XP_048607496.1, XP_013704762.2
OG0000025	CARHR203510	XP_013690637.1
OG0000025	CARHR244240	XP_022546346.2, XP_048630650.1, XP_013674435.1, XP_048627723.1, XP_013674438.1, XP_022563912.2
OG0000027	CARHR112760	XP_013746916.2, XP_013669867.2
OG0000027	CARHR045190	XP_022567836.1, XP_022546469.2
OG0000027	CARHR030410, CARHR030440, CARHR030470	XP_048595041.1
OG0000027	CARHR062310	XP_022575972.2, XP_048609431.1, XP_048636470.1
OG0000027	CARHR168020, CARHR167830	XP_013663491.2, XP_013663656.1
OG0000028	CARHR153130, CARHR056480	XP_013665034.1
OG0000028	CARHR116610, CARHR153140	XP_013665035.2, XP_048613429.1, XP_013709292.1, XP_048622652.1
OG0000029	CARHR176810	XP_048615827.1
OG0000029	CARHR154270	XP_013655251.2, XP_013679244.2
OG0000029	CARHR287350	XP_048624916.1, XP_048604271.1
OG0000029	CARHR099970, CARHR006250, CARHR183060	XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1
OG0000029	CARHR213600	XP_048593383.1
OG0000030	CARHR181500	XP_013673703.1
OG0000030	CARHR258550, CARHR116060	XP_013678830.1
OG0000031	CARHR048810, CARHR051050, CARHR049170	XP_013733295.2, XP_013664368.1
OG0000031	CARHR013000	XP_013708901.1, XP_022547209.2
OG0000031	CARHR012910	XP_013712408.2
OG0000031	CARHR048220	XP_013653843.2, XP_013661513.2
OG0000031	CARHR196550	XP_013728454.1, XP_013667568.2
OG0000031	CARHR213210	XP_013731595.1, XP_013743363.2
OG0000031	CARHR091960	XP_048602151.1, XP_048594826.1
OG0000031	CARHR234420	XP_013742432.1, XP_013741893.2
OG0000031	CARHR049120	XP_013664370.2, XP_048595644.1
OG0000031	CARHR046360, CARHR046370	XP_013716382.2
OG0000032	CARHR257880	XP_013673963.2, XP_048604886.1, XP_048623808.1, XP_048605001.1, XP_048605635.1, XP_048605059.1, XP_013658348.1, XP_013689883.2, XP_048611576.1, XP_013659958.1, XP_013679015.2, XP_048619995.1, XP_048619996.1, XP_048605078.1, XP_048605690.1, XP_013669046.1, XP_013738775.1, XP_013727502.2, XP_048604963.1, XP_013654241.2, XP_013690096.1, XP_048598071.1, XP_013727509.2, XP_013673638.2, XP_013713362.2, XP_048611594.1, XP_048605714.1, XP_022557518.2, XP_048623908.1, XP_022567665.2, XP_013673844.2, XP_013717718.2, XP_013665240.2, XP_013751474.2, XP_013654495.2, XP_013662945.2, XP_048622756.1, XP_022558240.2, XP_048623903.1, XP_048605618.1, XP_048613309.1, XP_048613371.1, XP_013665241.2, XP_013690150.1, XP_013673343.2, XP_013673339.2, XP_013673341.1, XP_048613422.1, XP_048604975.1, XP_048611622.1, XP_013665277.1, XP_013663883.1, XP_022565137.1, XP_048635026.1, XP_048605667.1, XP_048605614.1, XP_013669028.2, XP_013668976.1, XP_048599799.1, XP_048623918.1, XP_013654493.2, XP_048623901.1, XP_013645657.1, XP_013708987.2, XP_013665268.2, XP_048626829.1, XP_048630590.1, XP_048630611.1, XP_013726205.2, XP_013708892.1, XP_048599785.1, XP_048623905.1, XP_048605651.1, XP_048622669.1, XP_013689091.1, XP_013651086.2, XP_013651083.1, XP_048605642.1, XP_048630802.1, XP_048605656.1, XP_048599756.1, XP_013751673.1, XP_022552264.1, XP_013673342.2, XP_022557382.2
OG0000033	CARHR230270, CARHR230290	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1
