Orthogroup	Odontarrhena_muralis	Arabidopsis_lyrata_NCBI
OG0000000	Om005G215690, Om007G308190	XP_020886399.1, XP_020874109.1, XP_020881080.1
OG0000000	Om007G308180, Om008G324080, Om005G218420	XP_020878681.1
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	XP_020886397.1, XP_020866436.1, XP_020870151.1, XP_020870162.1
OG0000003	Om007G276690	XP_020866342.1, XP_020871957.1, XP_020887113.1, XP_020877193.1, XP_020866154.1, XP_020872641.1, XP_020872381.1, XP_020877200.1
OG0000003	Om005G217790	XP_020874036.1
OG0000004	Om003G099290	XP_020872418.1, XP_020867739.1
OG0000005	Om002G083130	XP_020889795.1
OG0000005	Om001G028590, Om007G295980	XP_020882780.1
OG0000005	Om005G208940, Om003G112550, Om003G097810, Om006G275350, Om004G141520, Om007G300990, Om008G339980, Om005G212800, Om006G268170, Om002G071580, Om007G299590, Om007G289620, Om006G258880, Om005G188370, Om004G177200, Om002G082890, Om008G348310, Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510	XP_020876055.1, XP_020877155.1
OG0000005	Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060	XP_020887659.1
OG0000005	Om007G307980	XP_020885673.1
OG0000006	Om005G227740	XP_020880934.1
OG0000007	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480	XP_020887823.1
OG0000007	Om003G110160, Om007G308670, Om005G224350, Om003G091350	XP_020885936.1
OG0000007	Om006G248820, Om006G248770	XP_020869115.1, XP_020890704.1
OG0000008	Om009G364060	XP_020867861.1, XP_020876690.1
OG0000008	Om001G020680	XP_020881734.1, XP_020879664.1, XP_020882642.1, XP_020882276.1
OG0000012	Om004G146180	XP_020866256.1
OG0000012	Om003G105480	XP_020870611.1
OG0000012	Om005G215090	XP_020888454.1
OG0000012	Om002G076390	XP_020875418.1, XP_020880599.1, XP_020888103.1
OG0000012	Om003G106630	XP_020875036.1
OG0000012	Om004G153330, Om018G374000	XP_020874097.1
OG0000012	Om008G342970	XP_020874042.1
OG0000015	Om003G105790, Om004G154560	XP_020865814.1
OG0000015	Om002G088840	XP_020870556.1
OG0000017	Om003G112310	XP_020874114.1, XP_002883754.2, XP_020879010.1
OG0000017	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900	XP_020879892.1, XP_020879506.1, XP_020887777.1
OG0000017	Om003G101880, Om004G153720	XP_020876951.1
OG0000018	Om008G335480, Om007G284460, Om008G361630	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1, XP_020879645.1, XP_020874922.1, XP_020872717.1, XP_020872563.1, XP_020870832.1, XP_020867207.1, XP_020876809.1, XP_020889705.1, XP_020882641.1, XP_020889912.1, XP_020876177.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872555.1, XP_020886835.1, XP_020871456.1, XP_020872277.1, XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1, XP_020887591.1, XP_020879721.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1
OG0000019	Om006G268990	XP_020881858.1
OG0000021	Om005G226540, Om001G020790	XP_020881895.1
OG0000021	Om007G291430, Om002G057270	XP_020889841.1
OG0000021	Om001G020780, Om001G006810, Om002G059070	XP_020883515.1
OG0000023	Om001G010360, Om001G009290	XP_020878447.1, XP_020878438.1, XP_020873367.1, XP_020873341.1
OG0000023	Om008G351580	XP_002872592.1
OG0000023	Om008G351620, Om008G351630	XP_020867640.1
OG0000023	Om008G351640, Om008G351650	XP_002872599.2
OG0000023	Om001G010200	XP_020873352.1
OG0000023	Om001G010250	XP_002867727.1
OG0000024	Om001G030080, Om007G305000	XP_020874131.1
OG0000025	Om002G073490, Om002G073430	XP_020874777.1, XP_020875627.1, XP_020874778.1
OG0000027	Om007G316890	XP_020866667.1
OG0000028	Om001G022770	XP_020874317.1
OG0000028	Om007G314890	XP_020888389.1
OG0000028	Om007G308810, Om003G104130, Om001G019310	XP_020874443.1
OG0000029	Om006G261190, Om008G343780	XP_020889577.1
OG0000030	Om001G005680	XP_020886744.1, XP_020884781.1
OG0000030	Om001G015000, Om006G265800	XP_020872945.1
OG0000030	Om005G226380	XP_020876174.1, XP_020865828.1
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	XP_020869509.1
OG0000031	Om006G252510	XP_020878202.1
OG0000031	Om007G317990	XP_002868609.1
OG0000031	Om002G063040	XP_002883021.2
OG0000031	Om001G018890	XP_020873422.1
OG0000032	Om008G348910	XP_020883415.1
OG0000033	Om001G010240	XP_002869784.2
OG0000033	Om001G011550	XP_020873845.1, XP_020873368.1
OG0000033	Om001G007120	XP_002867849.1
OG0000033	Om001G010220	XP_020872543.1
OG0000033	Om001G010110	XP_020873366.1, XP_020873356.1
OG0000034	Om010G364590, Om008G356530, Om001G014760	XP_020873801.1, XP_020888683.1, XP_020872992.1, XP_020868390.1
OG0000034	Om003G107450	XP_020885105.1, XP_020886112.1, XP_020882566.1, XP_020882254.1, XP_020866182.1, XP_020889362.1, XP_020882345.1, XP_020871070.1, XP_020888104.1, XP_020879246.1
OG0000034	Om008G350440, Om004G148920	XP_020890931.1, XP_020881628.1, XP_020878929.1
OG0000034	Om008G345340	XP_020890967.1
OG0000034	Om003G111610	XP_020891338.1
OG0000034	Om007G308590	XP_020872998.1
OG0000034	Om006G267380	XP_020876553.1
OG0000034	Om008G344910	XP_020881424.1
OG0000034	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190	XP_020874940.1, XP_020874002.1, XP_020871360.1, XP_020866150.1, XP_020883547.1
OG0000034	Om005G219960, Om002G081730	XP_020871959.1
OG0000034	Om002G079430	XP_020879181.1, XP_020871751.1, XP_020880608.1, XP_020885775.1, XP_020881477.1, XP_020875416.1, XP_020870606.1, XP_020872315.1, XP_020876122.1, XP_020884761.1, XP_020873738.1, XP_020889950.1, XP_020879983.1
OG0000034	Om009G362950	XP_020872318.1, XP_020872991.1, XP_020875735.1, XP_020877498.1, XP_020872630.1, XP_020885869.1
OG0000035	Om006G273920, Om002G042810	XP_020886243.1, XP_020886860.1
OG0000035	Om007G280220, Om007G279280, Om006G269650, Om008G331040	XP_002864982.2
OG0000035	Om004G132400, Om008G334460, Om007G279790	XP_002879361.2, XP_002881223.2
OG0000036	Om005G184480	XP_020883504.1
OG0000038	Om005G196570, Om004G131590	XP_020889818.1
OG0000038	Om003G091800	XP_020866644.1, XP_020869484.1
OG0000038	Om006G262290	XP_020880739.1, XP_002881140.1, XP_020875890.1, XP_020878747.1, XP_020882397.1
OG0000038	Om008G356970	XP_020871052.1
OG0000038	Om008G322940	XP_020875162.1
OG0000038	Om002G053860, Om001G005520	XP_020887603.1
OG0000039	Om008G321840	XP_020866750.1
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000040	Om008G328570	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000040	Om002G067320	XP_002885337.1
OG0000042	Om007G298450	XP_020890764.1, XP_020881671.1, XP_020891386.1
