Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_hirsuta
OG0000000	XP_020887823.1	CARHR219240, CARHR166210
OG0000000	XP_020887909.1	CARHR228880, CARHR142010
OG0000000	XP_020867739.1, XP_020872418.1, XP_020889487.1, XP_020890732.1	CARHR153350
OG0000007	XP_020870157.1, XP_020870555.1	CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870
OG0000007	XP_020882643.1	CARHR266890
OG0000007	XP_020871008.1	CARHR150730
OG0000007	XP_020866419.1	CARHR055800, CARHR216040, CARHR051840
OG0000007	XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_002868379.2	CARHR032440, CARHR057030
OG0000008	XP_020881833.1	CARHR293430
OG0000008	XP_020882276.1	CARHR118900
OG0000008	XP_020881885.1, XP_020881611.1	CARHR161340
OG0000008	XP_020881699.1, XP_020881700.1	CARHR161350
OG0000008	XP_020879836.1	CARHR103530
OG0000008	XP_020879665.1, XP_020882645.1, XP_020879646.1, XP_020872716.1, XP_020874196.1	CARHR118910, CARHR216990, CARHR111800
OG0000009	XP_020889795.1	CARHR034640, CARHR017910
OG0000009	XP_020881689.1	CARHR114650
OG0000009	XP_020867197.1	CARHR153540
OG0000011	XP_020881814.1, XP_020878850.1	CARHR218510
OG0000011	XP_020873638.1	CARHR259400
OG0000015	XP_020890755.1, XP_020889910.1	CARHR110600
OG0000020	XP_020877054.1, XP_020869021.1	CARHR213120
OG0000022	XP_020873422.1	CARHR234420
OG0000022	XP_020878202.1	CARHR196550
OG0000022	XP_020865991.1, XP_020890510.1, XP_020865986.1, XP_002886463.2, XP_020865982.1	CARHR048190
OG0000022	XP_020889844.1	CARHR051050, CARHR048810
OG0000022	XP_002886462.1	CARHR049170
OG0000022	XP_020865844.1, XP_020890513.1	CARHR048480, CARHR048800
OG0000022	XP_020865810.1	CARHR048440, CARHR047970
OG0000022	XP_020890773.1	CARHR049120
OG0000022	XP_020869509.1	CARHR013000
OG0000022	XP_020865918.1	CARHR046360
OG0000022	XP_020890021.1	CARHR046370
OG0000022	XP_002868609.1	CARHR213210
OG0000022	XP_002883021.2	CARHR091960
OG0000024	XP_020866667.1	CARHR031230, CARHR030890
OG0000024	XP_002891475.2	CARHR116780
OG0000024	XP_002890932.2, XP_002890929.1	CARHR174240
OG0000024	XP_020866613.1, XP_002893705.2, XP_002893704.2	CARHR113190
OG0000024	XP_002890926.2	CARHR031540
OG0000024	XP_020888987.1	CARHR062310
OG0000024	XP_002875716.2	CARHR167830
OG0000024	XP_002893654.2	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000025	XP_020877486.1, XP_020889652.1	CARHR288360
OG0000026	XP_020879791.1	CARHR104160
OG0000027	XP_020878445.1	CARHR255070
OG0000027	XP_002872592.1	CARHR255040
OG0000027	XP_002872595.1	CARHR255010, CARHR263990, CARHR255060, CARHR254990
OG0000027	XP_020873367.1	CARHR230510
OG0000027	XP_020873341.1	CARHR230500
OG0000027	XP_020873352.1	CARHR230400, CARHR230390
OG0000027	XP_020867640.1	CARHR254870
OG0000027	XP_002872599.2	CARHR254910, CARHR254920
OG0000027	XP_002867727.1	CARHR230300
OG0000027	XP_020873349.1	CARHR230440
OG0000028	XP_020874778.1	CARHR285330
