Orthogroup	Euclidium_syriacum	Cardamine_hirsuta
OG0000000	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1	CARHR219900, CARHR034550
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	CARHR183870, CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410, CARHR057560, CARHR111840, CARHR100700, CARHR258710, CARHR180780, CARHR182530, CARHR055190, CARHR182520, CARHR257960, CARHR183200, CARHR262650, CARHR128850, CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870, CARHR058800, CARHR052910, CARHR152010, CARHR154010, CARHR144660, CARHR100290, CARHR221610, CARHR060230, CARHR133710, CARHR271640, CARHR058320, CARHR054400, CARHR257440, CARHR060330, CARHR216050, CARHR266890, CARHR096020, CARHR029260, CARHR156010, CARHR051850, CARHR151410, CARHR214530, CARHR150730, CARHR052510, CARHR024460, CARHR221620, CARHR060220, CARHR271650, CARHR286510, CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020, CARHR055800, CARHR216040, CARHR051840, CARHR032440, CARHR057030
OG0000009	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1	CARHR034640, CARHR017910
OG0000009	ESY7_g19643_DN1_SP0_c0.t1, ESY4_g23742_DN2_SP0_c0.t1, ESY7_g17772_DN2_SP0_c0.t1	CARHR217600, CARHR160220
OG0000009	ESY13_g56734_DN1_SP0_c0.t1	CARHR059740
OG0000011	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1	CARHR218510
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	CARHR259400
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	CARHR258200, CARHR258330
OG0000015	ESY13_g56277_DN2_SP0_c0.t1, ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1, ESY5_g676_DN2_SP0_c0.t1, ESY4_g23838_DN1_SP0_c0.t1, ESY3_g29176_DN1_SP0_c0.t1, ESY3_g28799_DN2_SP0_c0.t1, ESY3_g29490_DN1_SP0_c0.t1, ESY8_g60679_DN2_SP0_c0.t1, ESY11_g52487_DN1_SP0_c0.t1, ESY2_g38598_DN3_SP0_c0.t1, ESY4_g23101_DN1_SP0_c72.t1, ESY6_g46006_DN2_SP0_c14.t1, ESY10_g15713_DN2_SP0_c0.t1, ESY10_g14906_DN2_SP0_c0.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1, ESY11_g53315_DN2_SP0_c0.t1	CARHR110600
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	CARHR113350, CARHR034150, CARHR049310
OG0000020	ESY6_g46671_DN2_SP0_c83.t1	CARHR213120
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	CARHR146600
OG0000024	ESY4_g26389_DN2_SP0_c0.t1, ESY7_g18150_DN2_SP0_c0.t1, ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1	CARHR030400
OG0000024	ESY12_g51217_DN2_SP0_c0.t1	CARHR030450
OG0000024	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	CARHR030420
OG0000026	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1, ESY2_g36322_DN3_SP0_c0.t1, ESY1_g8855_DN3_SP0_c0.t1, ESY14_g20612_DN2_SP0_c0.t1, ESY11_g52547_DN2_SP0_c0.t1, ESY13_g56165_DN1_SP0_c0.t1, ESY1_g9068_DN2_SP0_c0.t1, ESY13_g56166_DN2_SP0_c0.t1, ESY8_g58625_DN1_SP0_c0.t1	CARHR104160
OG0000027	ESY9_g42764_DN3_SP0_c0.t1	CARHR254990
OG0000027	ESY23_g71_DN1_SP0_c28.t1	CARHR230560
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	CARHR230280, CARHR230310, CARHR055330, CARHR230350, CARHR230440, CARHR230330, CARHR230640, CARHR230340
OG0000027	ESY7_g17001_DN1_SP0_c0.t1	CARHR230580
OG0000028	ESY3_g32495_DN3_SP0_c95.t1	CARHR104940
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	CARHR285330, CARHR220000, CARHR100780
OG0000028	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1	CARHR028780, CARHR203520
OG0000029	ESY1_g6329_DN2_SP0_c0.t1	CARHR056480, CARHR153130
OG0000030	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1	CARHR060010, CARHR059990
OG0000030	ESY3_g29344_DN3_SP0_c0.t1	CARHR134370
OG0000030	ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	CARHR260760, CARHR260790
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	CARHR158520, CARHR158510, CARHR158530
OG0000030	ESY3_g30282_DN2_SP0_c0.t1	CARHR088150
OG0000030	ESY3_g30190_DN1_SP0_c0.t1	CARHR223790
OG0000030	ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1	CARHR088850
OG0000030	ESY3_g30254_DN3_SP0_c0.t1, ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1	CARHR088870
OG0000032	ESY1_g7080_DN3_SP0_c33.t1, ESY11_g52738_DN2_SP0_c0.t1, ESY15_g65701_DN1_SP0_c88.t1, ESY3_g28065_DN2_SP0_c0.t1	CARHR158150, CARHR057520, CARHR108030, CARHR217640
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	CARHR034500, CARHR120350, CARHR104490
OG0000035	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1	CARHR216710, CARHR153260, CARHR182390
OG0000038	ESY21_g55396_DN1_SP0_c0.t1, ESY3_g29295_DN1_SP0_c68.t1, ESY21_g55792_DN2_SP0_c0.t1	CARHR187570
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	CARHR220690, CARHR104870, CARHR145030, CARHR098760, CARHR124520, CARHR288090, CARHR105380, CARHR035340, CARHR181910, CARHR111550, CARHR213150, CARHR054120, CARHR118730, CARHR216370, CARHR121910
OG0000044	ESY6_g50480_DN2_SP0_c0.t1	CARHR116340, CARHR036550
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	CARHR223510, CARHR102310
OG0000044	ESY4_g26811_DN2_SP0_c0.t1	CARHR175160
OG0000046	ESY14_g21426_DN1_SP0_c0.t1	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1	CARHR054750
OG0000048	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	CARHR261660, CARHR042940
OG0000048	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1	CARHR125800
OG0000048	ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1	CARHR207670
OG0000048	ESY3_g32505_DN1_SP0_c0.t1, ESY3_g32506_DN1_SP0_c0.t1	CARHR126120
OG0000050	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	CARHR154060
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	CARHR002800
OG0000051	ESY5_g5127_DN3_SP0_c0.t1	CARHR137510
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	CARHR127280
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	CARHR137540
OG0000051	ESY12_g51338_DN3_SP0_c0.t1	CARHR260850
OG0000052	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	CARHR278910, CARHR148040
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	CARHR162490
OG0000052	ESY1_g10448_DN1_SP0_c0.t1	CARHR162520, CARHR162530, CARHR292090
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	ESY9_g45399_DN1_SP0_c0.t1	CARHR100840
OG0000055	ESY3_g30252_DN1_SP0_c0.t1	CARHR222490, CARHR100820
OG0000055	ESY8_g59290_DN2_SP0_c0.t1	CARHR094260
OG0000055	ESY16_g61649_DN2_SP0_c0.t1	CARHR108270
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	CARHR149840
OG0000056	ESY2_g33771_DN2_SP0_c0.t1	CARHR050320
OG0000056	ESY2_g33665_DN2_SP0_c0.t1	CARHR050310
OG0000056	ESY3_g31641_DN1_SP0_c0.t1	CARHR050020
OG0000056	ESY2_g33775_DN1_SP0_c0.t1	CARHR050280, CARHR049980, CARHR050290, CARHR050160
OG0000056	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1	CARHR155600
OG0000059	ESY11_g53896_DN3_SP0_c0.t1	CARHR293330, CARHR148640, CARHR151940, CARHR118340
OG0000059	ESY1_g9125_DN2_SP0_c0.t1	CARHR104020
OG0000060	ESY6_g48808_DN3_SP0_c0.t1	CARHR273260
OG0000060	ESY6_g48809_DN3_SP0_c0.t1, ESY9_g44877_DN3_SP0_c0.t1	CARHR132050
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	CARHR039590
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	CARHR123070
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690
OG0000065	ESY1_g11993_DN3_SP0_c13.t1	CARHR257300
OG0000066	ESY23_g163_DN2_SP0_c0.t1	CARHR279310
OG0000066	ESY11_g54349_DN3_SP0_c0.t1	CARHR279320, CARHR202900
OG0000066	ESY2_g34934_DN2_SP0_c58.t1	CARHR058350, CARHR096450
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	CARHR202310
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	CARHR210960
OG0000068	ESY6_g50195_DN3_SP0_c0.t1	CARHR210190
OG0000069	ESY20_g13229_DN3_SP0_c0.t1	CARHR070150
OG0000070	ESY10_g14297_DN3_SP0_c35.t1	CARHR010350
OG0000070	ESY3_g32095_DN2_SP0_c41.t1	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000072	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1	CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000072	ESY1_g10105_DN1_SP0_c0.t1	CARHR292290
OG0000073	ESY5_g2052_DN2_SP0_c0.t1	CARHR119500
OG0000075	ESY5_g3131_DN2_SP0_c0.t1	CARHR247150
OG0000075	ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY8_g60740_DN3_SP0_c0.t1	CARHR221070
OG0000075	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1	CARHR285960
OG0000075	ESY1_g11598_DN2_SP0_c38.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY4_g26050_DN2_SP0_c0.t1	CARHR164670, CARHR164660, CARHR174400
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	CARHR247830
OG0000076	ESY4_g25860_DN2_SP0_c0.t1, ESY4_g26382_DN2_SP0_c0.t1, ESY8_g59836_DN2_SP0_c0.t1, ESY8_g58171_DN3_SP0_c0.t1, ESY4_g26372_DN3_SP0_c0.t1, ESY5_g4993_DN1_SP0_c0.t1, ESY5_g4992_DN1_SP0_c0.t1, ESY8_g59674_DN1_SP0_c0.t1, ESY2_g33376_DN3_SP0_c13.t1, ESY5_g4917_DN3_SP0_c0.t1, ESY2_g35407_DN2_SP0_c0.t1, ESY9_g42752_DN3_SP0_c0.t1, ESY2_g33366_DN2_SP0_c0.t1, ESY3_g31945_DN3_SP0_c0.t1, ESY4_g25882_DN2_SP0_c0.t1, ESY2_g34046_DN1_SP0_c0.t1, ESY4_g26532_DN1_SP0_c0.t1, ESY8_g59034_DN1_SP0_c0.t1, ESY4_g26353_DN2_SP0_c8.t1, ESY4_g25591_DN2_SP0_c0.t1, ESY2_g33380_DN1_SP0_c0.t1, ESY4_g26224_DN3_SP0_c0.t1, ESY6_g50584_DN1_SP0_c0.t1, ESY2_g33369_DN2_SP0_c0.t1	CARHR260300
