Orthogroup	Euclidium_syriacum	Noccaea_praecox
OG0000000	ESY9_g43741_DN1_SP0_c0.t1	Np002G1063700, Np003G1750900
OG0000000	ESY11_g54832_DN1_SP0_c0.t1, ESY5_g3140_DN1_SP0_c0.t1, ESY8_g59650_DN3_SP0_c0.t1	Np007G4029000
OG0000000	ESY22_g40756_DN3_SP0_c0.t1	Np003G1264600
OG0000000	ESY7_g16163_DN2_SP0_c0.t1	Np006G3574100, Np005G2997500, Np001G0689700
OG0000000	ESY17_g39043_DN1_SP0_c0.t1	Np006G3485200
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	Np002G1057700, Np008G4275500, Np005G2965700, Np008G4260500, Np002G1057800, Np002G1036100, Np011G4364100, Np008G4275700, Np002G1017600, Np002G1056700, Np003G1705400, Np002G0924900, Np009G4293000, Np002G1029600, Np006G3468100, Np002G1029300, Np004G2265100, Np002G1017700, Np004G2022100, Np004G2547200, Np001G0430400, Np007G4054400
OG0000003	ESY7_g19226_DN2_SP0_c46.t1	Np007G3935700
OG0000003	ESY9_g43283_DN2_SP0_c0.t1	Np003G1537900
OG0000003	ESY9_g43824_DN1_SP0_c0.t1	Np004G2027900
OG0000003	ESY9_g43536_DN2_SP0_c0.t1	Np007G4024900, Np003G1475700
OG0000004	ESY9_g43878_DN2_SP0_c0.t1	Np005G2950600
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	Np004G2079000, Np003G1676800
OG0000005	ESY1_g7388_DN1_SP0_c0.t1	Np006G3440400
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	Np008G4270000, Np002G0921200, Np003G1457500, Np005G3131700
OG0000009	ESY2_g34470_DN1_SP0_c0.t1	Np005G2652900, Np004G2035600
OG0000009	ESY2_g34418_DN2_SP0_c0.t1	Np002G1195700
OG0000009	ESY6_g47366_DN1_SP0_c0.t1	Np002G0805000
OG0000009	ESY7_g19643_DN1_SP0_c0.t1, ESY4_g23742_DN2_SP0_c0.t1, ESY7_g17772_DN2_SP0_c0.t1	Np004G1970100
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	Np001G0276300
