Orthogroup	Cochlearia_excelsa	Arabidopsis_thaliana
OG0000003	g14063	AT1G43760.1
OG0000007	g4635	AT2G13770.1
OG0000008	g5353, g35020, g27856, g27175, g1942	AT5G28780.1
OG0000009	g10582	AT3G26855.1
OG0000009	g23979, g28647, g29131, g1512	AT2G06845.1
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	AT3G30370.1, AT1G18050.1
OG0000016	g42778	AT2G12880.1
OG0000020	g3669	AT2G11570.1
OG0000020	g4186	AT2G06420.1
OG0000021	g33125, g14567, g25750	AT3G31925.1
OG0000022	g17118	AT4G26800.2
OG0000022	g5030	AT5G16640.1
OG0000022	g40889	AT1G63130.1, AT1G62680.1
OG0000022	g40888	AT1G62720.1
OG0000022	g40751	AT1G64583.1
OG0000022	g40752	AT1G64580.1
OG0000022	g13269	AT5G41170.1, AT3G16710.1
OG0000024	g2269	AT3G56890.1, AT3G57580.1, AT3G57590.1
OG0000027	g40374	AT4G11530.1
OG0000030	g38367, g38376, g38372, g38380	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	g13799, g13797	AT1G54550.1, AT3G49510.1, AT3G49520.1
OG0000030	g13193, g13194	AT1G66490.1
OG0000030	g44631	AT3G14030.1
OG0000034	g23911	AT4G23180.1
OG0000034	g24014	AT4G21400.1, AT4G21410.3
OG0000034	g50699	AT4G00960.1, AT4G00970.1
OG0000035	g42054, g13304, g42055	AT4G04957.1
OG0000038	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625	AT4G23160.2
OG0000040	g49152	AT5G11565.1
OG0000040	g28310, g1466, g41711, g22786	AT3G25720.1, AT4G10613.1
OG0000043	g37824, g17258, g53614, g49526, g36920, g23518	AT5G42905.1
OG0000044	g28154	AT5G22690.2, AT5G17970.1, AT4G16890.1, AT4G16957.1, AT4G16857.2, AT4G16920.2, AT4G16860.1, AT4G16950.1, AT4G16960.1, AT4G16940.2, AT4G16900.1, AT5G51630.1
OG0000048	g39852, g39841	AT2G31470.1
OG0000048	g3814	AT3G49440.1
OG0000048	g51286	AT2G19630.1
OG0000051	g53934, g37450	AT2G42480.1
OG0000052	g1602, g3195	AT3G26922.1
OG0000052	g19225	AT4G00160.1, AT3G52680.1
OG0000052	g2410	AT3G51530.1
OG0000055	g27361	AT3G19470.1, AT3G22770.1
OG0000055	g700	AT3G17620.1
OG0000056	g40991, g44205	AT1G61990.1
OG0000056	g44206, g40901	AT3G46950.1
OG0000059	g1329	AT2G07800.1
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	AT3G46320.1, AT3G45930.1, AT1G07820.1, AT3G53730.1, AT1G07660.1, AT5G59970.1, AT5G59690.1, AT2G28740.1
