Orthogroup	Cardamine_hirsuta	Brassica_oleracea
OG0000000	CARHR219390	XP_013589281.1, XP_013639605.1
OG0000000	CARHR219240, CARHR166210	XP_013639285.1, XP_013616974.1
OG0000000	CARHR219900, CARHR034550	XP_013589224.1
OG0000000	CARHR228880, CARHR142010	XP_013639798.1
OG0000000	CARHR153350	XP_013608111.1, XP_013594666.1, XP_013608239.1, XP_013601232.1, XP_013617485.1, XP_013624473.1, XP_013616899.1, XP_013614454.1, XP_013594530.1, XP_013624623.1, XP_013599200.1, XP_013607275.1, XP_013601459.1, XP_013624458.1, XP_013633199.1, XP_013623358.1, XP_013624757.1, XP_013608522.1
OG0000007	CARHR180780, CARHR182530	XP_013639708.1
OG0000007	CARHR180980, CARHR287750	XP_013634604.1
OG0000007	CARHR058800, CARHR052910, CARHR152010, CARHR154010	XP_013603784.1, XP_013635455.1
OG0000007	CARHR054400, CARHR257440	XP_013633894.1
OG0000007	CARHR216050	XP_013624226.1
OG0000007	CARHR151410	XP_013610211.1
OG0000007	CARHR150730	XP_013632862.1
OG0000007	CARHR271650	XP_013632912.1
OG0000007	CARHR099640, CARHR266880, CARHR029270, CARHR156020	XP_013594580.1
OG0000007	CARHR216040	XP_013607658.1
OG0000008	CARHR101910	XP_013617727.1, XP_013601202.1, XP_013624229.1, XP_013607910.1
OG0000008	CARHR159360	XP_013601357.1
OG0000008	CARHR217630	XP_013629664.1
OG0000008	CARHR183140	XP_013614821.1
OG0000008	CARHR056560, CARHR114970, CARHR150550	XP_013639623.1, XP_013639271.1
OG0000008	CARHR291920, CARHR221030, CARHR117380	XP_013583252.1
OG0000008	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350	XP_013601615.1
OG0000008	CARHR259120	XP_013624694.1
OG0000008	CARHR119350, CARHR214330, CARHR286130, CARHR178960	XP_013632335.1
OG0000009	CARHR145720	XP_013635062.1, XP_013639201.1, XP_013608026.1
OG0000009	CARHR077050	XP_013633175.1
OG0000009	CARHR114650	XP_013616789.1, XP_013617492.1, XP_013624812.1, XP_013607654.1, XP_013615193.1, XP_013583289.1, XP_013617990.1, XP_013633184.1
OG0000009	CARHR153540, CARHR055780	XP_013616754.1, XP_013615524.1
OG0000011	CARHR218510	XP_013617429.1
OG0000011	CARHR259400	XP_013586656.1, XP_013616817.1, XP_013639582.1
OG0000012	CARHR032710	XP_013601212.1
OG0000012	CARHR256470	XP_013614480.1
OG0000012	CARHR032700	XP_013614955.1, XP_013595015.1, XP_013601499.1, XP_013607737.1
OG0000014	CARHR287490	XP_013601086.1, XP_013624639.1, XP_013632903.1, XP_013616976.1
OG0000015	CARHR258200, CARHR258330	XP_013614071.1
OG0000015	CARHR110600	XP_013594602.1, XP_013613389.1, XP_013633310.1, XP_013617465.1, XP_013613387.1, XP_013601199.1, XP_013633118.1, XP_013639376.1, XP_013583421.1, XP_013607863.1, XP_013603434.1, XP_013615586.1
OG0000020	CARHR113350, CARHR034150, CARHR049310	XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1
OG0000020	CARHR213120	XP_013624038.1, XP_013608147.1
OG0000021	CARHR146600	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1
