Orthogroup	Alyssum_gmelinii	Arabidopsis_lyrata_NCBI
OG0000000	Ag004G340890, Ag001G084200	XP_020886399.1, XP_020874109.1, XP_020881080.1
OG0000000	Ag003G248650, Ag004G363090	XP_020878681.1
OG0000000	Ag002G167150	XP_020886397.1, XP_020866436.1, XP_020870151.1, XP_020870162.1
OG0000003	Ag007G647490	XP_020874036.1
OG0000004	Ag008G684310	XP_020872418.1, XP_020867739.1
OG0000004	Ag006G503330	XP_020874113.1
OG0000005	Ag005G452100	XP_020876464.1, XP_020881689.1
OG0000005	Ag005G414560, Ag002G110220, Ag005G402610, Ag004G325230, Ag002G102270, Ag007G655680, Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760	XP_020876055.1, XP_020877155.1
OG0000005	Ag004G390840, Ag004G351220, Ag006G508910	XP_020885673.1
OG0000006	Ag005G455250	XP_020880934.1
OG0000007	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220	XP_020887823.1
OG0000007	Ag006G574510, Ag002G195530, Ag002G132070, Ag002G132800	XP_020885936.1
OG0000008	Ag005G451490	XP_020867861.1, XP_020876690.1
OG0000008	Ag001G015890	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020879646.1, XP_020872716.1
OG0000012	Ag007G621260, Ag005G417190	XP_020866256.1
OG0000012	Ag007G633420	XP_020888454.1
OG0000012	Ag003G250900	XP_020872338.1, XP_020881433.1
OG0000012	Ag003G250910	XP_020874097.1
OG0000012	Ag002G161720	XP_020872339.1
OG0000014	Ag001G020750	XP_020874556.1
OG0000017	Ag005G432180, Ag001G042370	XP_020874114.1, XP_002883754.2, XP_020879010.1
OG0000017	Ag002G124100, Ag004G375560, Ag001G050140	XP_020879892.1, XP_020879506.1, XP_020887777.1
OG0000018	Ag007G609170	XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1
OG0000019	Ag007G613770, Ag002G147220, Ag003G285010	XP_020881858.1
OG0000019	Ag007G642200, Ag006G545350	XP_020866193.1, XP_020870462.1, XP_020875471.1, XP_020876980.1, XP_002888416.2, XP_020891537.1
OG0000021	Ag008G685590	XP_020881895.1
OG0000021	Ag002G135150	XP_020889841.1
OG0000021	Ag002G201670	XP_020883515.1
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	XP_020878447.1, XP_020878438.1, XP_020873367.1, XP_020873341.1
OG0000023	Ag002G145570, Ag002G145600	XP_020878445.1, XP_020878446.1
OG0000023	Ag002G145500	XP_002872592.1
OG0000023	Ag002G145450	XP_020867640.1
OG0000023	Ag006G547270	XP_020873352.1
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	XP_002867727.1
OG0000025	Ag003G230310	XP_020874777.1, XP_020875627.1, XP_020874778.1, XP_020885754.1, XP_020886436.1, XP_020871166.1, XP_020873006.1
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	XP_020874443.1
OG0000029	Ag006G523440, Ag006G532500, Ag004G401820, Ag002G114660	XP_020889577.1
OG0000029	Ag002G175390	XP_020879586.1
OG0000030	Ag002G201000, Ag003G292120	XP_020886744.1, XP_020884781.1
OG0000030	Ag002G167860, Ag004G319940, Ag004G398140, Ag003G263120	XP_020872945.1
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740	XP_020876174.1, XP_020865828.1
OG0000031	Ag001G078560, Ag004G386130	XP_002886463.2, XP_020865982.1, XP_020865991.1, XP_020890510.1, XP_020865986.1
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	XP_020869509.1
OG0000031	Ag002G111150, Ag002G107580	XP_002868609.1
OG0000031	Ag004G401670	XP_020890773.1, XP_020865918.1, XP_020890021.1, XP_020869233.1
OG0000033	Ag006G547230, Ag006G549390	XP_002869784.2
OG0000033	Ag006G543630, Ag006G543880	XP_020873845.1, XP_020873368.1
OG0000033	Ag006G564890, Ag003G210460	XP_002867849.1
OG0000033	Ag006G547250, Ag006G549400, Ag008G717210	XP_020872543.1
OG0000033	Ag006G547380, Ag006G549570	XP_020873366.1, XP_020873356.1
OG0000033	Ag002G130680, Ag002G130760	XP_002874837.2
OG0000034	Ag002G147590, Ag004G329060	XP_020886112.1, XP_020882566.1, XP_020882254.1, XP_020866182.1, XP_020889362.1
OG0000034	Ag002G126640, Ag006G537230	XP_020882345.1, XP_020871070.1, XP_020888104.1
OG0000034	Ag001G041740, Ag004G365370, Ag004G364780	XP_020879246.1
OG0000034	Ag005G434950	XP_020890931.1, XP_020881628.1, XP_020878929.1
OG0000034	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870	XP_020891338.1
OG0000034	Ag007G644830	XP_020872998.1
OG0000034	Ag008G692130, Ag002G161700	XP_020874940.1, XP_020874002.1, XP_020871360.1, XP_020866150.1, XP_020883547.1
OG0000034	Ag005G442050	XP_020871242.1
OG0000034	Ag005G441910	XP_020871959.1
OG0000034	Ag004G317550, Ag002G142920	XP_020871751.1, XP_020880608.1, XP_020885775.1, XP_020881477.1, XP_020875416.1, XP_020870606.1, XP_020872315.1
