Orthogroup	Noccaea_praecox	Cardamine_glauca
OG0000000	Np007G401540, Np010G434720	Cg004G132730
OG0000000	Np004G220190	Cg001G026290, Cg008G290900, Cg004G127320, Cg008G322460, Cg006G203050, Cg002G060960, Cg002G062120
OG0000000	Np003G167670, Np002G107260, Np004G207890	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250
OG0000000	Np010G434710	Cg014G332090
OG0000002	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920	Cg005G163330
OG0000003	Np001G048710, Np006G360670	Cg006G209840
OG0000003	Np006G354000, Np006G347320, Np006G346740, Np006G353400	Cg005G163140
OG0000003	Np003G172810	Cg001G032830
OG0000003	Np003G170760	Cg005G182650
OG0000004	Np002G100200	Cg004G154080
OG0000004	Np005G318460	Cg007G260170
OG0000005	Np006G356630	Cg008G308830
OG0000005	Np007G395340	Cg003G086520
OG0000005	Np002G098830	Cg008G295320, Cg005G188150
OG0000005	Np001G012890, Np001G012870	Cg003G087270
OG0000005	Np003G170890, Np003G170800, Np003G175080, Np002G106360, Np006G355750, Np002G110360	Cg006G213190
OG0000006	Np005G313160	Cg006G203530, Cg001G010040, Cg005G192450, Cg006G206830
OG0000006	Np008G427000	Cg008G318730, Cg008G316770, Cg004G148130, Cg002G063640, Cg001G021710
OG0000007	Np006G357400, Np005G299740	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470
OG0000007	Np007G402900, Np001G003900	Cg003G103180
OG0000007	Np007G402890	Cg003G084380
OG0000007	Np004G201210, Np004G226300, Np002G092690, Np001G031480	Cg002G061850
OG0000008	Np001G053530	Cg007G263320, Cg002G060890, Cg002G055170
OG0000010	Np002G095240	Cg006G205490
OG0000012	Np006G343630, Np002G100520	Cg003G089470, Cg006G226210
OG0000012	Np007G403470	Cg002G066610, Cg003G088580
OG0000012	Np006G341490	Cg003G096060
OG0000012	Np002G100750	Cg006G208150
OG0000013	Np002G102600, Np003G173130	Cg007G257070
OG0000014	Np001G042570, Np002G073300	Cg007G281140, Cg008G312030
OG0000015	Np001G036120	Cg001G025880
OG0000019	Np003G156030, Np004G211950	Cg008G308170
OG0000019	Np001G027630	Cg003G084410, Cg008G317890
OG0000019	Np001G027620	Cg005G182050
OG0000020	Np002G102400	Cg001G036750
OG0000021	Np005G303890	Cg006G208570
OG0000021	Np005G270390, Np007G393560	Cg003G100100
OG0000021	Np004G199140	Cg005G184870, Cg004G145270, Cg002G061370, Cg003G103950, Cg002G074750, Cg001G028510, Cg006G215630
OG0000023	Np003G180610	Cg003G082360
OG0000023	Np005G283730	Cg001G017610, Cg001G017600
OG0000023	Np003G180640	Cg003G082330
OG0000023	Np005G283900	Cg001G017650
OG0000023	Np005G284120	Cg001G017750
OG0000023	Np005G284010	Cg001G017660
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	Cg001G005300
OG0000026	Np003G172690	Cg005G183380
OG0000027	Np004G214870, Np005G271730, Np004G214850	Cg002G070600
OG0000027	Np004G215070	Cg006G215350, Cg006G215360
OG0000027	Np001G057950, Np001G057940	Cg002G048550, Cg002G048720
OG0000029	Np004G209620, Np002G086870	Cg008G311020
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	Cg007G253930
OG0000029	Np004G242790, Np003G126680, Np003G167270	Cg005G177640
OG0000029	Np003G172510	Cg006G212710
OG0000030	Np002G096310	Cg013G330360
OG0000030	Np002G096140, Np004G216100	Cg005G188990
OG0000031	Np005G318980	Cg001G042060
OG0000033	Np005G284050, Np005G284060	Cg001G017700
OG0000033	Np005G284130	Cg001G017740, Cg001G017730
OG0000033	Np005G283960, Np005G284080	Cg001G017780
OG0000034	Np007G396340	Cg002G066600
OG0000036	Np006G342180, Np004G233440, Np005G260660	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000038	Np001G060270	Cg008G285210, Cg008G285280
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	Cg005G159520
OG0000038	Np003G157800	Cg003G103850
OG0000038	Np005G318000	Cg002G052970
OG0000039	Np002G110420	Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	Np001G009070	Cg006G217350
OG0000040	Np004G224970, Np004G224940	Cg006G235040, Cg002G057370
OG0000042	Np002G085480, Np007G420820	Cg002G059980
OG0000042	Np001G027800	Cg006G216080, Cg005G157480, Cg008G309010, Cg008G310650, Cg013G330010, Cg008G311300, Cg008G309470, Cg007G265550
OG0000042	Np004G191660	Cg005G183270, Cg003G113100, Cg008G310640, Cg008G309000
OG0000042	Np006G336410	Cg005G175020, Cg003G088120
OG0000042	Np003G181700	Cg002G072070
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	Cg001G029670
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	Cg003G096230
OG0000045	Np006G334530	Cg003G091810
OG0000046	Np005G292150	Cg001G022610
OG0000046	Np005G313330	Cg001G037990
OG0000048	Np007G421470	Cg004G119550
OG0000048	Np003G145420	Cg008G298370
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	Cg006G242960
OG0000052	Np006G328590, Np006G328570, Np006G328580	Cg005G173390, Cg013G330370
OG0000052	Np003G173020	Cg005G163540
OG0000052	Np006G328390, Np006G328410, Np006G328470	Cg003G083820
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350
OG0000053	Np001G008270, Np001G039230, Np003G166770	Cg003G084420
OG0000054	Np004G255790	Cg001G018970
OG0000054	Np003G165300, Np008G427110, Np003G167120, Np002G099610, Np001G054180, Np002G078710, Np001G038630, Np005G282410, Np004G256130, Np006G347850	Cg005G189800, Cg005G189790
OG0000055	Np001G046730	Cg002G060080
OG0000055	Np002G119410	Cg007G248410
OG0000055	Np002G083070	Cg007G248400
OG0000055	Np002G119400	Cg006G223020
OG0000055	Np002G119520, Np002G119220, Np002G119170	Cg007G248540, Cg007G248530
OG0000056	Np006G356510, Np003G151080, Np003G158880, Np007G412270, Np005G282430	Cg007G265440, Cg006G204190
