Orthogroup	Arabidopsis_thaliana	Erysimum_linariifolium
OG0000004	AT2G22440.1	El001G052930, El004G230860, El003G157040
OG0000005	AT4G09490.1	El001G039730
OG0000005	AT2G06845.1	El006G308020, El003G156400
OG0000005	AT1G10000.1	El002G104670, El006G315290, El001G049310, El004G194230
OG0000005	ATMG01250.1	El002G123530
OG0000008	AT5G28780.1	El005G264190
OG0000008	AT3G51700.1, AT3G51690.1	El003G174670
OG0000011	AT5G52547.1	El004G200940
OG0000013	AT2G06105.1	El006G310100, El007G353330, El004G207030, El006G312640, El003G182060, El001G045710
OG0000018	AT1G52950.1	El003G154150, El006G318220, El001G007900, El001G053230
OG0000018	AT3G31925.1	El001G045850, El001G048290, El003G146330
OG0000019	AT1G18050.1	El002G122780, El006G281410, El004G213790
OG0000023	AT4G23260.1	El007G357800
OG0000023	AT4G11470.2	El001G007540
OG0000023	AT4G23190.1	El003G162130
OG0000025	AT4G13680.1	El001G014870, El001G014670
OG0000025	AT5G52940.1	El007G340450, El007G340490
OG0000025	AT5G52930.1	El007G340430
OG0000027	AT5G42430.1	El002G118120, El002G111110
OG0000027	AT1G33010.1, AT1G33020.1	El002G120540
OG0000027	AT1G30930.1	El002G117940
OG0000027	AT5G38810.2	El002G117910
OG0000027	AT3G57580.1, AT3G56890.1	El001G029050
OG0000027	AT3G57590.1	El001G025570
OG0000028	AT5G36225.1	El004G212000, El004G211990, El007G348580
OG0000028	AT2G17905.1	El007G334290
OG0000031	AT1G63080.1, AT1G62930.1	El004G208470, El004G208460
OG0000031	AT1G63400.1, AT1G62590.1	El004G197790
OG0000031	AT1G62680.1	El004G197660
OG0000031	AT1G62914.1, AT1G62670.1	El007G349520
OG0000031	AT1G12620.1	El002G096110
OG0000031	AT5G41170.1	El003G192370
OG0000031	AT3G16710.1	El005G253470
OG0000031	AT4G26800.2	El003G157520
OG0000031	AT1G64583.1	El002G127940, El004G193990
OG0000033	AT4G23180.1	El003G162150
OG0000033	AT4G21400.1	El003G164670
OG0000033	AT4G00970.1	El005G273190
OG0000033	AT4G23130.2	El003G162220
OG0000033	AT3G45860.1	El001G014890
OG0000033	AT4G05200.2	El001G004730
OG0000035	AT3G23960.1	El001G043940
OG0000035	AT3G61340.2	El001G033250
OG0000038	AT1G26890.1	El002G110410, El002G110580, El002G110340
OG0000038	AT3G49480.2	El001G019410
OG0000038	AT5G52460.1	El007G341120
OG0000038	AT5G44850.1	El007G361730, El007G361750
OG0000040	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1	El003G181190, El002G112730, El002G112290
OG0000040	AT3G14030.1	El005G250150
OG0000040	AT3G13680.1	El005G250180
OG0000040	AT5G60560.2	El005G257710
OG0000042	AT3G25720.1	El001G058460
OG0000042	AT1G50080.1	El005G265850
OG0000044	AT1G37020.1, AT5G45570.1, AT4G08430.1, AT5G28810.1, AT2G10260.1, AT3G31910.1	El007G357580, El007G365520, El003G186540
OG0000046	AT5G39020.1, AT5G39030.1	El003G188710
OG0000046	AT5G38260.1	El003G186960, El003G186970
OG0000046	AT4G18250.1	El003G168460
OG0000046	AT5G38280.2	El003G187000
OG0000046	AT1G67000.1	El004G216850, El004G216660
OG0000048	AT3G03820.1	El003G193700
OG0000048	AT2G21200.1	El006G321480
OG0000052	AT2G42455.1	El006G286610, El006G286640
OG0000052	AT2G42470.1	El006G286590
OG0000052	AT2G42480.1	El006G286580
OG0000055	AT3G46950.1	El001G016330, El001G016310, El001G016300
OG0000055	AT1G61960.1	El004G198830
OG0000055	AT1G62110.1, AT1G62085.1	El004G198610
OG0000055	AT1G56380.2	El004G208280
OG0000055	AT1G62120.1	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700
OG0000055	AT1G61980.1	El004G198810
OG0000056	AT3G31430.1	El004G200570
OG0000057	AT2G18780.1	El005G276600, El005G276550
OG0000057	AT3G18120.1	El003G184060
OG0000062	AT2G07200.1	El005G264970, El004G212620, El001G013750, El003G186180, El004G203440, El004G203430, El007G346680, El005G263100
OG0000062	AT2G07190.1	El001G054390
OG0000064	AT4G38940.1	El003G142390
OG0000066	AT1G75600.1	El004G228220, El004G228230, El002G122920
OG0000066	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1	El007G324780
OG0000067	AT3G09160.1, AT5G05430.2	El001G050000
