Orthogroup	Capsella_rubella	Arabidopsis_arenosa
OG0000000	XP_023632598.1	jg7218
OG0000000	XP_023637681.1	jg26753, jg25591
OG0000000	XP_023636065.1, XP_023634315.1, XP_023640349.1, XP_023633451.1, XP_023633818.1	jg27616
OG0000000	XP_023635799.1	jg25786
OG0000002	XP_023638855.1	jg11830, jg12347, jg21985, jg21988
OG0000003	XP_023644456.1	jg13879
OG0000008	XP_023638567.1	jg15054, jg15062, jg15069, jg15057
OG0000011	XP_023638113.1, XP_023633028.1	jg33383, jg21637
OG0000011	XP_023644226.1	jg13840
OG0000011	XP_023641372.1	jg13651
OG0000011	XP_023633409.1, XP_023641370.1	jg28177
OG0000011	XP_023636084.1	jg18104
OG0000011	XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1	jg33105, jg17517, jg32960, jg20959
OG0000011	XP_006298993.2, XP_023637233.1	jg14168
OG0000011	XP_023641182.1	jg21692
OG0000012	XP_023633714.1	jg22437, jg1376, jg33243
OG0000012	XP_023645773.1	jg13807
OG0000014	XP_023638462.1, XP_023634279.1	jg11731
OG0000020	XP_023640323.1	jg6965
OG0000020	XP_006279199.1	jg27354
OG0000020	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1	jg2142
OG0000020	XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1	jg32618
OG0000020	XP_006302668.2	jg11431
OG0000021	XP_023637954.1	jg32225, jg20321, jg1978, jg701, jg3954
OG0000021	XP_006303531.2, XP_023644562.1, XP_023641377.1	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287
OG0000021	XP_023638098.1	jg27179
OG0000021	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1	jg25715
OG0000022	XP_006283550.1	jg9770
OG0000022	XP_023636761.1	jg5495
OG0000022	XP_006301194.2, XP_006300860.1	jg572
OG0000022	XP_006302102.1	jg642
OG0000022	XP_006301814.1	jg638
OG0000022	XP_006306232.1	jg29724
OG0000022	XP_006303680.2, XP_006303621.1	jg29708, jg29704, jg29712
OG0000022	XP_006306401.2, XP_006303167.1	jg29722, jg29734, jg29678, jg29676
OG0000022	XP_023643559.1	jg372
OG0000022	XP_023635463.1	jg12744
OG0000022	XP_006297483.1	jg25741
OG0000024	XP_023643300.1, XP_023632994.1	jg31700, jg31701, jg31702, jg31695, jg7351, jg31682, jg31706
OG0000024	XP_023633131.1	jg31676, jg31674, jg31678, jg31679, jg31677
OG0000024	XP_023632981.1, XP_023645579.1, XP_023645581.1	jg31671
OG0000024	XP_023632988.1	jg31709, jg31713, jg31711, jg31710
OG0000024	XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1	jg31714
OG0000024	XP_023644529.1	jg33003, jg33002
OG0000024	XP_023633039.1	jg31857
OG0000024	XP_023632980.1	jg31665
OG0000024	XP_023632970.1	jg31668
OG0000024	XP_023633004.1, XP_023639207.1	jg15695, jg15696, jg15770
OG0000025	XP_023644235.1, XP_023636040.1, XP_023641958.1, XP_023644550.1, XP_023644451.1, XP_023634078.1	jg7349, jg6966, jg1482, jg14688, jg1903, jg6980
OG0000025	XP_023636110.1	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257
