Orthogroup	Aethionema_saxatile	Alyssum_gmelinii
OG0000000	As001G006630, As006G147610	Ag002G167150
OG0000000	As011G257780	Ag007G637890, Ag001G032720, Ag008G692330, Ag002G155080, Ag008G696910
OG0000002	As004G091170	Ag005G437270, Ag005G410710
OG0000003	As008G191470	Ag007G617260
OG0000003	As010G230320	Ag004G365940
OG0000003	As003G066700, As007G166450, As007G166410, As003G066730, As003G066690, As007G166480, As012G279590	Ag007G647490
OG0000004	As007G177100	Ag002G133140, Ag008G711060, Ag006G542780, Ag002G121010, Ag006G552510, Ag004G374310
OG0000004	As009G212350	Ag004G314450
OG0000004	As010G231160	Ag008G684310
OG0000005	As001G006250	Ag007G622540
OG0000005	As007G177090, As005G111430	Ag001G040530, Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130
OG0000006	As010G228090	Ag005G455250
OG0000008	As002G039930	Ag007G652280
OG0000011	As007G165830	Ag008G699310
OG0000013	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200	Ag004G396400, Ag004G380450
OG0000013	As008G192150, As010G226760, As001G010890	Ag008G708120, Ag001G014560
OG0000014	As010G230580, As010G232150, As007G177430, As008G192770	Ag001G020750
OG0000015	As011G257220	Ag002G110750
OG0000015	As010G225860	Ag008G676660, Ag008G687430
OG0000017	As001G010690	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510, Ag002G182860
OG0000019	As012G281430, As001G013530	Ag007G642200, Ag006G545350
OG0000019	As001G014580	Ag003G257300, Ag008G690690
OG0000020	As009G211210, As012G277620	Ag006G521270
OG0000021	As003G071480, As010G232120	Ag002G201670
OG0000023	As003G061360	Ag006G545600, Ag006G549030
OG0000023	As004G084560, As004G084580, As004G084570	Ag002G145450
OG0000023	As003G061280	Ag006G545440
OG0000023	As003G061270	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000023	As003G061350	Ag006G549060, Ag006G543820
OG0000027	As003G071520, As009G213600, As009G213690, As003G069630, As008G195350, As003G071510, As003G071530, As003G071500, As003G071450, As007G154190, As004G087790, As010G224770, As010G236950, As010G241770, As010G241150, As009G213720, As009G213770, As009G213640, As009G213620, As009G216140, As003G071490, As007G178010, As004G090610	Ag005G463660
OG0000029	As001G005440	Ag006G523440
OG0000029	As001G005430	Ag002G114660
OG0000029	As004G091740, As005G109110	Ag002G175390, Ag005G441680, Ag006G519730, Ag001G067390
OG0000029	As008G192170	Ag003G258710
OG0000030	As001G013350	Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430
OG0000031	As006G134510	Ag002G111150, Ag002G107580
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	Ag006G547230, Ag006G549390
OG0000033	As003G059410, As003G059430, As003G059400	Ag006G564890, Ag003G210460
OG0000033	As003G061210, As003G061160	Ag006G548990, Ag006G547250, Ag006G549400, Ag008G717210, Ag006G547380, Ag006G549570
OG0000033	As004G086230	Ag002G130680, Ag002G130760
OG0000034	As011G258840	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930
OG0000036	As010G230940, As008G183620, As012G280180, As011G261090	Ag004G310880
OG0000036	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000037	As011G257090	Ag002G136000
OG0000038	As009G211050, As009G210990, As009G210820	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	As007G157540	Ag005G471060, Ag004G312700, Ag004G348120
OG0000044	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110	Ag001G054960
OG0000047	As006G136700	Ag001G046570
OG0000048	As006G136970	Ag005G486480
OG0000048	As006G137110, As006G137010, As006G136980	Ag005G486620, Ag005G486520
OG0000054	As004G090600	Ag007G634740, Ag006G513370
OG0000056	As007G178620	Ag002G181330
OG0000056	As001G013030, As001G006540, As004G092960, As003G066320	Ag002G121000, Ag006G542770
OG0000063	As010G224630	Ag008G698780
OG0000065	As012G279540, As012G279660	Ag009G735570
OG0000066	As002G052230	Ag003G225470
OG0000066	As003G074640	Ag003G293060
OG0000066	As002G052910	Ag002G165440, Ag008G732850, Ag008G732860, Ag007G604700
OG0000066	As005G118450	Ag002G125900
OG0000067	As011G256070, As011G256050	Ag005G407040, Ag005G407080, Ag005G407050
OG0000067	As011G256020	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340
OG0000073	As006G137430	Ag006G576040, Ag003G212540, Ag001G101380, Ag006G576030
OG0000079	As012G285110	Ag001G089410, Ag006G550580, Ag003G233720, Ag006G550570, Ag001G089450, Ag001G084480, Ag001G089200, Ag001G089520, Ag001G089530, Ag001G089500, Ag006G550440, Ag001G071340, Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000082	As012G278670	Ag004G385590
OG0000082	As011G260840	Ag004G351970
OG0000083	As006G138550	Ag005G483940, Ag005G483970, Ag005G483980, Ag005G483950, Ag005G483960, Ag005G485040, Ag005G485120, Ag005G485110, Ag005G485150, Ag005G485130, Ag005G485070
OG0000086	As009G216030, As009G216300, As009G216040	Ag008G709530
OG0000087	As010G222260	Ag008G723440
OG0000087	As006G128780	Ag007G593840
OG0000087	As010G224130	Ag008G728250, Ag001G052770
OG0000087	As002G051000	Ag007G609260
OG0000087	As012G274980	Ag002G161340
OG0000087	As004G086530	Ag002G127940
OG0000087	As003G058850	Ag006G562620
OG0000087	As010G237710	Ag003G224140
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	Ag007G581970
OG0000088	As010G223910	Ag005G450330, Ag005G450360
OG0000089	As002G053510	Ag007G603320
