Orthogroup	Capsella_rubella	Arabidopsis_thaliana
OG0000007	XP_023640317.1	AT2G13770.1
OG0000011	XP_023638113.1, XP_023633028.1	AT3G30370.1, AT1G18050.1
OG0000011	XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1	AT5G15685.1
OG0000021	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1	AT3G31925.1
OG0000022	XP_006283550.1	AT4G26800.2
OG0000022	XP_023636761.1	AT5G16640.1
OG0000022	XP_006301194.2, XP_006300860.1	AT1G63130.1
OG0000022	XP_006302102.1	AT1G62680.1
OG0000022	XP_006301814.1	AT1G62720.1
OG0000022	XP_006306232.1	AT1G12700.2
OG0000022	XP_006303680.2, XP_006303621.1	AT1G12620.1
OG0000022	XP_006306401.2, XP_006303167.1	AT1G12300.1, AT1G12775.1
OG0000022	XP_023643559.1	AT1G64583.1
OG0000022	XP_006302132.1	AT1G64580.1
OG0000022	XP_023635463.1	AT5G41170.1
OG0000022	XP_006297483.1	AT3G16710.1
OG0000024	XP_023643300.1, XP_023632994.1	AT1G30925.1
OG0000024	XP_023633131.1	AT1G30930.1
OG0000024	XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1	AT1G31090.1
OG0000024	XP_023633004.1, XP_023639207.1	AT3G56890.1, AT3G57580.1
OG0000027	XP_023635857.1	AT4G11480.1
OG0000027	XP_023635858.1, XP_006289355.2, XP_006286462.1	AT4G11470.2
OG0000027	XP_006284983.1	AT4G23320.3
OG0000027	XP_023634683.1	AT4G23260.1
OG0000027	XP_006283253.1	AT4G23250.2
OG0000027	XP_023638659.1	AT4G23200.1
OG0000027	XP_006289052.2	AT4G11521.1
OG0000027	XP_023634685.1	AT4G23210.3
OG0000028	XP_023634475.1	AT4G13680.1
OG0000029	XP_023633422.1	AT2G17905.1
OG0000030	XP_023642658.1, XP_023641336.1	AT5G60560.2
OG0000030	XP_006296044.1	AT3G20030.1
OG0000030	XP_023644289.1	AT1G67450.1
OG0000030	XP_023632886.1, XP_023632793.1	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	XP_006293126.1	AT1G54550.1, AT3G49510.1, AT3G49520.1
OG0000034	XP_006283285.1	AT4G23180.1
OG0000034	XP_023634856.1	AT4G21410.3
OG0000034	XP_023637378.1	AT4G00960.1
OG0000034	XP_023634678.1	AT4G23140.2
OG0000034	XP_006283145.1	AT4G23310.1
OG0000034	XP_023634701.1	AT4G23280.1, AT4G23270.3
OG0000034	XP_023635576.1	AT4G23130.2
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	AT2G07240.1
OG0000035	XP_023640381.1, XP_023634177.1	AT4G04957.1
OG0000040	XP_023644222.1, XP_023644534.1, XP_023640572.1	AT3G25720.1
OG0000040	XP_023639239.1, XP_023634852.1	AT4G10613.1
OG0000040	XP_023643216.1, XP_023641303.1	AT1G60720.1
OG0000040	XP_023642459.1, XP_023632551.1, XP_023638973.1	AT1G33710.1
OG0000040	XP_023640353.1	AT2G19146.1, AT1G50080.1
OG0000044	XP_006282385.2	AT5G46470.1
OG0000044	XP_006281533.1	AT5G46260.1
OG0000044	XP_023636248.1	AT5G22690.2
OG0000044	XP_006282434.2	AT4G16890.1, AT4G16957.1, AT4G16857.2, AT4G16920.2, AT4G16860.1, AT4G16950.1
OG0000044	XP_023635630.1	AT4G16960.1, AT4G16940.2, AT4G16900.1
OG0000048	XP_006299189.1	AT3G23960.1
OG0000048	XP_023641959.1	AT2G19630.1
OG0000051	XP_023640868.1	AT2G42460.1
OG0000051	XP_023640424.1	AT2G42480.1
OG0000052	XP_023639245.1	AT3G26930.2
OG0000052	XP_023638292.1	AT3G26922.1
OG0000052	XP_006301891.2, XP_006301896.2	AT1G55030.2
OG0000052	XP_006293172.2	AT4G13965.1
OG0000052	XP_006291114.1, XP_006291129.1	AT4G00160.1, AT3G52680.1
OG0000052	XP_023638945.1	AT3G52690.1
OG0000052	XP_006291090.1	AT3G51530.1
OG0000052	XP_006291102.1	AT2G04230.1
OG0000052	XP_006305853.1	AT3G49030.1
OG0000052	XP_023641037.1, XP_023633372.1	AT3G49040.1
OG0000052	XP_023638561.1, XP_006293221.1	AT3G49020.1
OG0000052	XP_023638815.1	AT3G49045.1
OG0000055	XP_006299228.1, XP_006300113.1	AT3G19470.1, AT3G22770.1
OG0000055	XP_006300080.1, XP_023641394.1, XP_006299259.1, XP_006301327.2	AT3G24580.1
OG0000055	XP_023641570.1	AT3G17620.1
OG0000055	XP_023642764.1	AT3G18120.1
OG0000055	XP_006292584.2	AT5G36200.1
OG0000055	XP_023634515.1	AT5G36820.1, AT5G36730.1
OG0000055	XP_023641561.1	AT2G17830.1, AT5G42460.1
OG0000055	XP_006299379.1	AT3G17320.1
OG0000056	XP_006302241.1	AT1G61960.1
OG0000056	XP_006302237.1	AT1G62150.1
OG0000056	XP_006302243.1	AT1G62110.1
OG0000056	XP_006301237.2	AT1G62120.1
OG0000056	XP_023643438.1	AT1G61990.1
OG0000056	XP_006301193.1	AT1G61980.1
OG0000056	XP_006301052.1	AT1G61970.1
OG0000056	XP_006292456.1	AT3G46950.1
OG0000059	XP_023633548.1, XP_023644244.1, XP_023634277.1	AT2G07800.1
OG0000061	XP_023633781.1	AT4G27050.1
OG0000061	XP_023640829.1	AT2G29910.6
OG0000061	XP_023635299.1	AT5G35995.1
OG0000064	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1
OG0000065	XP_023643067.1	AT1G66930.2
OG0000065	XP_006300887.1	AT1G66920.2
OG0000065	XP_006290268.1	AT5G38240.1
OG0000065	XP_023638915.1	AT5G38260.1
OG0000065	XP_006286236.1	AT5G39030.1
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1
OG0000066	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1	AT5G10980.1
OG0000066	XP_006304375.1	AT1G19890.1
OG0000068	XP_023633398.1	AT5G53700.1
OG0000068	XP_006289558.2, XP_023637635.1	AT5G03495.1
OG0000068	XP_006286541.1	AT5G03480.1
OG0000069	XP_006304155.1	AT5G35640.1, AT1G01355.1
OG0000070	XP_006305612.2	AT1G10230.1
OG0000070	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1
OG0000070	XP_006304273.1	AT1G20140.1, AT2G25700.1
OG0000070	XP_006302938.1	AT1G75950.1
OG0000070	XP_023637791.1	AT5G42190.1
OG0000070	XP_023637735.1	AT3G60010.1
OG0000070	XP_006286731.1, XP_006289176.1, XP_006285109.1	AT4G34210.1
OG0000072	XP_006282913.2, XP_023638967.1	AT3G42140.1
OG0000072	XP_023644542.1, XP_006290241.2, XP_023637455.1	AT3G31430.1
OG0000073	XP_023644311.1	AT2G11035.1
OG0000075	XP_006285279.1	AT4G39550.1
OG0000075	XP_023635517.1	AT4G39570.1
OG0000075	XP_023635518.1	AT4G39580.1
OG0000075	XP_023634488.1	AT4G39560.1
OG0000075	XP_023633364.1, XP_006281030.1, XP_006280653.1	AT5G49000.2
OG0000075	XP_006301199.1	AT1G60570.1, AT1G19930.1
OG0000076	XP_023634774.1	AT4G38940.1
OG0000077	XP_006281971.1	AT5G44900.1
OG0000077	XP_006280897.2	AT5G45220.1
OG0000077	XP_023643297.1	AT1G57850.1
OG0000077	XP_006292790.1, XP_006293218.1	AT2G03030.1, AT2G03300.1
OG0000078	XP_006300074.1	AT3G03820.1
OG0000078	XP_006296650.2	AT3G03850.1
OG0000078	XP_006298876.1	AT3G03830.1
OG0000078	XP_006300092.1	AT3G03840.1
OG0000078	XP_023636207.1	AT5G18080.1
OG0000079	XP_023644218.1, XP_023645325.1	AT2G07190.1
OG0000081	XP_023638026.1, XP_023634808.1	AT2G37125.1, AT1G48285.1
OG0000081	XP_023634311.1	AT3G30165.1
OG0000086	XP_023633444.1	AT5G62800.1
OG0000086	XP_006284253.1	AT5G37890.1
OG0000086	XP_006302255.2	AT1G66610.1
OG0000086	XP_006302648.1, XP_023644277.1	AT1G66620.1
OG0000086	XP_006302616.1	AT1G66630.1
OG0000089	XP_006287738.1	AT5G23860.1
OG0000089	XP_006292748.1, XP_006291122.1	AT5G62700.1, AT5G62690.1
OG0000089	XP_006294210.1	AT2G29550.1
OG0000089	XP_006289933.1	AT5G12250.1
OG0000089	XP_006281513.1	AT5G44340.1
OG0000089	XP_006283733.1	AT4G20890.1
OG0000089	XP_006307490.1	AT1G20010.1
OG0000089	XP_006302256.1	AT1G75780.1
OG0000091	XP_023637739.1	AT3G47570.1
OG0000091	XP_023636467.1	AT5G20480.1
OG0000091	XP_023644362.1	AT5G39390.1
OG0000092	XP_023640340.1	AT1G42710.1
OG0000092	XP_023642043.1	AT3G30235.1, AT2G06541.1
OG0000092	XP_023633335.1	AT1G19260.1, AT4G09660.1
OG0000095	XP_006294323.1	AT1G64840.1
OG0000095	XP_006295861.1	AT2G24250.1
OG0000096	XP_006297893.1	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1
OG0000096	XP_006299978.1	AT3G19410.1
OG0000096	XP_023638935.1	AT3G49980.2
OG0000098	XP_006300240.1	AT2G14290.1
OG0000098	XP_006305026.1	AT1G27540.1, AT1G27580.1, AT1G27550.1
