Orthogroup	Raphanus_sativus	Brassica_oleracea
OG0000000	XP_018443468.1	XP_013601491.1, XP_013625599.1
OG0000000	XP_018460143.1, XP_018436074.1, XP_018458626.1, XP_018487800.1, XP_018461381.1	XP_013589527.1
OG0000000	XP_018487582.1	XP_013629098.1, XP_013639526.1
OG0000000	XP_018453653.1	XP_013639285.1, XP_013616974.1
OG0000000	XP_018436035.1	XP_013589224.1
OG0000000	XP_018448502.1, XP_018460857.1	XP_013615253.1
OG0000000	XP_018453501.1	XP_013595033.1, XP_013632378.1
OG0000000	XP_018453416.1, XP_018443455.1, XP_018474257.1	XP_013601606.1
OG0000000	XP_018435931.1	XP_013639798.1
OG0000000	XP_018479586.1, XP_018479587.1, XP_018443691.1, XP_018473623.1, XP_018477037.1, XP_018479597.1	XP_013608467.1
OG0000000	XP_018488005.1, XP_018435927.1, XP_018479789.1, XP_018463775.1	XP_013589426.1, XP_013608138.1, XP_013601226.1
OG0000000	XP_018473866.1, XP_018473869.1, XP_018473811.1, XP_018487729.1, XP_018479554.1, XP_018487722.1, XP_018458508.1	XP_013594673.1
OG0000000	XP_018435836.1	XP_013639579.1
OG0000000	XP_018466408.1	XP_013639401.1, XP_013594791.1
OG0000000	XP_018459879.1	XP_013632943.1, XP_013607959.1
OG0000000	XP_018458776.1	XP_013614584.1
OG0000000	XP_018458831.1	XP_013624981.1, XP_013624943.1
OG0000000	XP_018435953.1, XP_018461970.1, XP_018462044.1, XP_018478488.1, XP_018473859.1, XP_018453885.1	XP_013629442.1
OG0000000	XP_018473827.1	XP_013629898.1, XP_013589204.1
OG0000000	XP_018435281.1, XP_018435286.1, XP_018460172.1, XP_018443746.1	XP_013589383.1, XP_013589700.1
OG0000000	XP_018479968.1, XP_018461263.1	XP_013632715.1
OG0000000	XP_018435287.1	XP_013634222.1
OG0000000	XP_018453921.1	XP_013595032.1
OG0000000	XP_018479757.1	XP_013617761.1
OG0000000	XP_018472282.1	XP_013624139.1
OG0000000	XP_018487416.1, XP_018487413.1, XP_018479119.1, XP_018487613.1, XP_018435875.1, XP_018453704.1, XP_018478228.1, XP_018463849.1, XP_018478413.1, XP_018479618.1, XP_018462177.1, XP_018479420.1	XP_013639421.1
OG0000000	XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018435702.1, XP_018463622.1, XP_018443673.1	XP_013639528.1
OG0000000	XP_018453689.1	XP_013617205.1, XP_013594406.1, XP_013601638.1
OG0000000	XP_018475855.1	XP_013594455.1, XP_013607556.1, XP_013624151.1
OG0000000	XP_018479455.1	XP_013628112.1
OG0000000	XP_018479790.1, XP_018487667.1	XP_013624532.1
OG0000000	XP_018473662.1	XP_013624835.1
OG0000000	XP_018459162.1	XP_013632634.1
OG0000000	XP_018435536.1	XP_013608111.1, XP_013594666.1, XP_013608239.1, XP_013601232.1, XP_013617485.1
OG0000000	XP_018461626.1	XP_013624458.1
OG0000000	XP_018443671.1, XP_018488129.1	XP_013617633.1
OG0000000	XP_018479791.1	XP_013601125.1
OG0000000	XP_018435819.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1	XP_013608309.1
OG0000000	XP_018461587.1	XP_013624915.1
OG0000000	XP_018479550.1	XP_013595166.1
OG0000000	XP_018466708.1, XP_018454128.1	XP_013601024.1, XP_013601437.1
OG0000000	XP_018458409.1, XP_018458407.1	XP_013632885.1, XP_013624410.1
OG0000000	XP_018453573.1, XP_018462059.1	XP_013632878.1
OG0000000	XP_018463022.1	XP_013633487.1, XP_013633135.1, XP_013639278.1
OG0000002	XP_018453822.1	XP_013594480.1
OG0000002	XP_018463421.1	XP_013624534.1, XP_013617579.1, XP_013617544.1
OG0000002	XP_018453716.1	XP_013589182.1
OG0000002	XP_018458091.1	XP_013617573.1
OG0000002	XP_018465757.1, XP_018435975.1	XP_013613929.1, XP_013594570.1
OG0000002	XP_018459980.1	XP_013601542.1
OG0000002	XP_018461124.1	XP_013615241.1, XP_013624472.1
OG0000002	XP_018436085.1	XP_013608132.1
OG0000002	XP_018453671.1, XP_018459832.1	XP_013617459.1
OG0000002	XP_018461761.1, XP_018479516.1	XP_013617190.1, XP_013624889.1, XP_013627007.1
OG0000002	XP_018465012.1, XP_018453728.1	XP_013601271.1, XP_013617774.1
OG0000002	XP_018463383.1	XP_013632734.1, XP_013624189.1, XP_013639686.1, XP_013614171.1
OG0000002	XP_018462785.1	XP_013613445.1, XP_013614194.1, XP_013594822.1, XP_013601080.1, XP_013589610.1
OG0000002	XP_018443656.1, XP_018473782.1, XP_018488094.1, XP_018463388.1	XP_013632991.1, XP_013616926.1, XP_013629770.1, XP_013632851.1, XP_013624497.1
OG0000002	XP_018473643.1, XP_018453727.1, XP_018453623.1, XP_018435898.1, XP_018459427.1, XP_018436080.1, XP_018479330.1, XP_018454115.1, XP_018464980.1, XP_018462853.1, XP_018463118.1, XP_018471869.1	XP_013615062.1, XP_013617294.1
OG0000002	XP_018466031.1	XP_013624471.1, XP_013630619.1
OG0000002	XP_018465756.1	XP_013632797.1
OG0000003	XP_018473970.1	XP_013594483.1, XP_013632484.1
OG0000003	XP_018474062.1	XP_013616875.1
OG0000003	XP_018460019.1	XP_013607730.1, XP_013595127.1
OG0000003	XP_018467689.1, XP_018453433.1, XP_018453884.1	XP_013617895.1
OG0000003	XP_018461971.1	XP_013601861.1
OG0000003	XP_018453894.1	XP_013589325.1, XP_013589254.1, XP_013614571.1, XP_013624212.1
OG0000003	XP_018487877.1	XP_013588987.1, XP_013583277.1
OG0000003	XP_018473660.1, XP_018436223.1, XP_018464826.1, XP_018464837.1, XP_018463488.1, XP_018473840.1	XP_013607765.1
OG0000003	XP_018435394.1	XP_013617795.1
OG0000003	XP_018473566.1	XP_013617138.1, XP_013607918.1
OG0000003	XP_018479479.1, XP_018458947.1	XP_013639726.1
OG0000003	XP_018460607.1	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1
OG0000003	XP_018435481.1	XP_013632772.1
OG0000003	XP_018443265.1	XP_013616902.1, XP_013627293.1, XP_013639645.1, XP_013583424.1
OG0000003	XP_018448649.1	XP_013639397.1, XP_013608047.1, XP_013589064.1, XP_013589011.1, XP_013633237.1, XP_013613698.1
OG0000003	XP_018448611.1	XP_013607939.1
OG0000003	XP_018480041.1, XP_018473858.1, XP_018473857.1	XP_013608078.1
OG0000003	XP_018462893.1	XP_013607852.1, XP_013588944.1, XP_013614573.1, XP_013632736.1, XP_013595073.1, XP_013626569.1
OG0000003	XP_018461119.1	XP_013607513.1
OG0000003	XP_018459248.1	XP_013614042.1, XP_013589034.1, XP_013601599.1
OG0000003	XP_018488271.1	XP_013639494.1, XP_013639204.1
OG0000003	XP_018443742.1	XP_013613468.1, XP_013617596.1, XP_013617356.1
OG0000003	XP_018459621.1	XP_013617494.1, XP_013632789.1
OG0000003	XP_018473790.1	XP_013624636.1, XP_013614100.1
OG0000003	XP_018443595.1	XP_013633631.1, XP_013601807.1
OG0000003	XP_018453583.1	XP_013601581.1, XP_013594653.1
OG0000003	XP_018479683.1	XP_013617757.1
OG0000003	XP_018473762.1	XP_013615239.1
OG0000003	XP_018467635.1	XP_013607484.1, XP_013601145.1
OG0000003	XP_018479294.1	XP_013617846.1, XP_013632539.1
OG0000003	XP_018448761.1, XP_018448579.1, XP_018474183.1, XP_018474353.1	XP_013630775.1
OG0000003	XP_018474345.1, XP_018454022.1	XP_013589202.1
OG0000003	XP_018443637.1	XP_013595008.1
OG0000003	XP_018487950.1, XP_018479095.1	XP_013617246.1
OG0000003	XP_018448335.1, XP_018448333.1	XP_013595077.1, XP_013639673.1, XP_013608157.1
OG0000003	XP_018473666.1	XP_013617855.1, XP_013589622.1
OG0000003	XP_018436465.1	XP_013608302.1
OG0000003	XP_018435962.1	XP_013588986.1
OG0000003	XP_018443313.1, XP_018443314.1	XP_013639486.1, XP_013624949.1, XP_013624679.1, XP_013608037.1, XP_013617230.1, XP_013601547.1
OG0000003	XP_018479089.1	XP_013624580.1, XP_013607533.1
OG0000004	XP_018461339.1	XP_013588715.1
OG0000004	XP_018458452.1	XP_013608377.1, XP_013620525.1, XP_013639090.1, XP_013617768.1, XP_013634238.1, XP_013594179.1, XP_013594371.1, XP_013595201.1
OG0000004	XP_018479562.1	XP_013602945.1, XP_013601532.1, XP_013623778.1, XP_013607655.1
OG0000004	XP_018454350.1	XP_013616947.1
OG0000004	XP_018470557.1, XP_018479771.1	XP_013583420.1
OG0000004	XP_018463541.1	XP_013601368.1
OG0000004	XP_018456393.1	XP_013624478.1, XP_013617170.1
OG0000004	XP_018464654.1	XP_013608060.1, XP_013632935.1
OG0000004	XP_018448535.1	XP_013632641.1, XP_013624469.1, XP_013614693.1
OG0000004	XP_018462257.1, XP_018435900.1	XP_013601294.1
OG0000005	XP_018435852.1, XP_018435851.1	XP_013624326.1
OG0000005	XP_018453890.1, XP_018463384.1	XP_013601863.1
OG0000005	XP_018464531.1	XP_013626656.1, XP_013589417.1, XP_013639462.1
OG0000005	XP_018473854.1, XP_018453823.1	XP_013639428.1
OG0000005	XP_018459047.1	XP_013607867.1, XP_013615207.1
OG0000005	XP_018459385.1	XP_013632538.1, XP_013624806.1, XP_013589160.1, XP_013589558.1, XP_013615216.1
OG0000005	XP_018459967.1, XP_018479006.1	XP_013633002.1, XP_013624018.1
OG0000005	XP_018460312.1, XP_018448667.1	XP_013601099.1
OG0000005	XP_018448864.1	XP_013615213.1, XP_013627530.1, XP_013589557.1, XP_013632989.1, XP_013594796.1, XP_013624327.1
OG0000005	XP_018463109.1	XP_013639546.1, XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1
OG0000005	XP_018448581.1	XP_013614903.1
OG0000005	XP_018462024.1	XP_013639562.1, XP_013594450.1
OG0000005	XP_018463630.1	XP_013624568.1
OG0000005	XP_018460386.1, XP_018463188.1	XP_013624602.1
