Orthogroup	Cardamine_glauca	Conringia_planisiliqua
OG0000000	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500	CP24_g46939_DN1_SP0_c.t1
OG0000000	Cg003G0947300	CP18_g11997_DN3_SP0_c.t1
OG0000000	Cg006G1881000	CP27_g41816_DN1_SP0_c.t1
OG0000000	Cg002G0506900	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1, CP24_g47107_DN1_SP0_c.t1, CP27_g41817_DN2_SP0_c.t1, CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1, CP3_g14602_DN2_SP0_c.t1
OG0000000	Cg001G0315700	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1
OG0000000	Cg004G1415700	CP2_g49699_DN2_SP0_c.t1
OG0000002	Cg001G0121200	CP1_g38933_DN1_SP0_c.t1, CP35_g52018_DN2_SP0_c.t1, CP4_g26881_DN2_SP0_c.t1
OG0000002	Cg002G0472400, Cg005G1504200	CP3_g16153_DN2_SP0_c.t1
OG0000003	Cg006G1905700	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000003	Cg001G0274200, Cg002G0686800	CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1
OG0000003	Cg001G0323400, Cg008G2981700	CP4_g26010_DN1_SP0_c.t1, CP6_g7989_DN2_SP0_c.t1
OG0000004	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000007	Cg006G1865000, Cg001G0098100, Cg005G1765200	CP8_g52162_DN2_SP0_c.t1
OG0000008	Cg002G0653600	CP14_g23480_DN3_SP0_c.t1
OG0000009	Cg008G2714900	CP3_g16492_DN1_SP0_c.t1
OG0000009	Cg005G1737500	CP4_g26233_DN2_SP0_c.t1, CP3_g15237_DN1_SP0_c.t1
OG0000009	Cg005G1717900, Cg003G0717800, Cg005G1769300	CP12_g31672_DN2_SP0_c.t1
OG0000011	Cg003G0778000	CP18_g11548_DN1_SP0_c.t1
OG0000011	Cg005G1679200	CP2_g50476_DN3_SP0_c.t1, CP26_g51199_DN3_SP0_c.t1, CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1, CP3_g16756_DN2_SP0_c.t1, CP3_g16698_DN2_SP0_c.t1, CP3_g16065_DN2_SP0_c.t1, CP3_g16755_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1, CP17_g5859_DN2_SP0_c.t1
OG0000011	Cg005G1679100	CP15_g35899_DN2_SP0_c.t1
OG0000015	Cg001G0251200	CP12_g31767_DN3_SP0_c.t1
OG0000015	Cg008G2857400	CP7_g44209_DN2_SP0_c.t1
OG0000016	Cg001G0284700	CP24_g47422_DN2_SP0_c.t1
OG0000018	Cg003G0814300	CP3_g16393_DN1_SP0_c.t1, CP3_g15530_DN1_SP0_c.t1
OG0000020	Cg004G1313600	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1
OG0000021	Cg006G1871200, Cg003G0793000, Cg001G0263700, Cg003G0871900, Cg005G1666000, Cg006G1912000, Cg004G1333000, Cg003G0818700	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000023	Cg003G0814800, Cg002G0614300, Cg003G0880200, Cg007G2371000, Cg003G0882200, Cg006G1902200, Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300, Cg001G0296000, Cg006G2067800	CP35_g52033_DN3_SP0_c.t1
OG0000024	Cg002G0647900	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000024	Cg002G0447000, Cg002G0448700	CP3_g13494_DN2_SP0_c.t1
OG0000027	Cg001G0171400	CP16_g55470_DN3_SP0_c.t1
OG0000028	Cg003G0941300	CP10_g43844_DN3_SP0_c.t1
OG0000029	Cg007G2405400, Cg007G2364600, Cg001G0384100	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1
OG0000030	Cg006G1982700, Cg001G0286900	CP11_g31940_DN3_SP0_c.t1
OG0000030	Cg002G0532900	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1
OG0000031	Cg003G0842000	CP34_g51549_DN2_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1, CP16_g55578_DN1_SP0_c.t1, CP26_g51164_DN1_SP0_c.t1, CP16_g55250_DN2_SP0_c.t1, CP3_g14979_DN3_SP0_c.t1, CP2_g49348_DN2_SP0_c.t1, CP26_g51323_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1
OG0000032	Cg001G0339700	CP1_g40427_DN2_SP0_c.t1
OG0000032	Cg007G2361600	CP5_g2289_DN2_SP0_c.t1
OG0000038	Cg007G2341500	CP6_g8155_DN1_SP0_c.t1
OG0000039	Cg001G0195900	CP24_g47137_DN2_SP0_c.t1
OG0000040	Cg008G2847400, Cg008G2861900	CP13_g20255_DN1_SP0_c.t1
OG0000042	Cg013G3025700	CP6_g9916_DN1_SP0_c.t1
OG0000042	Cg007G2325300	CP8_g52519_DN1_SP0_c.t1
OG0000043	Cg014G3034000	CP15_g35837_DN2_SP0_c.t1
OG0000044	Cg001G0233900	CP13_g20691_DN1_SP0_c.t1
OG0000046	Cg001G0284200	CP15_g34716_DN3_SP0_c.t1
OG0000050	Cg005G1710800	CP9_g27575_DN2_SP0_c.t1, CP1_g38613_DN1_SP0_c.t1
OG0000050	Cg007G2389100, Cg006G1872200	CP5_g3336_DN1_SP0_c.t1
OG0000050	Cg001G0215700	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1
OG0000050	Cg006G1961200, Cg003G0717600	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1
OG0000051	Cg005G1723400	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1
OG0000052	Cg002G0657800, Cg007G2494300	CP13_g19766_DN3_SP0_c.t1
OG0000052	Cg002G0501500	CP3_g14092_DN3_SP0_c.t1
OG0000055	Cg004G1287600	CP10_g42649_DN3_SP0_c.t1
OG0000056	Cg007G2284900, Cg007G2285100	CP2_g49067_DN3_SP0_c.t1
OG0000056	Cg002G0557700	CP2_g49031_DN3_SP0_c.t1
