Orthogroup	Eutrema_salsugineum	Erysimum_linariifolium
OG0000002	XP_024010711.1	El004G212920
OG0000002	XP_024010270.1	El002G130310
OG0000002	XP_024013349.1, XP_024007240.1	El004G208640
OG0000002	XP_024013294.1	El006G293750
OG0000003	XP_024010390.1	El003G191660, El006G317350
OG0000003	XP_006391417.2, XP_024011134.1	El002G128770
OG0000003	XP_024013775.1	El004G210360
OG0000003	XP_024015858.1	El003G181050
OG0000003	XP_024009459.1, XP_024011381.1, XP_024013106.1, XP_024009610.1, XP_024014967.1	El003G181070
OG0000004	XP_024006491.1	El006G291650, El007G350510
OG0000004	XP_024014707.1	El002G127280
OG0000004	XP_024013148.1	El001G079820
OG0000004	XP_024014264.1	El001G052930, El004G230860, El003G157040, El005G268240
OG0000004	XP_024004414.1, XP_024016203.1, XP_024012343.1, XP_024010239.1, XP_024011123.1	El006G321800
OG0000005	XP_006391314.1, XP_024014484.1, XP_024013044.1, XP_024009292.1	El001G038630
OG0000005	XP_024013918.1, XP_024007904.1	El006G304740, El004G194240, El006G320990
OG0000005	XP_024004860.1, XP_024006562.1	El002G122730
OG0000005	XP_006404467.1	El003G167150, El003G184490, El004G208560, El002G104670, El006G315290, El001G049310, El004G194230
OG0000005	XP_024004939.1	El002G123530
OG0000005	XP_024016213.1	El002G122720
OG0000005	XP_024014912.1	El006G313170
OG0000006	XP_006397474.2, XP_024011387.1, XP_024004398.1, XP_024013912.1, XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004074.1, XP_024004856.1, XP_024014006.1, XP_024004157.1, XP_024012322.1, XP_024009190.1, XP_024015267.1, XP_024012910.1	El006G316810
OG0000007	XP_024009288.1	El008G369640
OG0000008	XP_024011354.1, XP_024004796.1, XP_024014490.1, XP_024015964.1	El007G351000
OG0000008	XP_024015912.1	El005G264190
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	El003G182320
OG0000010	XP_024010715.1, XP_024015164.1, XP_024011409.1, XP_024011382.1, XP_024005930.1, XP_024013196.1	El007G350710
OG0000011	XP_024014215.1	El004G200940
OG0000011	XP_024004156.1, XP_024009442.1, XP_024005001.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024006105.1, XP_024006278.1, XP_024007953.1, XP_024015281.1, XP_024006611.1, XP_024011358.1, XP_024016363.1, XP_024004052.1	El002G121150
OG0000011	XP_024010246.1, XP_024010847.1, XP_024006310.1, XP_024014087.1, XP_024006789.1, XP_024013645.1, XP_024010196.1	El002G082610
OG0000012	XP_024016167.1	El002G120760
OG0000012	XP_024016113.1	El005G268860, El003G182880
OG0000013	XP_024013108.1, XP_024013090.1	El006G310100
OG0000013	XP_024010313.1	El001G045710
OG0000013	XP_024004869.1, XP_024013112.1	El007G349810
OG0000013	XP_024009217.1, XP_024010471.1, XP_024016668.1, XP_024004795.1, XP_024015926.1, XP_024006469.1, XP_024007909.1, XP_024006481.1, XP_024010423.1, XP_024016274.1	El007G350800
OG0000014	XP_024013181.1, XP_024016301.1, XP_024004089.1	El001G041310
OG0000015	XP_024012449.1	El001G070750
OG0000015	XP_024006904.1, XP_024009420.1	El060G376140, El053G375740
OG0000015	XP_024006143.1	El001G047930
OG0000017	XP_024016132.1	El007G356670
OG0000018	XP_024008232.1	El001G048290
OG0000019	XP_024003642.1	El002G122780, El006G281410, El004G213790
OG0000020	XP_024005014.1	El007G347970, El005G264160
OG0000020	XP_024007954.1	El001G045330, El001G045300, El001G045270
OG0000020	XP_024004841.1	El001G045320, El004G206630
OG0000021	XP_024004985.1	El007G346120
OG0000021	XP_024006452.1	El001G037390
OG0000021	XP_024010290.1	El001G063330, El006G289540
OG0000021	XP_024004813.1, XP_024004020.1	El002G141120
OG0000021	XP_024009969.1, XP_024013347.1, XP_024015937.1	El005G277430, El007G325630
OG0000023	XP_006413569.1	El003G162170
OG0000023	XP_024004623.1	El003G162130
OG0000026	XP_024014744.1	El003G164110, El005G264370
OG0000026	XP_024010204.1, XP_024006433.1, XP_024014732.1, XP_024013306.1, XP_024013403.1, XP_024009430.1, XP_024009983.1, XP_024015304.1, XP_024014743.1, XP_024013980.1, XP_024010438.1, XP_024007900.1	El007G356660
OG0000026	XP_024007296.1, XP_024013049.1	El004G210040, El002G122340, El004G232830, El002G140810, El005G251640, El006G294370
OG0000027	XP_006402766.1	El001G029050, El001G025570
OG0000028	XP_024006637.1	El004G212000, El004G211990, El007G348580
OG0000028	XP_024004809.1, XP_024013054.1, XP_024013055.1	El007G334290
OG0000028	XP_024009554.1	El007G365340
OG0000028	XP_024004858.1	El007G351990
OG0000028	XP_024004754.1, XP_024004102.1, XP_024007219.1	El004G220890, El005G261200, El001G000530, El003G163730, El006G311620
OG0000028	XP_024009259.1	El007G352000
OG0000029	XP_024007307.1	El007G359550, El001G031910, El006G302870, El002G125750, El008G368530
OG0000029	XP_024005553.1	El006G307470
OG0000030	XP_024009659.1	El008G371380, El007G349640
OG0000030	XP_024009281.1	El003G181960
OG0000031	XP_006391833.2	El004G197790, El004G197660
OG0000031	XP_006391783.1, XP_006391806.1, XP_006391807.1, XP_006391822.1, XP_006391862.1, XP_006391821.1, XP_006391819.1, XP_024003783.1, XP_006391808.1, XP_006391749.1	El007G349520
OG0000031	XP_024014798.1	El003G192370
OG0000031	XP_024015415.1	El005G253470
OG0000031	XP_006413138.1	El003G157520
OG0000033	XP_024010975.1, XP_006413571.1	El003G162140, El003G162150
OG0000033	XP_006413574.2	El003G192480
OG0000033	XP_024004626.1	El003G162180
