Orthogroup	Erysimum_linariifolium	Cochlearia_excelsa
OG0000000	El001G044730	g26364
OG0000000	El005G264600	g41929, g42717, g42958, g42647, g20498
OG0000000	El005G264610	g3617
OG0000000	El001G044710	g19788, g26543, g3141, g35622, g3985, g26693, g26442, g42189, g43591, g26823, g34869
OG0000000	El004G210980, El005G262990, El005G263050, El005G264050	g26620, g4470, g21492
OG0000000	El003G177780	g48652, g52367
OG0000000	El001G044720, El001G051780	g42663, g35498
OG0000000	El004G209750	g29885, g42520, g43654, g8678, g51092, g18221, g42791, g16396, g30119, g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287
OG0000002	El004G212920	g1903
OG0000002	El002G130310	g35474
OG0000002	El001G051980	g6621, g22481, g22518, g22300
OG0000002	El004G212930	g51595, g22499, g38313, g49645
OG0000002	El004G208640	g17598, g51597, g28460, g25506, g14097, g4778
OG0000002	El002G130320	g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753
OG0000002	El001G039400	g43884, g51104, g38468, g47320
OG0000003	El003G191660, El006G317350	g3918, g36376, g25688, g7971
OG0000003	El003G189560	g36078
OG0000003	El002G128770	g35024, g42010
OG0000003	El004G210360	g41973
OG0000003	El007G351530	g35025, g49126, g50218, g43737, g3006, g16692, g54200, g19882, g28837, g12132, g39267, g40928, g44467, g1720, g6104, g22734, g24732, g26067, g6791, g34544, g15875, g33596, g14436, g4314, g43590
OG0000003	El003G181050	g15722, g16106, g21595
OG0000003	El002G128790, El002G128760, El002G138440	g50217
OG0000003	El006G306960	g4552
OG0000003	El007G350820, El007G350790	g20016, g21330, g20421, g48386, g8588, g16442
OG0000004	El001G079820	g10434, g43405, g12783, g14416, g3096
OG0000004	El006G321800	g44562, g51061, g1238, g44545, g28474, g44506, g5899, g23419, g2263, g52921, g13894, g34861, g19097, g29058, g52608, g29057, g30907
OG0000005	El001G038630	g36085, g26760, g14872, g44250
OG0000005	El002G135600	g36068
OG0000005	El003G186250, El001G082120	g22668, g39670, g49313, g181, g25460
OG0000005	El006G304740, El004G194240, El006G320990	g44061, g30358, g31394, g54192, g43888, g3832
OG0000005	El001G081400	g9848, g44251
OG0000005	El002G096830	g10943, g48006, g23664, g22013
OG0000005	El003G167150	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090
OG0000005	El003G184490	g9847, g53582
OG0000005	El006G313160	g35969
OG0000005	El002G123530	g10582
OG0000005	El004G214890, El002G120930, El007G348880	g43359
OG0000005	El002G122720	g4402
OG0000005	El006G313170	g43360
OG0000005	El004G202650	g53018, g11716, g40876
OG0000006	El006G316810	g16483
OG0000007	El006G311600, El002G119880	g30821, g46860, g26833, g14950, g41879
OG0000007	El006G293980	g25323, g24433, g4497, g26082, g34709, g48927
OG0000008	El007G351000	g27813
OG0000008	El005G264190	g35285
OG0000008	El004G212460	g24450, g27833, g3220, g44274
OG0000008	El003G182320	g26783
OG0000008	El001G077860	g43762, g4391, g33124, g29630, g27680
OG0000010	El007G350710	g34294, g16618, g8241, g18650, g26348, g33262, g2094, g28227, g52910, g43026, g53109, g48054
OG0000010	El005G270270, El007G361510, El004G205900	g26675, g32792
OG0000011	El004G200940	g42924
OG0000011	El006G305950	g6006
OG0000011	El002G082610	g24832, g50752, g1458, g52713, g37833, g16484, g26075, g4219, g9033
OG0000012	El002G120760	g35499, g33137, g3778, g26541, g4713, g35131, g35116, g35362, g42903, g6328, g21395
OG0000012	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120	g15121
OG0000013	El007G349810	g52356
OG0000013	El007G350800	g24947, g35918, g53893, g41958, g13558
OG0000014	El006G319390, El001G002640	g10989
OG0000014	El001G041310	g14543, g14512, g14521, g36332, g48935, g14510, g14500, g14542, g14551, g42973, g14532, g49755, g24341, g35559, g35554, g48283, g33044, g24625, g3064, g43651, g17907, g43443, g40836, g15958, g51640, g52235
OG0000014	El003G178520	g43420, g26664, g36987, g53052, g50570, g50733, g573, g25624, g44199, g46635, g4677, g16585, g52312, g572, g37414, g37857, g1370, g39544, g44992
OG0000014	El004G198920	g30026, g25218, g52916, g47081
OG0000015	El001G070750	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863
OG0000015	El003G167160	g35813, g36776, g26230, g26256, g43592, g5557
OG0000015	El060G376140, El053G375740	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567, g15603, g23354, g2748, g31975
OG0000015	El001G079510	g10054
OG0000015	El001G047930	g28764, g14677, g6769, g4758, g26125, g35711, g35700
OG0000017	El007G356670	g3669, g48346, g48867
OG0000017	El004G210020	g14557, g17020, g39315
OG0000018	El003G154150, El006G318220, El001G007900, El001G053230	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069
OG0000018	El001G045850, El001G048290	g14567, g33125, g25750
OG0000019	El002G122780	g41576
OG0000019	El006G281410	g4839
OG0000019	El004G213790	g16592, g1020, g46208, g40680, g40322, g46628, g9756
OG0000019	El007G351400	g2481
OG0000020	El003G191190	g49592
OG0000020	El002G120700, El006G296260	g25930, g51375
OG0000020	El005G264160	g35282, g34309, g41784
OG0000020	El001G045330, El001G045300, El001G045270	g7451
OG0000021	El006G317330	g6810
OG0000021	El001G064400	g49020, g50933, g50080, g51436, g35680, g25137, g25135
OG0000021	El001G063330, El006G289540	g25134, g41636, g35681, g14225
OG0000021	El002G141120	g40050, g47160, g49473, g26165
OG0000021	El005G277430, El007G325630	g3713, g24107
OG0000021	El001G045050	g3725, g24106, g46643
OG0000023	El007G357800	g47441
OG0000023	El003G162130	g23907, g24643
OG0000024	El006G293740, El007G351440, El002G140900	g45320, g32515
OG0000026	El003G164110, El005G264370, El003G183480	g17281, g33392, g4347, g50791, g25246, g46637
OG0000027	El002G120570, El001G054130, El006G316890, El006G314010	g43469
OG0000027	El002G117730	g28294
OG0000027	El001G029050, El001G025570	g2269
OG0000029	El001G031910	g13421, g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668
