Orthogroup	Eutrema_salsugineum	Cardamine_amara
OG0000000	XP_024010229.1	evm.model.RL_4.710
OG0000000	XP_024014847.1	evm.model.RL_4.599
OG0000002	XP_024010711.1	evm.model.RL_3.454
OG0000002	XP_024010270.1	evm.model.RL_1.3300, evm.model.RL_1.3293
OG0000002	XP_024013349.1, XP_024007240.1	evm.model.RL_7.2046, evm.model.RL_4.1699, evm.model.RL_7.2065
OG0000003	XP_024010390.1	evm.model.RL_8.1049
OG0000003	XP_024016833.1	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013
OG0000003	XP_024015858.1	evm.model.RL_6.633
OG0000003	XP_024015845.1	evm.model.RL_5.2494
OG0000003	XP_024010571.1, XP_024010572.1	evm.model.RL_2.548
OG0000003	XP_024009459.1, XP_024011381.1, XP_024013106.1, XP_024009610.1	evm.model.RL_5.2492, evm.model.RL_3.793, evm.model.RL_6.677, evm.model.RL_3.838
OG0000003	XP_024014967.1	evm.model.RL_6.670
OG0000003	XP_024010454.1, XP_024010649.1, XP_024013240.1	evm.model.RL_2.708
OG0000003	XP_024016373.1	evm.model.RL_6.652
OG0000003	XP_024014528.1, XP_024014499.1, XP_024006399.1	evm.model.RL_6.663, evm.model.RL_2.668, evm.model.RL_3.810
OG0000003	XP_024010472.1	evm.model.RL_7.2055, evm.model.RL_6.631
OG0000003	XP_024013092.1	evm.model.RL_7.2059, evm.model.RL_6.676
OG0000003	XP_024009493.1	evm.model.RL_1.2633
OG0000004	XP_024004906.1, XP_024016239.1, XP_024006491.1, XP_024014707.1	evm.model.RL_2.303
OG0000004	XP_024004414.1	evm.model.RL_2.402
OG0000005	XP_024014307.1, XP_024014469.1, XP_024004940.1	evm.model.RL_8.2917
OG0000005	XP_006404467.1	evm.model.RL_1.1086
OG0000005	XP_024016213.1	evm.model.RL_2.461
OG0000006	XP_024013573.1, XP_024016256.1, XP_024016234.1, XP_024011269.1, XP_024007956.1, XP_024013311.1	evm.model.RL_1.2522
