Orthogroup	Cardamine_hirsuta	Conringia_planisiliqua
OG0000004	CARHR214930	CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1
OG0000005	CARHR077050	CP29_g21990_DN1_SP0_c.t1
OG0000005	CARHR059740	CP18_g12171_DN2_SP0_c.t1
OG0000005	CARHR248000	CP15_g34531_DN3_SP0_c.t1
OG0000006	CARHR111840, CARHR180780, CARHR055190, CARHR182530, CARHR258710, CARHR182520, CARHR057560	CP8_g52162_DN2_SP0_c.t1
OG0000007	CARHR034550	CP18_g11997_DN3_SP0_c.t1
OG0000007	CARHR166210, CARHR219900, CARHR219240	CP18_g12262_DN2_SP0_c.t1
OG0000008	CARHR114970, CARHR117380, CARHR149870	CP5_g2806_DN2_SP0_c.t1
OG0000008	CARHR217630	CP64_g21088_DN3_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1
OG0000008	CARHR159360	CP27_g41699_DN2_SP0_c.t1
OG0000008	CARHR217880, CARHR291920, CARHR221030	CP7_g44274_DN3_SP0_c.t1
OG0000013	CARHR218430, CARHR058120, CARHR259710, CARHR057870, CARHR288340	CP26_g51269_DN2_SP0_c.t1
OG0000013	CARHR183500, CARHR181670	CP3_g15651_DN3_SP0_c.t1
OG0000015	CARHR258200	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1
OG0000015	CARHR110600	CP5_g3123_DN1_SP0_c.t1, CP7_g44357_DN2_SP0_c.t1, CP17_g6289_DN1_SP0_c.t1, CP18_g12598_DN2_SP0_c.t1, CP15_g34907_DN2_SP0_c.t1, CP5_g3124_DN2_SP0_c.t1, CP15_g34879_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1
OG0000017	CARHR049310, CARHR034150	CP6_g9455_DN3_SP0_c.t1
OG0000019	CARHR218510	CP14_g23601_DN2_SP0_c.t1, CP9_g27503_DN1_SP0_c.t1, CP50_g6571_DN2_SP0_c.t1, CP14_g23710_DN2_SP0_c.t1, CP47_g21270_DN3_SP0_c.t1
OG0000019	CARHR259400	CP18_g11548_DN1_SP0_c.t1
OG0000020	CARHR159350	CP18_g12572_DN2_SP0_c.t1
OG0000020	CARHR287070	CP1_g40427_DN2_SP0_c.t1
OG0000020	CARHR159330, CARHR114460, CARHR266440, CARHR182600, CARHR106310, CARHR116050	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1
OG0000020	CARHR217640, CARHR108030	CP14_g23530_DN1_SP0_c.t1
OG0000020	CARHR266450, CARHR035020, CARHR108040, CARHR158140	CP15_g35839_DN1_SP0_c.t1
OG0000020	CARHR287680, CARHR287700	CP3_g16164_DN3_SP0_c.t1
OG0000025	CARHR203520, CARHR028780	CP10_g43844_DN3_SP0_c.t1
OG0000026	CARHR215490	CP3_g15520_DN1_SP0_c.t1
OG0000027	CARHR045190, CARHR030410, CARHR030440, CARHR030470	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000027	CARHR168020, CARHR167830	CP3_g13494_DN2_SP0_c.t1
OG0000028	CARHR153130, CARHR056480	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1
OG0000028	CARHR116610, CARHR153140	CP24_g47108_DN1_SP0_c.t1, CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1
OG0000029	CARHR176810, CARHR154270, CARHR006310, CARHR287350, CARHR287660, CARHR099970, CARHR006250, CARHR183060	CP22_g17304_DN2_SP0_c.t1
OG0000029	CARHR213600	CP29_g22076_DN3_SP0_c.t1
OG0000030	CARHR181500	CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1, CP27_g41663_DN1_SP0_c.t1, CP9_g27573_DN3_SP0_c.t1, CP37_g11369_DN1_SP0_c.t1, CP6_g9916_DN1_SP0_c.t1
OG0000030	CARHR106930, CARHR110000, CARHR102250, CARHR289810, CARHR103350	CP26_g51212_DN3_SP0_c.t1
OG0000030	CARHR112880	CP6_g7834_DN1_SP0_c.t1
OG0000030	CARHR258550, CARHR116060	CP26_g51211_DN3_SP0_c.t1
