Orthogroup	Noccaea_praecox	Euclidium_syriacum
OG0000000	Np003G167670, Np002G107260, Np004G207890	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1
OG0000000	Np003G178670, Np010G434710	ESY7_g17009_DN2_SP0_c60.t1
OG0000002	Np008G427560, Np002G102960, Np002G105760, Np008G427550, Np003G178530, Np001G043410, Np002G102940, Np001G043030, Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920, Np008G427570, Np002G103600, Np002G105770, Np011G436400, Np008G426050, Np005G296560, Np001G043040, Np007G405440, Np002G105650, Np006G346800, Np002G102950, Np009G429290, Np003G170530, Np002G092490, Np002G105660	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	Np003G172810	ESY1_g7089_DN3_SP0_c0.t1
OG0000005	Np004G197000	ESY7_g17772_DN2_SP0_c0.t1
OG0000005	Np004G203550, Np005G265280	ESY6_g47492_DN1_SP0_c0.t1
OG0000005	Np006G352060, Np002G098830, Np002G093480, Np002G088460	ESY1_g10225_DN1_SP0_c0.t1
OG0000005	Np001G012890, Np001G012870, Np001G029170, Np008G427710	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1
OG0000007	Np006G357400, Np005G299740, Np007G402900, Np001G003900, Np005G307400, Np003G129790, Np005G315800, Np003G152970	ESY7_g16535_DN2_SP0_c0.t1
OG0000007	Np007G402890	ESY13_g56017_DN1_SP0_c0.t1, ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1, ESY3_g27887_DN2_SP0_c0.t1, ESY24_g32948_DN2_SP0_c0.t1, ESY9_g43741_DN1_SP0_c0.t1, ESY9_g42912_DN1_SP0_c0.t1, ESY8_g61001_DN1_SP0_c0.t1, ESY8_g59650_DN3_SP0_c0.t1
OG0000007	Np004G201210, Np004G226300, Np002G092690, Np001G031480, Np006G356870	ESY19_g41595_DN1_SP0_c0.t1
OG0000008	Np005G291850, Np004G226760, Np002G102670, Np005G307780, Np002G103180, Np007G406420, Np002G096480, Np001G053530	ESY15_g64840_DN3_SP0_c0.t1
OG0000012	Np003G169510, Np006G350820	ESY8_g61320_DN3_SP0_c0.t1
OG0000013	Np002G102610, Np001G031780, Np003G168300, Np003G170610, Np003G170420	ESY10_g14513_DN2_SP0_c0.t1
OG0000013	Np005G297160, Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160, Np004G228140, Np002G102600, Np003G173130, Np004G228920	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	Np005G274380	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1
OG0000015	Np007G416110	ESY6_g46006_DN2_SP0_c14.t1
OG0000015	Np001G029500	ESY7_g16245_DN2_SP0_c0.t1
OG0000017	Np003G171300	ESY5_g674_DN3_SP0_c68.t1
OG0000017	Np005G282110, Np005G282180, Np007G396400	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1
