Orthogroup	Brassica_oleracea	Eutrema_salsugineum
OG0000000	XP_013608467.1	XP_024014264.1, XP_024013215.1, XP_024004991.1
OG0000000	XP_013624532.1, XP_013624835.1, XP_013589327.1, XP_013633450.1	XP_024006886.1, XP_024011324.1
OG0000000	XP_013599200.1, XP_013607275.1, XP_013601459.1, XP_013624458.1, XP_013633199.1	XP_024006398.1
OG0000000	XP_013617747.1, XP_013625011.1, XP_013583433.1, XP_013601125.1, XP_013608309.1, XP_013617255.1, XP_013624915.1, XP_013595166.1	XP_024004414.1
OG0000000	XP_013601024.1, XP_013601437.1, XP_013639767.1	XP_024013148.1
OG0000000	XP_013632878.1	XP_024014707.1
OG0000000	XP_013633487.1, XP_013633135.1, XP_013639278.1	XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024014000.1, XP_024010207.1
OG0000002	XP_013624587.1	XP_024013097.1
OG0000002	XP_013624612.1	XP_024010711.1
OG0000002	XP_013632991.1, XP_013616926.1, XP_013629770.1, XP_013632851.1, XP_013624497.1	XP_024004011.1
OG0000002	XP_013583360.1, XP_013589138.1, XP_013624471.1, XP_013630619.1, XP_013632362.1, XP_013632797.1	XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1
OG0000003	XP_013589605.1, XP_013624294.1	XP_024004423.1
OG0000003	XP_013594483.1, XP_013632484.1	XP_024005010.1
OG0000003	XP_013616875.1, XP_013589405.1, XP_013595187.1	XP_024016553.1
OG0000003	XP_013614571.1, XP_013624212.1	XP_024006452.1
OG0000003	XP_013601688.1	XP_024009427.1
OG0000003	XP_013617795.1	XP_024004072.1
OG0000003	XP_013601139.1	XP_024004813.1, XP_024004020.1
OG0000003	XP_013639726.1	XP_024010659.1, XP_024010914.1
OG0000003	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1	XP_024016317.1, XP_024013151.1, XP_024003873.1
OG0000003	XP_013639646.1, XP_013608327.1, XP_013608171.1, XP_013617581.1	XP_024009942.1
OG0000003	XP_013632772.1, XP_013616902.1, XP_013627293.1, XP_013639645.1, XP_013583424.1	XP_024014527.1
OG0000003	XP_013614573.1	XP_024011300.1
OG0000003	XP_013595073.1	XP_024006615.1
OG0000003	XP_013614042.1, XP_013589034.1, XP_013601599.1	XP_024011306.1
OG0000003	XP_013639494.1, XP_013639204.1	XP_024014231.1
OG0000003	XP_013595094.1, XP_013633631.1, XP_013601807.1, XP_013589218.1, XP_013633247.1, XP_013601581.1, XP_013594653.1, XP_013617757.1, XP_013594768.1, XP_013615239.1, XP_013601482.1, XP_013633133.1, XP_013613644.1	XP_024007996.1
OG0000003	XP_013589269.1	XP_024015937.1
OG0000003	XP_013608127.1, XP_013608302.1, XP_013595068.1	XP_024009969.1
OG0000003	XP_013624580.1, XP_013607533.1	XP_024004030.1
OG0000004	XP_013639674.1, XP_013607775.1	XP_024010229.1
OG0000004	XP_013639070.1, XP_013624132.1, XP_013604648.1, XP_013622913.1, XP_013614766.1, XP_013617564.1, XP_013620246.1, XP_013622932.1, XP_013632119.1, XP_013615033.1, XP_013635049.1, XP_013634393.1, XP_013632334.1, XP_013638528.1, XP_013615016.1, XP_013622122.1, XP_013606813.1, XP_013624283.1, XP_013639617.1, XP_013601877.1, XP_013633191.1, XP_013590901.1, XP_013608188.1, XP_013588715.1, XP_013608377.1, XP_013620525.1, XP_013639090.1, XP_013617768.1, XP_013634238.1, XP_013594179.1, XP_013594371.1, XP_013595201.1, XP_013602945.1, XP_013601532.1, XP_013623778.1, XP_013607655.1	XP_024007302.1
OG0000004	XP_013616947.1	XP_024009381.1, XP_024016564.1, XP_024011370.1
OG0000004	XP_013639281.1	XP_024009341.1, XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1
OG0000005	XP_013614810.1, XP_013624578.1	XP_024003648.1
OG0000005	XP_013639428.1, XP_013607867.1, XP_013615207.1	XP_006404995.2
OG0000005	XP_013632538.1, XP_013624806.1, XP_013589160.1, XP_013589558.1, XP_013615216.1	XP_024013903.1
OG0000005	XP_013633002.1, XP_013624018.1, XP_013624595.1, XP_013624390.1, XP_013601099.1, XP_013624698.1	XP_024013358.1
OG0000005	XP_013601768.1	XP_024010447.1
OG0000005	XP_013616730.1	XP_024016833.1
OG0000005	XP_013614903.1	XP_024016242.1, XP_024013377.1, XP_024015852.1
OG0000005	XP_013639562.1, XP_013594450.1, XP_013632769.1, XP_013624568.1	XP_024009493.1, XP_024016342.1, XP_024010922.1, XP_024006399.1, XP_024014499.1, XP_024014528.1, XP_024009400.1, XP_024011296.1, XP_024014507.1
OG0000005	XP_013624627.1	XP_024004015.1, XP_024010544.1
OG0000005	XP_013601164.1	XP_024014001.1, XP_024015858.1
OG0000005	XP_013624301.1	XP_024015023.1
OG0000007	XP_013639708.1	XP_024011309.1
OG0000007	XP_013632977.1, XP_013623353.1, XP_013633146.1, XP_013639247.1, XP_013614053.1	XP_024010444.1
OG0000007	XP_013589057.1, XP_013617886.1	XP_024014464.1, XP_024016297.1, XP_024010253.1, XP_024009329.1, XP_024006490.1
OG0000007	XP_013610211.1	XP_024016334.1, XP_024014517.1, XP_024013385.1, XP_024016102.1, XP_024008005.1, XP_024014636.1, XP_024004080.1, XP_024013187.1
OG0000007	XP_013594005.1, XP_013601472.1, XP_013632874.1, XP_013594943.1, XP_013601489.1, XP_013632690.1, XP_013589492.1	XP_024015267.1
OG0000007	XP_013634243.1	XP_024013221.1, XP_024016233.1
OG0000007	XP_013594807.1	XP_024004172.1, XP_024013856.1
OG0000007	XP_013601610.1, XP_013595036.1	XP_024007990.1
OG0000007	XP_013632892.1	XP_024004157.1
OG0000007	XP_013601509.1	XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004856.1, XP_024004074.1, XP_024014006.1, XP_024012322.1, XP_024012910.1
OG0000007	XP_013632862.1	XP_024010245.1, XP_024016256.1, XP_024013573.1, XP_024016234.1, XP_024007956.1, XP_024014249.1
OG0000007	XP_013639373.1	XP_024011210.1
OG0000007	XP_013595054.1, XP_013617368.1, XP_013589618.1	XP_024004167.1, XP_024004498.1, XP_024016181.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024004777.1, XP_024013813.1, XP_024012279.1, XP_024010251.1, XP_024008087.1, XP_024007934.1, XP_024013544.1, XP_024008877.1, XP_024004851.1, XP_024009378.1, XP_024009383.1, XP_024015931.1, XP_024004816.1, XP_024014990.1
OG0000007	XP_013632912.1	XP_024016262.1, XP_024004096.1
OG0000007	XP_013594580.1	XP_024004117.1
OG0000007	XP_013607658.1	XP_024013889.1
OG0000007	XP_013594930.1	XP_024016122.1
OG0000008	XP_013594703.1, XP_013583429.1, XP_013639704.1, XP_013639167.1, XP_013615146.1, XP_013612199.1, XP_013633438.1	XP_024004796.1, XP_024004794.1, XP_024014490.1
OG0000008	XP_013601357.1	XP_024015912.1
OG0000008	XP_013629664.1	XP_024004048.1
OG0000008	XP_013614821.1	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	XP_013639623.1, XP_013639271.1	XP_024014429.1, XP_024004767.1, XP_024016281.1, XP_024015907.1, XP_024010446.1, XP_024004910.1, XP_024006484.1, XP_024007711.1, XP_024006634.1, XP_024014150.1, XP_024011400.1, XP_024010291.1, XP_024006405.1
OG0000008	XP_013601615.1	XP_024013173.1
OG0000009	XP_013608210.1	XP_006391314.1
OG0000009	XP_013633213.1	XP_006408923.1
OG0000009	XP_013595203.1, XP_013633175.1	XP_024009307.1
OG0000009	XP_013623891.1, XP_013601015.1, XP_013589709.1, XP_013624846.1, XP_013607693.1, XP_013607455.1, XP_013600965.1, XP_013623859.1, XP_013613667.1, XP_013617039.1, XP_013616732.1, XP_013589719.1, XP_013608471.1, XP_013594815.1, XP_013624783.1, XP_013639114.1, XP_013588892.1, XP_013595202.1, XP_013617786.1, XP_013613616.1	XP_024013918.1, XP_024007904.1
OG0000009	XP_013633379.1, XP_013607967.1, XP_013623976.1, XP_013632569.1, XP_013589538.1, XP_013624124.1, XP_013601475.1, XP_013601681.1, XP_013588939.1, XP_013624310.1, XP_013601424.1, XP_013625016.1, XP_013608517.1, XP_013601013.1	XP_024015914.1
OG0000009	XP_013616789.1, XP_013617492.1, XP_013624812.1, XP_013607654.1, XP_013615193.1, XP_013583289.1, XP_013617990.1, XP_013633184.1	XP_024007257.1, XP_024009950.1
OG0000009	XP_013616754.1, XP_013615524.1	XP_024011403.1, XP_024016212.1
OG0000011	XP_013616817.1	XP_024003642.1
OG0000011	XP_013639582.1	XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	XP_013591119.1	XP_024007764.1
OG0000011	XP_013601186.1, XP_013594913.1, XP_013639515.1, XP_013601179.1	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1
OG0000011	XP_013624987.1	XP_024010115.1
OG0000011	XP_013622528.1	XP_024004159.1, XP_024015297.1, XP_024014196.1
OG0000011	XP_013607728.1	XP_024014814.1, XP_024011246.1
OG0000011	XP_013589498.1, XP_013632628.1, XP_013633248.1	XP_024013228.1
OG0000011	XP_013601270.1, XP_013633251.1	XP_024006275.1
OG0000012	XP_013613562.1	XP_024013517.1
OG0000012	XP_013626733.1	XP_024010663.1
OG0000012	XP_013624299.1, XP_013624561.1	XP_024004111.1, XP_024013978.1
OG0000012	XP_013634210.1	XP_024004769.1, XP_024016352.1, XP_006390305.1
OG0000012	XP_013616772.1, XP_013608363.1	XP_024008034.1
OG0000012	XP_013625577.1, XP_013589568.1, XP_013589219.1, XP_013594946.1, XP_013617311.1, XP_013633380.1, XP_013617905.1, XP_013633195.1, XP_013589495.1, XP_013624371.1, XP_013589324.1, XP_013594626.1, XP_013616810.1, XP_013601384.1, XP_013607609.1, XP_013624196.1, XP_013624162.1, XP_013624137.1, XP_013639852.1, XP_013589446.1, XP_013615322.1, XP_013624918.1, XP_013639160.1, XP_013601474.1, XP_013594401.1, XP_013617958.1, XP_013616931.1, XP_013608215.1, XP_013617313.1, XP_013639496.1, XP_013607597.1, XP_013633158.1, XP_013589431.1, XP_013601007.1, XP_013633295.1, XP_013624353.1, XP_013607750.1, XP_013632893.1	XP_024006880.1, XP_024004313.1, XP_024007964.1, XP_024013590.1, XP_024004088.1, XP_024013911.1, XP_024004169.1, XP_024005329.1, XP_024014256.1, XP_024004751.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024013764.1, XP_024008044.1, XP_024010049.1, XP_024004131.1, XP_024006429.1
OG0000012	XP_013624149.1, XP_013608386.1, XP_013608475.1	XP_024004872.1
OG0000012	XP_013617667.1	XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024007953.1, XP_024015281.1, XP_024006278.1, XP_024006105.1, XP_024005001.1, XP_024006611.1, XP_024010628.1, XP_024009442.1, XP_024004156.1, XP_024011358.1, XP_024016363.1, XP_024009190.1, XP_024004052.1
OG0000012	XP_013600999.1, XP_013624439.1	XP_024010680.1, XP_024007768.1, XP_024004173.1
OG0000012	XP_013639372.1, XP_013624793.1, XP_013613506.1, XP_013623455.1, XP_013626439.1, XP_013611088.1, XP_013612972.1, XP_013594278.1, XP_013608173.1, XP_013617074.1, XP_013632853.1, XP_013632664.1, XP_013583440.1, XP_013608356.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013617725.1, XP_013617879.1, XP_013632620.1, XP_013589147.1, XP_013594932.1, XP_013607434.1, XP_013632771.1, XP_013632776.1, XP_013633419.1, XP_013584775.1, XP_013608370.1, XP_013589462.1, XP_013631748.1, XP_013601625.1, XP_013624348.1, XP_013639143.1, XP_013608057.1, XP_013624389.1, XP_013617337.1, XP_013623757.1, XP_013617763.1, XP_013632469.1, XP_013617104.1, XP_013624952.1	XP_024004410.1, XP_024006093.1, XP_024006552.1, XP_024009931.1, XP_024005940.1, XP_024013859.1, XP_024006835.1, XP_024013409.1, XP_024007930.1, XP_024006802.1, XP_024014194.1, XP_024013917.1, XP_024008814.1, XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1
OG0000012	XP_013633088.1, XP_013616799.1, XP_013617880.1, XP_013594971.1, XP_013639268.1	XP_024014463.1, XP_024013982.1, XP_024007975.1, XP_024004037.1, XP_024016238.1
OG0000012	XP_013601728.1, XP_013626826.1, XP_013607511.1, XP_013607859.1	XP_024009191.1
OG0000012	XP_013614955.1	XP_024010196.1
OG0000014	XP_013594557.1	XP_024013115.1, XP_024014009.1, XP_024005602.1, XP_024005000.1, XP_024015955.1
OG0000014	XP_013607832.1	XP_006408809.2
OG0000014	XP_013616976.1	XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1
OG0000015	XP_013613391.1, XP_013614315.1, XP_013634793.1, XP_013594601.1, XP_013615211.1, XP_013615599.1, XP_013615204.1	XP_024009420.1
OG0000015	XP_013617465.1	XP_024013064.1
OG0000016	XP_013614061.1	XP_024009219.1
OG0000016	XP_013624264.1	XP_024010546.1
OG0000016	XP_013601273.1	XP_024011334.1, XP_024013809.1
OG0000018	XP_013602970.1	XP_024010601.1
OG0000020	XP_013632401.1, XP_013624672.1, XP_013594657.1, XP_013601111.1, XP_013613669.1, XP_013589042.1, XP_013589244.1, XP_013632054.1, XP_013626814.1, XP_013616921.1, XP_013626793.1, XP_013601623.1, XP_013617516.1, XP_013624895.1, XP_013632844.1, XP_013615448.1, XP_013624951.1, XP_013601120.1, XP_013617481.1, XP_013633218.1, XP_013633384.1	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000020	XP_013631792.1, XP_013639770.1	XP_024015881.1, XP_024014745.1
OG0000020	XP_013624038.1, XP_013608147.1	XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1
OG0000021	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1	XP_024013384.1
OG0000021	XP_013594507.1, XP_013631302.1	XP_024008232.1
OG0000022	XP_013590021.1	XP_006413138.1
OG0000022	XP_013611057.1	XP_006400202.2
OG0000022	XP_013606456.1	XP_006391833.2
OG0000022	XP_013606166.1	XP_006391829.2
OG0000022	XP_013601047.1	XP_006417237.2
OG0000022	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1, XP_013604688.1	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	XP_013603447.1	XP_024008093.1
OG0000022	XP_013635968.1	XP_024014798.1
OG0000022	XP_013609571.1	XP_024015415.1
OG0000023	XP_013613579.1, XP_013639689.1	XP_024004018.1, XP_024010417.1
OG0000023	XP_013615160.1	XP_024010406.1
OG0000023	XP_013624598.1	XP_024009473.1
OG0000023	XP_013617401.1	XP_024004033.1
OG0000023	XP_013589397.1, XP_013632474.1, XP_013617360.1, XP_013624559.1, XP_013624147.1	XP_024016113.1
OG0000023	XP_013617615.1, XP_013631991.1	XP_024007959.1
OG0000023	XP_013608049.1	XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1
OG0000023	XP_013613476.1, XP_013607705.1	XP_024006560.1
OG0000023	XP_013608042.1, XP_013608012.1, XP_013594286.1	XP_024011315.1
OG0000023	XP_013614920.1	XP_024013416.1
OG0000023	XP_013608082.1	XP_024009936.1, XP_024006513.1
OG0000023	XP_013617060.1	XP_024016167.1
OG0000024	XP_013597425.1	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000024	XP_013589185.1, XP_013627670.1	XP_006415371.1, XP_024007955.1, XP_024010028.1, XP_006415204.1, XP_024009297.1, XP_006415203.1, XP_006415205.2, XP_024007920.1
OG0000024	XP_013592438.1	XP_006415394.1, XP_024007951.1, XP_006415341.2
OG0000024	XP_013605203.1	XP_006402766.1
OG0000025	XP_013617956.1	XP_024007336.1, XP_024013062.1
OG0000025	XP_013624655.1, XP_013624950.1	XP_024010439.1
OG0000025	XP_013615038.1, XP_013639661.1	XP_024009325.1, XP_024006530.1, XP_024011284.1, XP_024013992.1
OG0000027	XP_013623631.1	XP_006396898.1
OG0000027	XP_013618611.1, XP_013608009.1	XP_024009838.1, XP_006396897.2
OG0000027	XP_013608654.1	XP_006396896.1
OG0000027	XP_013624060.1	XP_024010236.1
OG0000027	XP_013598807.1	XP_006413565.1
OG0000027	XP_013626677.1	XP_024013896.1
OG0000027	XP_013625142.1	XP_006413569.1
OG0000027	XP_013617506.1	XP_006396890.1
OG0000027	XP_013608656.1	XP_006396908.2
OG0000028	XP_013614695.1, XP_013624780.1, XP_013624779.1	XP_006411607.2
OG0000029	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000029	XP_013617135.1, XP_013615424.1	XP_024004858.1
OG0000029	XP_013639720.1	XP_024016120.1
