Orthogroup	Camelina_sativa	Brassica_napus
OG0000000	XP_010445863.1	XP_048605327.1
OG0000000	XP_010445376.1	XP_048622406.1
OG0000000	XP_019085399.1, XP_010468113.1	XP_013658077.1
OG0000000	XP_010495705.2	XP_048635065.1
OG0000000	XP_010462917.1, XP_010476476.1	XP_048596306.1, XP_013669519.2, XP_048604928.1, XP_048620124.1, XP_048600598.1, XP_048633279.1, XP_013728730.2, XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1
OG0000000	XP_019091276.1, XP_019085476.1	XP_022557450.2
OG0000000	XP_019100804.1	XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1
OG0000000	XP_019097460.1, XP_019087486.1, XP_010436745.1	XP_013676819.2, XP_048614904.1, XP_022569515.1, XP_013720075.3
OG0000000	XP_019096757.1	XP_048621624.1, XP_048626126.1, XP_048609471.1
OG0000000	XP_019085777.1, XP_019094874.1, XP_019095344.1, XP_019088092.1	XP_022563908.1
OG0000000	XP_010507175.1, XP_010478337.2, XP_010518461.1, XP_019098283.1, XP_019096689.1	XP_048634050.1
OG0000002	XP_010484771.1, XP_010513476.1	XP_022566414.1, XP_022558213.1
OG0000002	XP_019100353.1	XP_048623762.1
OG0000002	XP_010495640.1, XP_019086824.1, XP_010462569.1, XP_019096392.1, XP_019082648.1, XP_010445318.1, XP_010413056.1, XP_010412811.1, XP_019096313.1, XP_010506994.1, XP_010507127.1, XP_010513345.1	XP_022565049.2
OG0000002	XP_010495465.1	XP_048601867.1
OG0000002	XP_019100799.1, XP_010431635.1, XP_019101801.1	XP_013689910.2
