Orthogroup	Noccaea_praecox	Cardamine_amara
OG0000000	Np004G220190	evm.model.RL_2.714
OG0000000	Np005G293490	evm.model.RL_4.599
OG0000000	Np005G293500	evm.model.RL_3.693
OG0000000	Np003G167670, Np002G107260, Np004G207890	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	Np010G434710	evm.model.RL_7.1901, evm.model.RL_2.681
OG0000002	Np001G043410, Np002G102940, Np001G043030	evm.model.RL_7.2065
OG0000002	Np001G043040	evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607
OG0000003	Np001G030960	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013
OG0000003	Np003G172820	evm.model.RL_1.2632
OG0000003	Np009G429960, Np003G168500	evm.model.RL_5.2494
OG0000003	Np006G354000, Np006G347320, Np006G346740, Np006G353400	evm.model.RL_6.1194
OG0000003	Np003G170050	evm.model.RL_2.548
OG0000003	Np003G172810	evm.model.RL_2.708
OG0000003	Np006G346690	evm.model.RL_6.652
OG0000003	Np012G437010, Np004G222380, Np011G436600, Np011G436790, Np009G430460, Np003G168990, Np004G221780, Np004G221640, Np004G222040	evm.model.RL_5.2495, evm.model.RL_5.2496, evm.model.RL_1.2659, evm.model.RL_1.2653, evm.model.RL_1.2637
OG0000003	Np003G172700	evm.model.RL_1.2661, evm.model.RL_1.2660, evm.model.RL_2.686
OG0000003	Np003G170760	evm.model.RL_1.2633
OG0000004	Np002G100200	evm.model.RL_2.303
OG0000004	Np006G348510	evm.model.RL_2.401
OG0000005	Np004G197000	evm.model.RL_7.1952, evm.model.RL_8.339
OG0000005	Np003G166380	evm.model.RL_1.1902
OG0000005	Np006G359670	evm.model.RL_2.1105
OG0000005	Np001G041480, Np003G174230, Np001G015150, Np001G036410	evm.model.RL_1.1903
OG0000005	Np006G352060, Np002G098830	evm.model.RL_1.3117
OG0000005	Np001G012890, Np001G012870	evm.model.RL_1.1904, evm.model.RL_2.461
OG0000006	Np002G092120	evm.model.RL_6.444
OG0000006	Np005G313160	evm.model.RL_1.817, evm.model.RL_2.785, evm.model.RL_7.1936, evm.model.RL_4.552, evm.model.RL_3.2052, evm.model.RL_4.553, evm.model.RL_5.578
OG0000007	Np005G307400	evm.model.RL_2.1094
OG0000007	Np007G402890	evm.model.RL_2.508
OG0000007	Np004G201210, Np004G226300, Np002G092690, Np001G031480	evm.model.RL_2.539
OG0000007	Np006G356870	evm.model.RL_2.2279
OG0000008	Np002G102670, Np005G307780, Np002G103180	evm.model.RL_4.1914
OG0000008	Np001G053530	evm.model.RL_7.1211
OG0000010	Np001G027540, Np002G098260	evm.model.RL_7.2083, evm.model.RL_3.1061, evm.model.RL_2.724, evm.model.RL_2.751, evm.model.RL_2.615, evm.model.RL_2.220, evm.model.RL_7.2000, evm.model.RL_3.814, evm.model.RL_7.1970
OG0000010	Np002G095240	evm.model.RL_1.2848, evm.model.RL_7.2062
OG0000011	Np005G296030, Np001G026330, Np005G265830, Np003G163940	evm.model.RL_6.446
OG0000012	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280	evm.model.RL_4.165
OG0000012	Np002G117990	evm.model.RL_6.730, evm.model.RL_5.2582
OG0000013	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641
OG0000013	Np002G102600, Np003G173130	evm.model.RL_2.759, evm.model.RL_7.1969
OG0000014	Np001G042570, Np002G073300	evm.model.RL_3.2282, evm.model.RL_1.2917
OG0000015	Np005G274380	evm.model.RL_1.3215
OG0000015	Np007G402630	evm.model.RL_7.2535
OG0000015	Np008G427030	evm.model.RL_1.2713, evm.model.RL_1.2714
OG0000015	Np001G029500	evm.model.RL_8.879
OG0000017	Np003G171300	evm.model.RL_7.1516
OG0000017	Np005G282110, Np005G282180, Np007G396400	evm.model.RL_3.2130
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	evm.model.RL_4.1915, evm.model.RL_6.190
OG0000019	Np001G027630	evm.model.RL_7.2531
OG0000019	Np003G166760, Np002G106220	evm.model.RL_7.2268
OG0000020	Np002G102400	evm.model.RL_8.674
OG0000021	Np005G303890	evm.model.RL_7.92, evm.model.RL_2.444, evm.model.RL_5.2428, evm.model.RL_6.438
OG0000021	Np004G199140	evm.model.RL_7.2168, evm.model.RL_8.1544, evm.model.RL_6.430, evm.model.RL_5.3643, evm.model.RL_3.291, evm.model.RL_6.1178, evm.model.RL_5.2234, evm.model.RL_4.405, evm.model.RL_3.587, evm.model.RL_2.653, evm.model.RL_8.2219, evm.model.RL_3.586, evm.model.RL_1.1352, evm.model.RL_3.1079, evm.model.RL_2.288, evm.model.RL_1.2419
OG0000021	Np007G402490, Np003G147560, Np002G120150, Np002G109960, Np003G148260	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	Np005G283730	evm.model.RL_2.1842
OG0000023	Np005G283900	evm.model.RL_2.1839
OG0000023	Np005G284120	evm.model.RL_2.1829, evm.model.RL_2.1830
