Orthogroup	Cardamine_hirsuta	Cardamine_glauca
OG0000000	CARHR219900, CARHR034550	Cg003G0947300
OG0000000	CARHR228880, CARHR142010	Cg005G1542700
OG0000007	CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870	Cg008G2926400
OG0000007	CARHR058800, CARHR052910, CARHR152010, CARHR154010	Cg008G2911000
OG0000007	CARHR060230, CARHR133710, CARHR271640, CARHR058320	Cg006G1891100
OG0000007	CARHR266890	Cg004G1331500
OG0000008	CARHR258310, CARHR217850	Cg002G0593800
OG0000008	CARHR183140	Cg002G0653600
OG0000008	CARHR103540	Cg007G2406600, Cg002G0593900
OG0000008	CARHR161310, CARHR161290, CARHR161300	Cg002G0512100
OG0000008	CARHR161340	Cg002G0565700
OG0000009	CARHR034640, CARHR017910	Cg007G2452800
OG0000009	CARHR114650	Cg008G2845600
OG0000011	CARHR259400	Cg008G2919200, Cg002G0664700, Cg003G0778000
OG0000015	CARHR110600	Cg007G2289100, Cg004G1297400, Cg008G2857400
OG0000021	CARHR146600	Cg006G1871200
OG0000022	CARHR234420	Cg001G0134600
OG0000022	CARHR049170	Cg007G2277400
OG0000022	CARHR048440, CARHR047970	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000
OG0000022	CARHR046360	Cg007G2258400
OG0000022	CARHR213210	Cg001G0385000
OG0000022	CARHR091960	Cg004G1232100
OG0000024	CARHR174240	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300
OG0000024	CARHR213730	Cg001G0380300
OG0000024	CARHR062310	Cg006G1963900, Cg006G1963800
OG0000024	CARHR168020, CARHR167830	Cg002G0447000, Cg002G0448700
OG0000025	CARHR288360	Cg007G2444400
OG0000027	CARHR264010, CARHR255080	Cg003G0758800
OG0000027	CARHR255070, CARHR255050	Cg003G0758600
OG0000027	CARHR255040	Cg003G0758500
OG0000027	CARHR057450	Cg001G0170600
OG0000027	CARHR230500	Cg001G0171100
OG0000027	CARHR230410	Cg001G0171400
OG0000027	CARHR254870	Cg003G0757800
OG0000027	CARHR230300	Cg001G0171900
OG0000027	CARHR230280, CARHR230310, CARHR055330, CARHR230350, CARHR230440, CARHR230330, CARHR230640, CARHR230340	Cg001G0171700
OG0000028	CARHR285330	Cg003G0981300
OG0000028	CARHR242050	Cg007G2581000
OG0000028	CARHR028780, CARHR203520	Cg003G0941300
OG0000030	CARHR060010, CARHR059990	Cg004G1261500
OG0000030	CARHR134370	Cg004G1264800
OG0000030	CARHR162370	Cg006G1982700
OG0000030	CARHR260760, CARHR260790	Cg001G0286900
OG0000030	CARHR158520, CARHR158510, CARHR158530	Cg002G0532900
OG0000032	CARHR101900, CARHR266440, CARHR116050, CARHR284910, CARHR106310, CARHR182600, CARHR114460, CARHR159330	Cg007G2363000
OG0000032	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880	Cg001G0339700
OG0000032	CARHR266450	Cg007G2361600
OG0000034	CARHR230270, CARHR230290	Cg001G0172000
OG0000034	CARHR055320, CARHR230240	Cg001G0172500
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	Cg001G0190400
OG0000034	CARHR289950	Cg001G0190500
OG0000034	CARHR230230, CARHR230200	Cg001G0172700
OG0000039	CARHR184170	Cg001G0195900
OG0000042	CARHR181500	Cg007G2325300
OG0000043	CARHR220690	Cg014G3034000
OG0000043	CARHR098760	Cg002G0640800
OG0000044	CARHR223510	Cg001G0233900
OG0000044	CARHR031690	Cg008G2891700
OG0000044	CARHR175160	Cg004G1386600
OG0000044	CARHR175090	Cg008G2973600
OG0000044	CARHR175260	Cg008G2897600
OG0000044	CARHR116330	Cg013G3024300
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970	Cg001G0284200
OG0000050	CARHR154060	Cg007G2389100, Cg006G1872200
OG0000050	CARHR071180, CARHR153550	Cg006G1961200, Cg003G0717600
OG0000051	CARHR002800	Cg006G2232100
OG0000051	CARHR137510	Cg005G1506300
OG0000051	CARHR127280	Cg013G3025800, Cg005G1600400
OG0000051	CARHR137550, CARHR137540	Cg005G1723400
OG0000051	CARHR260850	Cg003G0782100
OG0000052	CARHR148060	Cg002G0657800
OG0000052	CARHR065210, CARHR065340	Cg007G2494300
OG0000052	CARHR162490	Cg002G0501500
OG0000052	CARHR157840	Cg002G0537500
OG0000054	CARHR259190	Cg008G2918900
OG0000055	CARHR098050, CARHR100840, CARHR222490, CARHR100820	Cg004G1287600
OG0000055	CARHR096180, CARHR096160	Cg004G1288100, Cg004G1288500, Cg004G1288300, Cg004G1288700, Cg004G1288200
OG0000055	CARHR092560, CARHR092720	Cg004G1239300
OG0000055	CARHR092150, CARHR092000	Cg004G1232400
OG0000056	CARHR050320	Cg007G2285200
OG0000056	CARHR050310	Cg007G2283700
OG0000056	CARHR050020	Cg007G2283400
OG0000056	CARHR050220	Cg007G2284500
OG0000056	CARHR049970	Cg007G2283300
OG0000056	CARHR050330	Cg007G2283900, Cg007G2285300, Cg007G2285000
OG0000056	CARHR049990, CARHR050000	Cg007G2283500
OG0000056	CARHR050280, CARHR049980, CARHR050290	Cg007G2284900, Cg007G2285100
OG0000056	CARHR155600	Cg002G0557700
OG0000059	CARHR286550, CARHR102470, CARHR152130	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400
OG0000060	CARHR273260	Cg005G1558200
OG0000060	CARHR154290	Cg002G0489100
OG0000060	CARHR163630	Cg002G0566100
OG0000061	CARHR228580	Cg004G1379900
OG0000061	CARHR252580	Cg003G0858900
OG0000061	CARHR123140	Cg005G1634900
OG0000061	CARHR123070	Cg005G1631000
OG0000061	CARHR123150	Cg005G1634800
OG0000064	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690	Cg003G0987600
OG0000065	CARHR059130	Cg007G2434600
OG0000065	CARHR059270, CARHR059250	Cg007G2435800
OG0000065	CARHR059200	Cg007G2435300
OG0000065	CARHR263450	Cg001G0358400, Cg001G0358500
OG0000065	CARHR257300	Cg003G0889600
OG0000066	CARHR279310	Cg003G1045600
OG0000066	CARHR279320, CARHR202900	Cg008G2671000
OG0000066	CARHR068990	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900
OG0000066	CARHR202310	Cg008G2677200, Cg001G0018800
OG0000068	CARHR210960	Cg008G2597800, Cg002G0415500
OG0000068	CARHR210190	Cg008G2602600
OG0000069	CARHR264470	Cg007G2462800
OG0000070	CARHR010350	Cg006G2161100
OG0000070	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	Cg002G0680500
OG0000070	CARHR020650	Cg006G2064200
OG0000070	CARHR069500	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	CARHR284690	Cg008G2918500, Cg011G3015900
OG0000070	CARHR052170, CARHR288810	Cg001G0056200
OG0000072	CARHR049910, CARHR219260	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300
OG0000072	CARHR119870, CARHR260200	Cg001G0334100
OG0000075	CARHR247150	Cg001G0013900
OG0000075	CARHR247160	Cg001G0013800
OG0000075	CARHR105240	Cg004G1368500
OG0000076	CARHR247830	Cg001G0007600
OG0000076	CARHR127180	Cg005G1594800
OG0000076	CARHR176370	Cg008G2963600
OG0000077	CARHR177040	Cg008G2957400
OG0000077	CARHR177280, CARHR112190	Cg005G1775900
OG0000077	CARHR254940	Cg003G0758200
OG0000077	CARHR288740	Cg002G0678300
OG0000077	CARHR145650	Cg002G0679000
OG0000077	CARHR145640	Cg002G0679200
OG0000077	CARHR009640	Cg006G2167500
OG0000078	CARHR077930	Cg004G1099800
OG0000078	CARHR077940	Cg004G1099900
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	Cg008G2744900, Cg008G2744200, Cg008G2744500
OG0000079	CARHR180710	Cg002G0570600
OG0000079	CARHR151670, CARHR119610	Cg010G2993500
OG0000081	CARHR217030	Cg003G0774600, Cg008G2921900
OG0000081	CARHR258030	Cg007G2409600, Cg007G2443800
OG0000086	CARHR214810	Cg001G0342500
OG0000086	CARHR214860	Cg001G0341500
OG0000086	CARHR214790, CARHR214760	Cg001G0342600
OG0000089	CARHR189700	Cg008G2794800
OG0000089	CARHR155480	Cg002G0558400
OG0000089	CARHR122890	Cg005G1638200
OG0000089	CARHR200860	Cg008G2689500
OG0000089	CARHR178800	Cg008G2943700
OG0000089	CARHR227450	Cg001G0195600
OG0000089	CARHR128920	Cg005G1585200
OG0000089	CARHR020480	Cg006G2065500
OG0000089	CARHR069200	Cg007G2528700
OG0000091	CARHR155740	Cg002G0555900
OG0000091	CARHR156270	Cg002G0552600
OG0000091	CARHR155710, CARHR155700	Cg002G0556200
OG0000091	CARHR192330	Cg008G2769400
OG0000091	CARHR262970	Cg003G0829200, Cg003G0877100
OG0000091	CARHR152670	Cg007G2364700
OG0000095	CARHR116870	Cg005G1737700, Cg005G1737600
OG0000095	CARHR117020	Cg005G1739100
OG0000095	CARHR117880, CARHR117220	Cg005G1739400
OG0000096	CARHR120290	Cg008G2960400
OG0000096	CARHR084920	Cg001G0384700
OG0000096	CARHR093690	Cg004G1249300
