Orthogroup	Eutrema_salsugineum	Rorippa_islandica
OG0000000	XP_024016239.1, XP_024006398.1	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000000	XP_024010299.1, XP_024008064.1, XP_024015975.1, XP_024010421.1, XP_024015192.1, XP_024015971.1, XP_024013218.1, XP_024008027.1, XP_024016341.1, XP_024004414.1, XP_024010239.1, XP_024016203.1, XP_024012343.1, XP_024011123.1	Roisl.0213s0280.1.p
OG0000002	XP_024013097.1	Roisl.0058s0007.1.p
OG0000002	XP_024016289.1, XP_024016302.1, XP_024016271.1, XP_024010360.1, XP_024015836.1	Roisl.0194s0020.1.p
OG0000002	XP_024014438.1	Roisl.0188s0060.1.p, Roisl.0040s0101.1.p
OG0000002	XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1	Roisl.0047s0024.1.p
OG0000003	XP_024006573.1, XP_024005010.1, XP_024016553.1	Roisl.0058s0055.1.p
OG0000003	XP_024006452.1, XP_024009427.1, XP_024004072.1, XP_024004813.1, XP_024004020.1	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	XP_024010658.1	Roisl.0005s0321.1.p, Roisl.0020s0174.1.p
OG0000003	XP_024010659.1, XP_024010914.1	Roisl.0058s0052.1.p
OG0000003	XP_024016317.1	Roisl.0053s0045.1.p, Roisl.0189s0026.1.p, Roisl.0193s0022.1.p, Roisl.0020s0023.1.p, Roisl.0047s0047.1.p, Roisl.0213s0702.1.p, Roisl.0185s0035.1.p, Roisl.0179s0027.1.p
OG0000003	XP_024013151.1	Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p
OG0000003	XP_024003873.1	Roisl.0058s0002.1.p, Roisl.0012s0115.1.p, Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p, Roisl.0213s0758.1.p
OG0000003	XP_024011300.1	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
OG0000003	XP_024006446.1, XP_024009777.1	Roisl.0046s0674.1.p, Roisl.0006s0559.1.p, Roisl.0029s0052.1.p, Roisl.0075s0146.1.p, Roisl.0047s0078.1.p, Roisl.0047s0014.1.p, Roisl.0215s0019.1.p, Roisl.0043s0035.1.p, Roisl.0045s0105.1.p, Roisl.0017s0492.1.p, Roisl.0064s0040.1.p, Roisl.0214s0079.1.p, Roisl.0108s0001.1.p, Roisl.0014s0079.1.p, Roisl.0014s0078.1.p, Roisl.0047s0051.1.p, Roisl.0046s0045.1.p, Roisl.0020s0030.1.p, Roisl.0047s0005.1.p
OG0000003	XP_024013347.1	Roisl.0198s0065.1.p
OG0000004	XP_024007302.1	Roisl.0022s0436.1.p
OG0000005	XP_024016833.1	Roisl.0195s0004.1.p
OG0000005	XP_024013099.1	Roisl.0194s0060.1.p
OG0000005	XP_024010679.1	Roisl.0214s0118.1.p, Roisl.0214s0138.1.p
OG0000005	XP_024005029.1, XP_024009243.1	Roisl.0025s0107.1.p
OG0000005	XP_024004015.1	Roisl.0082s0003.1.p
OG0000005	XP_024010544.1	Roisl.0194s0063.1.p
OG0000005	XP_024015023.1	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p
OG0000005	XP_024010905.1	Roisl.0185s0041.1.p
OG0000005	XP_024015845.1	Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p
OG0000007	XP_024007769.1	Roisl.0064s0008.1.p
OG0000008	XP_024015912.1	Roisl.0082s0661.1.p
OG0000008	XP_024004048.1	Roisl.0036s0059.1.p
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p
OG0000008	XP_024007971.1	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p
OG0000008	XP_024011354.1	Roisl.0082s0006.1.p
OG0000008	XP_024013173.1	Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000008	XP_024010217.1, XP_024010377.1	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p, Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p, Roisl.0189s0101.1.p
