Orthogroup	Brassica_oleracea	Erysimum_linariifolium
OG0000000	XP_013601294.1	El004G225890
OG0000000	XP_013624478.1, XP_013594857.1, XP_013601901.1, XP_013617473.1, XP_013601242.1, XP_013601368.1, XP_013594627.1	El005G264610
OG0000000	XP_013594978.1	El003G159590
OG0000000	XP_013616947.1	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780
OG0000000	XP_013601799.1	El006G298040
OG0000000	XP_013601618.1	El001G044720, El001G051780
OG0000002	XP_013613445.1, XP_013624612.1	El004G212920
OG0000002	XP_013632468.1	El002G130310
OG0000002	XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1	El004G208640
OG0000003	XP_013626656.1, XP_013589417.1	El003G189560
OG0000003	XP_013639462.1	El002G128770
OG0000003	XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1, XP_013639546.1	El006G306960
OG0000004	XP_013632878.1	El002G127280
OG0000004	XP_013601024.1, XP_013639767.1	El001G079820
OG0000004	XP_013601125.1, XP_013639798.1	El001G052930, El004G230860, El003G157040, El005G268240
OG0000004	XP_013617255.1, XP_013624915.1, XP_013595166.1, XP_013617747.1, XP_013583433.1	El005G268230
OG0000004	XP_013589255.1	El006G301060
OG0000005	XP_013608026.1, XP_013639201.1, XP_013635062.1	El001G038630
OG0000005	XP_013624124.1	El005G258250, El003G177260, El001G065660
OG0000005	XP_013614431.1	El003G186250, El001G082120
OG0000005	XP_013613616.1	El001G081400
OG0000005	XP_013639114.1, XP_013627264.1, XP_013635272.1, XP_013633205.1, XP_013607452.1, XP_013589362.1, XP_013614191.1, XP_013630471.1	El002G096830
OG0000005	XP_013615193.1, XP_013624812.1, XP_013617492.1	El002G122730
OG0000005	XP_013583375.1	El002G123530
OG0000005	XP_013632594.1	El002G120930, El007G348880
OG0000005	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1	El002G122720
OG0000005	XP_013583274.1	El007G349440, El001G070000
OG0000005	XP_013594364.1, XP_013633351.1	El006G313170
OG0000006	XP_013601509.1, XP_013632690.1, XP_013589492.1, XP_013601489.1, XP_013594943.1, XP_013634243.1	El006G316810
OG0000006	XP_013601610.1, XP_013595036.1, XP_013608454.1, XP_013594910.1, XP_013613948.1	El007G324910, El001G079730
OG0000007	XP_013601000.1, XP_013633348.1, XP_013627809.1, XP_013594959.1, XP_013625538.1	El006G311470
OG0000007	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1	El006G311480
OG0000007	XP_013589426.1, XP_013601226.1	El007G348570
OG0000007	XP_013624723.1, XP_013632833.1, XP_013594838.1, XP_013639528.1, XP_013617764.1, XP_013628112.1, XP_013639285.1, XP_013617205.1, XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1, XP_013594406.1, XP_013601638.1	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	XP_013600971.1	El002G114670
OG0000007	XP_013639421.1	El008G369640
OG0000007	XP_013615253.1	El006G293980
OG0000008	XP_013608259.1, XP_013614821.1	El003G182320
OG0000008	XP_013616794.1	El003G167760
OG0000008	XP_013601615.1	El003G174670
OG0000010	XP_013632903.1, XP_013601086.1, XP_013607832.1, XP_013626759.1, XP_013608044.1, XP_013633189.1, XP_013614685.1, XP_013594427.1, XP_013616976.1	El007G350710
OG0000010	XP_013602381.1	El005G270270, El007G361510, El004G205900
OG0000011	XP_013588969.1	El002G121150
OG0000011	XP_013632980.1, XP_013632658.1, XP_013601976.1, XP_013615145.1, XP_013639263.1, XP_013623879.1, XP_013617543.1, XP_013614955.1, XP_013607737.1	El002G082610
OG0000012	XP_013617060.1	El002G120760
OG0000012	XP_013631991.1, XP_013617615.1	El007G355770, El007G355890
OG0000012	XP_013614407.1, XP_013588965.1	El002G129160
OG0000013	XP_013588988.1, XP_013639825.1, XP_013613873.1, XP_013639384.1, XP_013624350.1, XP_013624337.1, XP_013614093.1, XP_013639725.1, XP_013623409.1, XP_013617535.1, XP_013617458.1, XP_013607647.1, XP_013608217.1, XP_013623904.1, XP_013629211.1, XP_013594639.1, XP_013594911.1, XP_013594459.1, XP_013617598.1	El001G045710
OG0000013	XP_013617899.1, XP_013607980.1, XP_013632794.1, XP_013601234.1, XP_013614771.1, XP_013601158.1, XP_013617635.1, XP_013639688.1, XP_013589021.1, XP_013601393.1, XP_013594422.1, XP_013624521.1, XP_013624704.1, XP_013601173.1, XP_013617542.1, XP_013601236.1, XP_013607981.1, XP_013608045.1, XP_013589309.1, XP_013589158.1, XP_013607890.1, XP_013588879.1, XP_013632947.1, XP_013608133.1, XP_013626749.1, XP_013617567.1, XP_013594663.1, XP_013617570.1, XP_013632726.1, XP_013624548.1, XP_013624518.1, XP_013617541.1, XP_013594840.1, XP_013607976.1, XP_013617554.1, XP_013624555.1, XP_013624648.1, XP_013613871.1, XP_013607809.1, XP_013594429.1, XP_013601100.1, XP_013617214.1, XP_013617732.1, XP_013632739.1, XP_013594506.1, XP_013594504.1, XP_013607872.1, XP_013629509.1, XP_013624576.1, XP_013617489.1, XP_013613441.1, XP_013617503.1, XP_013608039.1, XP_013628280.1, XP_013607682.1, XP_013617253.1, XP_013589175.1, XP_013631180.1, XP_013624190.1, XP_013639492.1, XP_013617502.1, XP_013594560.1, XP_013617770.1	El007G350800
OG0000014	XP_013625317.1	El005G242270
OG0000014	XP_013601583.1, XP_013616919.1, XP_013601206.1	El001G041310
OG0000014	XP_013632898.1	El003G178520
OG0000015	XP_013614071.1, XP_013614992.1, XP_013617706.1, XP_013617083.1, XP_013615209.1, XP_013639551.1, XP_013617384.1, XP_013632591.1, XP_013601204.1, XP_013613391.1, XP_013614315.1, XP_013615211.1, XP_013594601.1, XP_013615204.1, XP_013634793.1, XP_013615599.1	El060G376140, El053G375740
OG0000017	XP_013632401.1, XP_013624672.1, XP_013613669.1, XP_013589042.1, XP_013608147.1, XP_013624038.1, XP_013601111.1, XP_013594657.1, XP_013603153.1, XP_013632846.1, XP_013616619.1, XP_013626814.1, XP_013632054.1, XP_013626793.1, XP_013601623.1, XP_013589244.1, XP_013624895.1, XP_013617516.1, XP_013632844.1, XP_013615448.1, XP_013633384.1, XP_013633218.1, XP_013601120.1, XP_013617481.1, XP_013624951.1	El007G336340
OG0000017	XP_013607958.1, XP_013594902.1, XP_013601171.1	El007G356670
OG0000018	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013583415.1, XP_013639394.1, XP_013624628.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013589650.1, XP_013633047.1, XP_013594522.1, XP_013608090.1, XP_013608306.1	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830
OG0000018	XP_013613761.1	El001G045850, El001G048290, El003G146330
OG0000018	XP_013608093.1, XP_013624295.1, XP_013615260.1, XP_013639781.1, XP_013624942.1, XP_013635359.1, XP_013632716.1, XP_013625589.1, XP_013624309.1, XP_013583343.1, XP_013617328.1, XP_013633276.1, XP_013633321.1, XP_013632330.1, XP_013632740.1, XP_013631302.1, XP_013594507.1, XP_013624087.1, XP_013594600.1, XP_013624037.1, XP_013616795.1, XP_013607721.1, XP_013639694.1, XP_013616959.1, XP_013592110.1, XP_013595678.1, XP_013589433.1	El001G077880, El004G225550
OG0000019	XP_013627832.1	El004G213790
OG0000020	XP_013607685.1	El004G206630
OG0000021	XP_013607533.1	El007G349240
OG0000021	XP_013624580.1	El007G346120, El007G348120
OG0000021	XP_013624315.1, XP_013589325.1, XP_013633333.1	El006G317330
OG0000021	XP_013613505.1, XP_013632463.1, XP_013601861.1, XP_013617452.1, XP_013601663.1, XP_013617174.1, XP_013616914.1, XP_013624212.1, XP_013616969.1, XP_013617895.1	El001G064400
OG0000021	XP_013623499.1, XP_013617795.1	El001G063330, El006G289540
OG0000021	XP_013601139.1	El002G141120
OG0000021	XP_013617068.1, XP_013624738.1, XP_013589283.1, XP_013608037.1, XP_013624679.1, XP_013589306.1, XP_013639486.1, XP_013624949.1, XP_013617230.1, XP_013601547.1, XP_013588986.1, XP_013595068.1, XP_013608302.1, XP_013617855.1, XP_013589622.1, XP_013608127.1, XP_013589269.1, XP_013608157.1, XP_013639673.1, XP_013595077.1	El005G277430, El007G325630
OG0000023	XP_013631155.1	El007G357800
OG0000023	XP_013595103.1	El003G162000
OG0000023	XP_013588839.1	El003G162130
OG0000024	XP_013639775.1	El007G351440, El002G140900
OG0000025	XP_013619743.1, XP_013619793.1	El003G190320, El007G338170, El007G338190, El007G338230, El007G338200
OG0000025	XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1	El007G342390, El007G340950
OG0000026	XP_013624177.1	El003G164110, El005G264370
OG0000026	XP_013606795.1	El003G183480
OG0000026	XP_013633014.1, XP_013632787.1, XP_013607489.1, XP_013601110.1, XP_013589043.1, XP_013589304.1, XP_013624039.1, XP_013625401.1, XP_013589471.1, XP_013626805.1, XP_013617519.1, XP_013633137.1, XP_013589474.1, XP_013589161.1, XP_013624655.1, XP_013594903.1, XP_013617179.1, XP_013617500.1, XP_013624950.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1	El007G356660
OG0000027	XP_013624897.1	El002G117730
OG0000027	XP_013632478.1	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820
OG0000027	XP_013605203.1	El001G029050, El001G025570
OG0000028	XP_013632714.1	El008G369630
OG0000028	XP_013639720.1	El004G212000, El004G211990, El007G348580, El007G334290, El007G365340, El007G351990
OG0000028	XP_013625078.1, XP_013608166.1, XP_013607990.1, XP_013594294.1, XP_013608053.1, XP_013624401.1, XP_013617760.1	El001G018960, El002G114660, El007G326060
OG0000028	XP_013639737.1	El007G352000
OG0000029	XP_013610927.1, XP_013583311.1, XP_013632868.1, XP_013624005.1	El001G031910
OG0000029	XP_013632493.1	El006G302870, El002G125750, El008G368530
OG0000029	XP_013593417.1, XP_013585256.1, XP_013625516.1, XP_013624823.1	El003G179090
OG0000029	XP_013613615.1	El008G371400, El008G371420, El008G371370, El008G371360
OG0000029	XP_013617674.1	El001G044810
OG0000029	XP_013619135.1	El006G308300
